2'亚特兰大球员巴塞利拼抢犯规,对手获得控球权.                   1'第1分钟战局平稳
2'特维斯为尤文图斯赢得一个任意球.                   1'第1分钟战局平稳
3'亚特兰大球员埃马纽尔森拼抢犯规,对手获得控球权.                   1'第1分钟战局平稳
3'帕多因为尤文图斯在对方半场,赢得一个任意球.                   1'第1分钟战局平稳
4'尤文图斯球员马尔基西奥一脚直塞球给洛伦特,但是边裁举旗显示后者已经越位.                   1'第1分钟战局平稳
4'亚特兰大球员巴塞利拼抢犯规,对手获得控球权.                   1'第1分钟战局平稳
4'卡塞雷斯为尤文图斯赢得一个任意球.                   1'第1分钟战局平稳
25'进球啦！！！亚特兰大球员米利亚乔大禁区中央头球,球从左下角飞进球门,球进了!助攻的是埃马纽尔森. 尤文图斯 0-1 亚特兰大.                   25'第25分钟，亚特兰大首获打门机会，丹尼斯和埃马努埃尔森连续踢墙配合，皮尔洛回追解围没能铲出禁区，巴塞利在门前13米处抽射被布冯神奇封出，埃马努埃尔森右侧开出角球，米利亚乔前点小禁区角上头球一蹭击中远门柱内侧弹进，1比0，这是他去年4月对阵罗马后意甲首球
26'尤文图斯球员特维斯大禁区外尝试右脚射门,可惜皮球稍稍偏出了左球门.给他传球的是马尔基西奥.                   25'第25分钟，亚特兰大首获打门机会，丹尼斯和埃马努埃尔森连续踢墙配合，皮尔洛回追解围没能铲出禁区，巴塞利在门前13米处抽射被布冯神奇封出，埃马努埃尔森右侧开出角球，米利亚乔前点小禁区角上头球一蹭击中远门柱内侧弹进，1比0，这是他去年4月对阵罗马后意甲首球
27'射门!!!尤文图斯球员佩雷拉小禁区左侧右脚射门,被对方守门员横身扑出.给他传球的是特维斯.                   25'第25分钟，亚特兰大首获打门机会，丹尼斯和埃马努埃尔森连续踢墙配合，皮尔洛回追解围没能铲出禁区，巴塞利在门前13米处抽射被布冯神奇封出，埃马努埃尔森右侧开出角球，米利亚乔前点小禁区角上头球一蹭击中远门柱内侧弹进，1比0，这是他去年4月对阵罗马后意甲首球
28'马尔基西奥将球处理出底线,亚特兰大获得角球.                   25'第25分钟，亚特兰大首获打门机会，丹尼斯和埃马努埃尔森连续踢墙配合，皮尔洛回追解围没能铲出禁区，巴塞利在门前13米处抽射被布冯神奇封出，埃马努埃尔森右侧开出角球，米利亚乔前点小禁区角上头球一蹭击中远门柱内侧弹进，1比0，这是他去年4月对阵罗马后意甲首球
47'米利亚乔为亚特兰大赢得一个任意球.                   47'尤文2分钟后几乎扳平，博格巴分球，特维斯左路传中，佩雷拉前点趟过后卫，距门3米处捅射被斯波尔蒂耶洛封出
47'尤文图斯球员博格巴拼抢犯规,对手获得控球权.                   47'尤文2分钟后几乎扳平，博格巴分球，特维斯左路传中，佩雷拉前点趟过后卫，距门3米处捅射被斯波尔蒂耶洛封出
48'斯卡罗尼为亚特兰大在右路,赢得一个任意球.                   47'尤文2分钟后几乎扳平，博格巴分球，特维斯左路传中，佩雷拉前点趟过后卫，距门3米处捅射被斯波尔蒂耶洛封出
48'尤文图斯球员博格巴拼抢犯规,对手获得控球权.                   47'尤文2分钟后几乎扳平，博格巴分球，特维斯左路传中，佩雷拉前点趟过后卫，距门3米处捅射被斯波尔蒂耶洛封出
50'亚特兰大赞帕科斯塔受伤倒地,比赛暂停                   47'尤文2分钟后几乎扳平，博格巴分球，特维斯左路传中，佩雷拉前点趟过后卫，距门3米处捅射被斯波尔蒂耶洛封出
45'进球啦！！！尤文图斯球员皮尔洛大禁区外右脚射门,球从右上角飞进球门,球进了!助攻的是马尔基西奥. 尤文图斯 2-1 亚特兰大.                   45'第45分钟，皮尔洛接到马尔基西奥传球，在门前28米处突然打出一记落叶球，从斯波尔蒂耶洛指边飞过贴右门柱入网，2比1，皮尔洛本赛季联赛3个进球，有2球是运动战进球，上次意甲单赛季运动战进球超过1个，要追溯到2004-05赛季
