14'进球啦！！！奥林匹亚科斯球员格雷罗大禁区中央头球,球从右下角飞进球门,球进了!助攻的是考特里斯. AC米兰 0-1 奥林匹亚科斯.                   14'开场14分钟，奥林匹亚科斯首次射门就取得领先
16'考特里斯为奥林匹亚科斯在左路,赢得一个任意球.                   14'开场14分钟，奥林匹亚科斯首次射门就取得领先
16'AC米兰球员卡拉拼抢犯规,对手获得控球权.                   14'开场14分钟，奥林匹亚科斯首次射门就取得领先
70'进球啦！！！AC米兰球员库特罗内大禁区中央头球,球从中路偏上飞进球门,球进了!助攻的是罗德里格斯. AC米兰 1-1 奥林匹亚科斯.                   70'AC米兰第70分钟追平
70'进球啦！！！AC米兰球员库特罗内大禁区中央头球,球从中路偏上飞进球门,球进了!助攻的是罗德里格斯. AC米兰 1-1 奥林匹亚科斯.                   70'AC米兰第70分钟追平
72'奥林匹亚科斯换人,波登斯换下Nauel Mathias Leiva                   70'AC米兰第70分钟追平
72'奥林匹亚科斯换人,波登斯换下Nauel Mathias Leiva                   70'AC米兰第70分钟追平
73'波登斯为奥林匹亚科斯赢得一个任意球.                   70'AC米兰第70分钟追平
73'波登斯为奥林匹亚科斯赢得一个任意球.                   70'AC米兰第70分钟追平
73'AC米兰球员卡拉拼抢犯规,对手获得控球权.                   70'AC米兰第70分钟追平
73'AC米兰球员卡拉拼抢犯规,对手获得控球权.                   70'AC米兰第70分钟追平
51'托罗西迪斯将球处理出底线,AC米兰获得角球.                   51'6分钟后，恰尔汉奥卢左肋突破塞球，伊瓜因禁区右侧停球扣过后卫，在门前10米处左脚推进远角，AC米兰2比1反超
51'AC米兰球员苏索大禁区右侧尝试左脚射门,可惜皮球稍稍偏出了右球门.给他传球的是萨帕塔.                   51'6分钟后，恰尔汉奥卢左肋突破塞球，伊瓜因禁区右侧停球扣过后卫，在门前10米处左脚推进远角，AC米兰2比1反超
54'AC米兰换人,库特罗内换下Samu Castillejo                   51'6分钟后，恰尔汉奥卢左肋突破塞球，伊瓜因禁区右侧停球扣过后卫，在门前10米处左脚推进远角，AC米兰2比1反超
54'AC米兰换人,恰尔汉奥卢换下博纳文图拉                   51'6分钟后，恰尔汉奥卢左肋突破塞球，伊瓜因禁区右侧停球扣过后卫，在门前10米处左脚推进远角，AC米兰2比1反超
