9'阿隆索反断后长传找到厄齐尔，厄齐尔往禁区里盘带，德米凯利斯阻挡犯规                   9'第9分钟，C-罗纳尔多左路30码处任意球劲射被人墙挡出
9'皇马获得一个前场中路偏左的任意球机会，C罗的射程之内                   9'第9分钟，C-罗纳尔多左路30码处任意球劲射被人墙挡出
9'C罗任意球抽射打在人墙上                   9'第9分钟，C-罗纳尔多左路30码处任意球劲射被人墙挡出
10'外围还是皇马的控球，转移往右路纳乔                   9'第9分钟，C-罗纳尔多左路30码处任意球劲射被人墙挡出
10'纳乔横拔中路，厄齐尔一顺到了禁区内，但本泽马已经越位了                   9'第9分钟，C-罗纳尔多左路30码处任意球劲射被人墙挡出
10'前场的拼抢，厄齐尔撞倒了安图内斯犯规                   9'第9分钟，C-罗纳尔多左路30码处任意球劲射被人墙挡出
12'回复：[03:40] 皇家大少爷:文生看西甲不?马拉加下赛季已经被取消冠资格了知道不??(谢谢这位球迷非常传业的提醒）                   9'第9分钟，C-罗纳尔多左路30码处任意球劲射被人墙挡出
15'C罗禁区前沿大力低射，球被桑切斯挡出                   15'马拉加第15分钟扳平比分，伊斯科开出角球，卢加诺前点头球摆渡至后点，圣克鲁兹近距离捅射破门
15'又是伊斯科带球进了禁区被科恩特朗上前将球捅出底线，角球                   15'马拉加第15分钟扳平比分，伊斯科开出角球，卢加诺前点头球摆渡至后点，圣克鲁兹近距离捅射破门
15'伊斯科角球发前点                   15'马拉加第15分钟扳平比分，伊斯科开出角球，卢加诺前点头球摆渡至后点，圣克鲁兹近距离捅射破门
15'圣克鲁斯扳平了比分！                   15'马拉加第15分钟扳平比分，伊斯科开出角球，卢加诺前点头球摆渡至后点，圣克鲁兹近距离捅射破门
16'伊斯科角球发到前点，卢加诺抢前点头球摆渡到后点，圣克鲁斯门前将球凌空挡进大门！                   15'马拉加第15分钟扳平比分，伊斯科开出角球，卢加诺前点头球摆渡至后点，圣克鲁兹近距离捅射破门
17'厄齐尔角球发得比较低，前点被安图内斯头球解围                   15'马拉加第15分钟扳平比分，伊斯科开出角球，卢加诺前点头球摆渡至后点，圣克鲁兹近距离捅射破门
17'皇马的反扑，厄齐尔带球到右肋部传中被卢加诺挡出底线，角球                   15'马拉加第15分钟扳平比分，伊斯科开出角球，卢加诺前点头球摆渡至后点，圣克鲁兹近距离捅射破门
18'马拉加确实已经被欧足联取消了参加欧战的资格，包括欧联杯                   15'马拉加第15分钟扳平比分，伊斯科开出角球，卢加诺前点头球摆渡至后点，圣克鲁兹近距离捅射破门
17'厄齐尔角球发得比较低，前点被安图内斯头球解围                   17'第17分钟，埃辛和摩德里奇连续传球，C-罗纳尔多15码处捅射偏出左侧立柱
17'皇马的反扑，厄齐尔带球到右肋部传中被卢加诺挡出底线，角球                   17'第17分钟，埃辛和摩德里奇连续传球，C-罗纳尔多15码处捅射偏出左侧立柱
18'马拉加确实已经被欧足联取消了参加欧战的资格，包括欧联杯                   17'第17分钟，埃辛和摩德里奇连续传球，C-罗纳尔多15码处捅射偏出左侧立柱
19'皇马再次获得右路的角球                   17'第17分钟，埃辛和摩德里奇连续传球，C-罗纳尔多15码处捅射偏出左侧立柱
20'伊斯科右路得球，他今天很是活跃                   17'第17分钟，埃辛和摩德里奇连续传球，C-罗纳尔多15码处捅射偏出左侧立柱
26'刚才马拉加的24号圣克鲁斯吃到一张黄牌                   26'皇马第26分钟再度超出，卡巴列罗手接卡马乔传球被罚禁区内间接任意球，阿隆索拨出，C-罗纳尔多小禁区边缘外劲射破门，2-1
26'一踩一射，C罗大力将球抽进了球门右上角！                   26'皇马第26分钟再度超出，卡巴列罗手接卡马乔传球被罚禁区内间接任意球，阿隆索拨出，C-罗纳尔多小禁区边缘外劲射破门，2-1
27'阿隆索轻轻一拔，C罗用脚弓大力推射远角，球挂角而进！                   26'皇马第26分钟再度超出，卡巴列罗手接卡马乔传球被罚禁区内间接任意球，阿隆索拨出，C-罗纳尔多小禁区边缘外劲射破门，2-1
27'马拉加换人，16号伊图拉换下了10号巴普蒂斯塔！                   26'皇马第26分钟再度超出，卡巴列罗手接卡马乔传球被罚禁区内间接任意球，阿隆索拨出，C-罗纳尔多小禁区边缘外劲射破门，2-1
27'厄齐尔来到右路的突破没有成功                   26'皇马第26分钟再度超出，卡巴列罗手接卡马乔传球被罚禁区内间接任意球，阿隆索拨出，C-罗纳尔多小禁区边缘外劲射破门，2-1
28'再度取得领先而且多打一人，皇马的形势顿时变得大好                   26'皇马第26分钟再度超出，卡巴列罗手接卡马乔传球被罚禁区内间接任意球，阿隆索拨出，C-罗纳尔多小禁区边缘外劲射破门，2-1
29'C罗右路突破，波尔蒂略阻挡犯规，皇马的任意球                   26'皇马第26分钟再度超出，卡巴列罗手接卡马乔传球被罚禁区内间接任意球，阿隆索拨出，C-罗纳尔多小禁区边缘外劲射破门，2-1
29'C罗右路突破，波尔蒂略阻挡犯规，皇马的任意球                   29'第29分钟，C-罗纳尔多30码处任意球直接射门稍稍高出
30'C罗罗准备打电梯球，可惜下坠迟了，球高出横梁                   29'第29分钟，C-罗纳尔多30码处任意球直接射门稍稍高出
30'皇马的进攻一浪接一浪                   29'第29分钟，C-罗纳尔多30码处任意球直接射门稍稍高出
30'纳乔右路传中，皇马两点包抄却未能先抢到点                   29'第29分钟，C-罗纳尔多30码处任意球直接射门稍稍高出
31'马拉加左路的配合，埃利塞乌下底传门前                   29'第29分钟，C-罗纳尔多30码处任意球直接射门稍稍高出
32'圣克鲁斯挑球过人没有成功                   29'第29分钟，C-罗纳尔多30码处任意球直接射门稍稍高出
32'马拉加右路的配合，伊图拉下底传中过不了前点的阿尔比奥尔                   29'第29分钟，C-罗纳尔多30码处任意球直接射门稍稍高出
36'马拉加被逐出欧冠的是由于俱乐部的财政出现了问题！                   36'马拉加第36分钟拉近差距，波尔蒂略传球，安图内斯左路禁区边缘外抽射入右上死角，2-3
46'下半场比赛开始了！                   45'第45分钟，厄齐尔传球，C-罗纳尔多禁区右侧顺势抽射被卡梅尼勉强扑出
46'下半场比赛开球的是马拉加                   45'第45分钟，厄齐尔传球，C-罗纳尔多禁区右侧顺势抽射被卡梅尼勉强扑出
46'皇马立马进行前场反抢，C罗带球到禁区左侧推射被德米凯利斯伸腿挡了出来                   45'第45分钟，厄齐尔传球，C-罗纳尔多禁区右侧顺势抽射被卡梅尼勉强扑出
46'外围继续是皇马的控球                   45'第45分钟，厄齐尔传球，C-罗纳尔多禁区右侧顺势抽射被卡梅尼勉强扑出
