10'姜宁为华夏幸福在己方半场赢得任意球                   9'第9分钟，加比奥内塔右路传中，谈杨在对方禁区内左侧倒钩射门，皮球偏离了目标
10'因为吴范锡犯规，杭州绿城被判罚任意球                   9'第9分钟，加比奥内塔右路传中，谈杨在对方禁区内左侧倒钩射门，皮球偏离了目标
10'廖均健为华夏幸福在己方半场赢得任意球                   9'第9分钟，加比奥内塔右路传中，谈杨在对方禁区内左侧倒钩射门，皮球偏离了目标
10'因为谈杨犯规，杭州绿城被判罚任意球                   9'第9分钟，加比奥内塔右路传中，谈杨在对方禁区内左侧倒钩射门，皮球偏离了目标
46'绿城后场一脚过顶长传，找到前场左路的冯刚，后者杀入禁区过掉廖均健，面对杨程一脚低射小角度打门，结果被门将扑出。                   43'第43分钟，杭州绿城左路传中，皮球被杨程拿到
46'杭州队取得进球！                   43'第43分钟，杭州绿城左路传中，皮球被杨程拿到
46'杭州队主场1-0领先！                   43'第43分钟，杭州绿城左路传中，皮球被杨程拿到
46'绿城后场控球~                   43'第43分钟，杭州绿城左路传中，皮球被杨程拿到
52'绿城今天节奏掌控地很好                   52'第52分钟，姜宁挑传到对方禁区内，董学升在中路停球后起脚射门，皮球被防守球员挡出
52'华夏幸福又开出右路角球，真是又高又飘，没什么威胁                   52'第52分钟，姜宁挑传到对方禁区内，董学升在中路停球后起脚射门，皮球被防守球员挡出
53'华夏幸福今天不仅前场打不进去，后场的失误也很多                   52'第52分钟，姜宁挑传到对方禁区内，董学升在中路停球后起脚射门，皮球被防守球员挡出
55'丁海峰交给高准翼，转移到另外一侧                   52'第52分钟，姜宁挑传到对方禁区内，董学升在中路停球后起脚射门，皮球被防守球员挡出
55'金洋洋直传球失误了                   52'第52分钟，姜宁挑传到对方禁区内，董学升在中路停球后起脚射门，皮球被防守球员挡出
55'加比奥内塔带球突破，脚后跟回磕，球被断了                   52'第52分钟，姜宁挑传到对方禁区内，董学升在中路停球后起脚射门，皮球被防守球员挡出
55'姜宁斜传禁区找到董学升，可惜董学升停球大了，回够着一脚打门被封堵住。                   52'第52分钟，姜宁挑传到对方禁区内，董学升在中路停球后起脚射门，皮球被防守球员挡出
58'黄希扬左路拿球，回做给冯刚，冯刚前进的线路被堵死了。                   58'第58分钟，河北华夏幸福后场传球失误，加比奥内塔突入对方禁区内左侧射门，皮球打在边网上
59'后场华夏幸福球员传球失误！被加比奥内塔断球后直接左路面对杨程，小角度打门，可惜球被踢出了底线                   58'第58分钟，河北华夏幸福后场传球失误，加比奥内塔突入对方禁区内左侧射门，皮球打在边网上
66'下半场进行到20分钟，绿城需要熬过这个体能艰难期！                   66'第66分钟，河北华夏幸福任意球发到对方禁区内，邹德海跳起拿到皮球
66'高准翼直塞禁区，姜宁启动的慢了                   66'第66分钟，河北华夏幸福任意球发到对方禁区内，邹德海跳起拿到皮球
66'冯刚左路带球突破，球趟大了                   66'第66分钟，河北华夏幸福任意球发到对方禁区内，邹德海跳起拿到皮球
68'冯刚左路带球突破，球趟大了，出了底线                   66'第66分钟，河北华夏幸福任意球发到对方禁区内，邹德海跳起拿到皮球
68'陈柏良踢倒了丁海峰，华夏前场的任意球                   66'第66分钟，河北华夏幸福任意球发到对方禁区内，邹德海跳起拿到皮球
68'任意球开到禁区里，邹德海把球抱住                   66'第66分钟，河北华夏幸福任意球发到对方禁区内，邹德海跳起拿到皮球
50'下半场一开场，华夏幸福进攻速度明显提起来了                   48'3分钟之后，陈中流突然起脚远射，皮球稍稍偏出左侧门柱
51'华夏幸福右路角球开出，内绿城门将邹德海稳稳抱住，随后手抛球发动快速反击                   48'3分钟之后，陈中流突然起脚远射，皮球稍稍偏出左侧门柱
51'绿城在对方半场右路寻求进攻，一脚传中找中路的谈扬，但皮球落点不是很好，被解围出去                   48'3分钟之后，陈中流突然起脚远射，皮球稍稍偏出左侧门柱
85'华夏队右路斜传后点，董学升凌空的抽射，邹德海把球抱住                   85'第85分钟，冯刚有拖延比赛时间的嫌疑，被主裁判出示一张黄牌
85'加比奥内塔给吴范锡，吴范锡回到后场                   85'第85分钟，冯刚有拖延比赛时间的嫌疑，被主裁判出示一张黄牌
85'斯皮拉诺维奇把球控制住                   85'第85分钟，冯刚有拖延比赛时间的嫌疑，被主裁判出示一张黄牌
87'卡希尔中圈附近抬脚过高！犯规了	                   85'第85分钟，冯刚有拖延比赛时间的嫌疑，被主裁判出示一张黄牌
87'加比奥内塔真是活跃呀，把球牢牢护在脚下，倒地了起来！球还在脚底下                   85'第85分钟，冯刚有拖延比赛时间的嫌疑，被主裁判出示一张黄牌
85'陈柏良禁区内倒地，裁判并没有理会！                   85'第85分钟，冯刚有拖延比赛时间的嫌疑，被主裁判出示一张黄牌
85'加比奥内塔在左侧角球区附近，面对两名华夏幸福球员把球摘出后来到了底线，一脚传中，被挡出了底线！                   85'第85分钟，冯刚有拖延比赛时间的嫌疑，被主裁判出示一张黄牌
87'本场比赛第一张黄牌！给了拖延比赛时间的绿城球员冯刚                   85'第85分钟，冯刚有拖延比赛时间的嫌疑，被主裁判出示一张黄牌
88'姜宁禁区右路起球给到了后点，张利锋一脚端射，。当然此球裁判鸣笛越位在先                   85'第85分钟，冯刚有拖延比赛时间的嫌疑，被主裁判出示一张黄牌
