1'萨卡左侧得球！                   1'阿森纳第1分钟试图控制比赛
1'回传给中场科斯切尔尼！                   1'阿森纳第1分钟试图控制比赛
1'直传前场右侧！                   1'阿森纳第1分钟试图控制比赛
2'恩迪亚强行下底传中！                   1'阿森纳第1分钟试图控制比赛
2'被铲出了底线！                   1'阿森纳第1分钟试图控制比赛
16'科斯切尔尼分右侧厄齐尔！                   16'阿森纳第16分钟取得领先，恩凯蒂亚前场抢断，厄齐尔前传，拉卡泽特突破至小禁区右上角外斜射远角入网
16'推进直塞右侧！                   16'阿森纳第16分钟取得领先，恩凯蒂亚前场抢断，厄齐尔前传，拉卡泽特突破至小禁区右上角外斜射远角入网
16'被断了！                   16'阿森纳第16分钟取得领先，恩凯蒂亚前场抢断，厄齐尔前传，拉卡泽特突破至小禁区右上角外斜射远角入网
16'厄齐尔反抢回来！                   16'阿森纳第16分钟取得领先，恩凯蒂亚前场抢断，厄齐尔前传，拉卡泽特突破至小禁区右上角外斜射远角入网
16'直塞禁区中路！                   16'阿森纳第16分钟取得领先，恩凯蒂亚前场抢断，厄齐尔前传，拉卡泽特突破至小禁区右上角外斜射远角入网
16'拉卡泽特得球趟球突破禁区右侧！                   16'阿森纳第16分钟取得领先，恩凯蒂亚前场抢断，厄齐尔前传，拉卡泽特突破至小禁区右上角外斜射远角入网
16'大力低射！！                   16'阿森纳第16分钟取得领先，恩凯蒂亚前场抢断，厄齐尔前传，拉卡泽特突破至小禁区右上角外斜射远角入网
16'GOOOOOOOOOOOOOAL!                   16'阿森纳第16分钟取得领先，恩凯蒂亚前场抢断，厄齐尔前传，拉卡泽特突破至小禁区右上角外斜射远角入网
16'阿森纳取得领先！                   16'阿森纳第16分钟取得领先，恩凯蒂亚前场抢断，厄齐尔前传，拉卡泽特突破至小禁区右上角外斜射远角入网
18'卡拉巴赫右侧进攻拿到角球！                   16'阿森纳第16分钟取得领先，恩凯蒂亚前场抢断，厄齐尔前传，拉卡泽特突破至小禁区右上角外斜射远角入网
18'角球给前点！                   16'阿森纳第16分钟取得领先，恩凯蒂亚前场抢断，厄齐尔前传，拉卡泽特突破至小禁区右上角外斜射远角入网
18'被头球解围出去！                   16'阿森纳第16分钟取得领先，恩凯蒂亚前场抢断，厄齐尔前传，拉卡泽特突破至小禁区右上角外斜射远角入网
18'卡拉巴赫众怒了长传禁区右侧！                   16'阿森纳第16分钟取得领先，恩凯蒂亚前场抢断，厄齐尔前传，拉卡泽特突破至小禁区右上角外斜射远角入网
18'梅德维德夫凌空捅射！                   16'阿森纳第16分钟取得领先，恩凯蒂亚前场抢断，厄齐尔前传，拉卡泽特突破至小禁区右上角外斜射远角入网
18'被挡出底线！                   16'阿森纳第16分钟取得领先，恩凯蒂亚前场抢断，厄齐尔前传，拉卡泽特突破至小禁区右上角外斜射远角入网
19'卡拉巴赫角球给后点！                   16'阿森纳第16分钟取得领先，恩凯蒂亚前场抢断，厄齐尔前传，拉卡泽特突破至小禁区右上角外斜射远角入网
19'被解围出了底线！                   16'阿森纳第16分钟取得领先，恩凯蒂亚前场抢断，厄齐尔前传，拉卡泽特突破至小禁区右上角外斜射远角入网
19'卡拉巴赫左侧角球给前点！                   16'阿森纳第16分钟取得领先，恩凯蒂亚前场抢断，厄齐尔前传，拉卡泽特突破至小禁区右上角外斜射远角入网
19'被头球解围了！                   16'阿森纳第16分钟取得领先，恩凯蒂亚前场抢断，厄齐尔前传，拉卡泽特突破至小禁区右上角外斜射远角入网
76'卡拉巴赫左侧的下底传中被解围了                   76'第76分钟，萨卡禁区左侧传中，恩凯蒂亚小禁区边缘头球破门因越位在先被判无效
76'阿森纳反击给右侧萨卡！                   76'第76分钟，萨卡禁区左侧传中，恩凯蒂亚小禁区边缘头球破门因越位在先被判无效
76'挑传禁区中路！                   76'第76分钟，萨卡禁区左侧传中，恩凯蒂亚小禁区边缘头球破门因越位在先被判无效
76'恩迪亚头球攻门！                   76'第76分钟，萨卡禁区左侧传中，恩凯蒂亚小禁区边缘头球破门因越位在先被判无效
76'越位在先了！                   76'第76分钟，萨卡禁区左侧传中，恩凯蒂亚小禁区边缘头球破门因越位在先被判无效
89'卡拉巴赫反击分球失误出界！                   89'阿森纳第89分钟又错过机会，反越位成功的恩凯蒂亚禁区右侧低传，萨卡小禁区前左脚劲射被瓦格纳用胸口挡出
89'恩迪亚突破横传萨卡！                   89'阿森纳第89分钟又错过机会，反越位成功的恩凯蒂亚禁区右侧低传，萨卡小禁区前左脚劲射被瓦格纳用胸口挡出
89'中路推射被扑出了！                   89'阿森纳第89分钟又错过机会，反越位成功的恩凯蒂亚禁区右侧低传，萨卡小禁区前左脚劲射被瓦格纳用胸口挡出
91'萨卡突破禁区！                   89'阿森纳第89分钟又错过机会，反越位成功的恩凯蒂亚禁区右侧低传，萨卡小禁区前左脚劲射被瓦格纳用胸口挡出
91'横传球被解围了！                   89'阿森纳第89分钟又错过机会，反越位成功的恩凯蒂亚禁区右侧低传，萨卡小禁区前左脚劲射被瓦格纳用胸口挡出
91'阿森纳左侧角球！                   89'阿森纳第89分钟又错过机会，反越位成功的恩凯蒂亚禁区右侧低传，萨卡小禁区前左脚劲射被瓦格纳用胸口挡出
91'给前点被解围了！                   89'阿森纳第89分钟又错过机会，反越位成功的恩凯蒂亚禁区右侧低传，萨卡小禁区前左脚劲射被瓦格纳用胸口挡出
