1'上半场比赛开始                   1'曼联第1分钟控制比赛
1'红衣白裤的曼联开球，从画面的右侧向左进攻                   1'曼联第1分钟控制比赛
1'曼联右路的直塞找瓦伦西亚，直接传出了边线                   1'曼联第1分钟控制比赛
2'斯特林左路拿球，强突，面对瓦伦西亚，趟球趟出了边线                   1'曼联第1分钟控制比赛
3'德布劳内右路背身拿球，转身时球被罗霍破坏出边线                   1'曼联第1分钟控制比赛
3'菲尔-琼斯后场拿球，带过中线，分给施奈德林                   1'曼联第1分钟控制比赛
4'施奈德林再找罗霍，罗霍分球马夏尔                   1'曼联第1分钟控制比赛
4'马夏尔拿球强突，可惜没能控制好，出了边线                   1'曼联第1分钟控制比赛
12'费尔南多面对逼抢，横传交给图雷                   12'曼城首次进攻出现在第12分钟，费尔南迪尼奥传球，斯特林禁区左侧内切射门被菲尔-琼斯及时封堵挡出
12'图雷斜塞前场找费尔南迪奥，费尔南迪奥拿球反击                   12'曼城首次进攻出现在第12分钟，费尔南迪尼奥传球，斯特林禁区左侧内切射门被菲尔-琼斯及时封堵挡出
12'费尔南迪奥禁区左上角分球给斯特林，斯特林停球转身横切，起脚打门                   12'曼城首次进攻出现在第12分钟，费尔南迪尼奥传球，斯特林禁区左侧内切射门被菲尔-琼斯及时封堵挡出
12'打在防守球员身上折射出底线，角球                   12'曼城首次进攻出现在第12分钟，费尔南迪尼奥传球，斯特林禁区左侧内切射门被菲尔-琼斯及时封堵挡出
13'曼城获得右侧角球机会，可惜并未形成威胁                   12'曼城首次进攻出现在第12分钟，费尔南迪尼奥传球，斯特林禁区左侧内切射门被菲尔-琼斯及时封堵挡出
13'施魏因斯泰格后场拿球，面对逼抢，回传斯莫林                   12'曼城首次进攻出现在第12分钟，费尔南迪尼奥传球，斯特林禁区左侧内切射门被菲尔-琼斯及时封堵挡出
14'斯莫林再给琼斯，琼斯的斜塞想给回撤接应的鲁尼，可惜失误啦                   12'曼城首次进攻出现在第12分钟，费尔南迪尼奥传球，斯特林禁区左侧内切射门被菲尔-琼斯及时封堵挡出
14'科拉罗夫后场起球长传找右前场的德布劳内，罗霍头球解围出边线                   12'曼城首次进攻出现在第12分钟，费尔南迪尼奥传球，斯特林禁区左侧内切射门被菲尔-琼斯及时封堵挡出
15'施魏因斯泰格前场拿球，横传给到马夏尔                   12'曼城首次进攻出现在第12分钟，费尔南迪尼奥传球，斯特林禁区左侧内切射门被菲尔-琼斯及时封堵挡出
15'马夏尔拿球内切，强突被费尔南迪奥绊倒在地                   12'曼城首次进攻出现在第12分钟，费尔南迪尼奥传球，斯特林禁区左侧内切射门被菲尔-琼斯及时封堵挡出
15'费尔南迪奥被主裁判出示了黄牌警告！！！                   12'曼城首次进攻出现在第12分钟，费尔南迪尼奥传球，斯特林禁区左侧内切射门被菲尔-琼斯及时封堵挡出
15'马夏尔左路拿球，强行内切，再被萨尼亚绊倒在地                   12'曼城首次进攻出现在第12分钟，费尔南迪尼奥传球，斯特林禁区左侧内切射门被菲尔-琼斯及时封堵挡出
15'曼联获得前场左侧的任意球机会                   12'曼城首次进攻出现在第12分钟，费尔南迪尼奥传球，斯特林禁区左侧内切射门被菲尔-琼斯及时封堵挡出
51'小猪再给禁区找到埃雷拉，埃雷拉起脚打门，打在防守球员身上出底线                   51'曼联第51分钟险些破门，马塔开出角球，斯马林远点力压孔帕尼头球攻门，皮球擦右侧立柱偏出，施奈德林近距离在图雷防守下错过皮球
52'曼联获得角球机会，开出到后点，斯莫林力压孔帕尼头球攻门，顶偏                   51'曼联第51分钟险些破门，马塔开出角球，斯马林远点力压孔帕尼头球攻门，皮球擦右侧立柱偏出，施奈德林近距离在图雷防守下错过皮球
52'鲁尼前场中路拿球，分给左路的罗霍                   51'曼联第51分钟险些破门，马塔开出角球，斯马林远点力压孔帕尼头球攻门，皮球擦右侧立柱偏出，施奈德林近距离在图雷防守下错过皮球
53'罗霍再给马夏尔，马夏尔拿球内切，遭遇夹击，失误啦                   51'曼联第51分钟险些破门，马塔开出角球，斯马林远点力压孔帕尼头球攻门，皮球擦右侧立柱偏出，施奈德林近距离在图雷防守下错过皮球
53'曼城的反击，德布劳内右路反击，穿裆想过罗霍                   51'曼联第51分钟险些破门，马塔开出角球，斯马林远点力压孔帕尼头球攻门，皮球擦右侧立柱偏出，施奈德林近距离在图雷防守下错过皮球
53'被罗霍上前一步，放倒在地                   51'曼联第51分钟险些破门，马塔开出角球，斯马林远点力压孔帕尼头球攻门，皮球擦右侧立柱偏出，施奈德林近距离在图雷防守下错过皮球
62'施奈德林的起球到禁区，第一点被后卫解围                   62'第62分钟，博尼后场传球被罗霍铲断，乔-哈特及时出击抢在马塔之前铲球解围
62'小猪左侧得球，一扣摆脱孔帕尼，起球找鲁尼                   62'第62分钟，博尼后场传球被罗霍铲断，乔-哈特及时出击抢在马塔之前铲球解围
62'奥塔门迪抢在鲁尼之前将球解围出底线                   62'第62分钟，博尼后场传球被罗霍铲断，乔-哈特及时出击抢在马塔之前铲球解围
62'曼联获得左侧角球机会，埃雷拉主罚                   62'第62分钟，博尼后场传球被罗霍铲断，乔-哈特及时出击抢在马塔之前铲球解围
62'角球开出到前点，图雷头球解围                   62'第62分钟，博尼后场传球被罗霍铲断，乔-哈特及时出击抢在马塔之前铲球解围
63'曼城后场失误，博尼回传差点助攻马塔上演单刀                   62'第62分钟，博尼后场传球被罗霍铲断，乔-哈特及时出击抢在马塔之前铲球解围
63'好在哈特出击及时，在大禁区线上将球破坏掉                   62'第62分钟，博尼后场传球被罗霍铲断，乔-哈特及时出击抢在马塔之前铲球解围
63'佩帅这次换人值得商榷，博尼上半场表现并不好，没有斯特林活跃啊                   62'第62分钟，博尼后场传球被罗霍铲断，乔-哈特及时出击抢在马塔之前铲球解围
64'斯莫林后场拿球，分给左侧的罗霍                   62'第62分钟，博尼后场传球被罗霍铲断，乔-哈特及时出击抢在马塔之前铲球解围
65'罗霍左脚起球到禁区找马塔，被孔帕尼头球解围                   62'第62分钟，博尼后场传球被罗霍铲断，乔-哈特及时出击抢在马塔之前铲球解围
65'纳瓦斯右路拿球反击，罗霍回防，身后撞翻了纳瓦斯，犯规                   62'第62分钟，博尼后场传球被罗霍铲断，乔-哈特及时出击抢在马塔之前铲球解围
84'费莱尼上抢将球拦截，费尔南多再抢，拉人犯规                   84'曼联第84分钟险些破门，马夏尔左路挑传，林加德小禁区前凌空捅射憾中横梁
84'横梁！！！                   84'曼联第84分钟险些破门，马夏尔左路挑传，林加德小禁区前凌空捅射憾中横梁
84'林加德射门，打在了横梁上！！！                   84'曼联第84分钟险些破门，马夏尔左路挑传，林加德小禁区前凌空捅射憾中横梁
85'马夏尔左路拿球，内切，过顶球到禁区                   84'曼联第84分钟险些破门，马夏尔左路挑传，林加德小禁区前凌空捅射憾中横梁
