1'上半场比赛开始                   1'第1分钟，拜仁踢得很有耐心，第20分钟首次威胁便告得手
1'拜仁慕尼黑开球，回传后场                   1'第1分钟，拜仁踢得很有耐心，第20分钟首次威胁便告得手
1'拜仁慕尼黑右路攻到左路交给阿拉巴                   1'第1分钟，拜仁踢得很有耐心，第20分钟首次威胁便告得手
1'拜仁慕尼黑挑传禁区，阿拉巴快速插上，沃尔姆出击把球大脚破坏                   1'第1分钟，拜仁踢得很有耐心，第20分钟首次威胁便告得手
2'阿拉巴发前场界外球，格策接球横传，转移到右路                   1'第1分钟，拜仁踢得很有耐心，第20分钟首次威胁便告得手
2'前场拜仁慕尼黑断球，阿拉巴分边，格策左路横传禁区，插上队员抢点打门出底线                   1'第1分钟，拜仁踢得很有耐心，第20分钟首次威胁便告得手
3'[互动话题]拜仁慕尼黑家门口作战，上半场能率先进球吗？A、能 B、不能[qiangda]                   1'第1分钟，拜仁踢得很有耐心，第20分钟首次威胁便告得手
3'后场拜仁慕尼黑断球，右路攻到中场，阿隆索接球回传一脚                   1'第1分钟，拜仁踢得很有耐心，第20分钟首次威胁便告得手
4'阿拉巴左路接球，横传交给霍伊别尔格                   1'第1分钟，拜仁踢得很有耐心，第20分钟首次威胁便告得手
4'拜仁慕尼黑压制了对手，但打得非常耐心！                   1'第1分钟，拜仁踢得很有耐心，第20分钟首次威胁便告得手
4'阿隆索右路直传球，在前场传切配合，把球传丢                   1'第1分钟，拜仁踢得很有耐心，第20分钟首次威胁便告得手
27'拜仁慕尼黑进球啦，阿隆索，2-0                   27'第27分钟，赫伊比耶赢得任意球，两名队友跑动掩护后，阿隆索左侧距门22米处推射钻过人墙入近角，2比0，他上次联赛破门还要追溯到2011年8月28日(皇马对阵萨拉戈萨)
27'阿隆索发任意球直接打门，人墙跳起来，地滚球直接进入球门！！                   27'第27分钟，赫伊比耶赢得任意球，两名队友跑动掩护后，阿隆索左侧距门22米处推射钻过人墙入近角，2比0，他上次联赛破门还要追溯到2011年8月28日(皇马对阵萨拉戈萨)
28'拜仁慕尼黑把比分扩大为2-0，您猜对了吗？                   27'第27分钟，赫伊比耶赢得任意球，两名队友跑动掩护后，阿隆索左侧距门22米处推射钻过人墙入近角，2比0，他上次联赛破门还要追溯到2011年8月28日(皇马对阵萨拉戈萨)
28'[互动话题]比赛进行到了28分钟，不莱梅队在上半场能有进球吗？A、能 B、不能[qiangda]                   27'第27分钟，赫伊比耶赢得任意球，两名队友跑动掩护后，阿隆索左侧距门22米处推射钻过人墙入近角，2比0，他上次联赛破门还要追溯到2011年8月28日(皇马对阵萨拉戈萨)
29'拜仁慕尼黑今天打得非常轻松，不莱梅队疲于应付                   27'第27分钟，赫伊比耶赢得任意球，两名队友跑动掩护后，阿隆索左侧距门22米处推射钻过人墙入近角，2比0，他上次联赛破门还要追溯到2011年8月28日(皇马对阵萨拉戈萨)
30'后场拜仁慕尼黑断球右路发动快速反击，对方放倒了罗本                   27'第27分钟，赫伊比耶赢得任意球，两名队友跑动掩护后，阿隆索左侧距门22米处推射钻过人墙入近角，2比0，他上次联赛破门还要追溯到2011年8月28日(皇马对阵萨拉戈萨)
30'这毕竟是榜首榜尾之战，实力悬殊太大。                   27'第27分钟，赫伊比耶赢得任意球，两名队友跑动掩护后，阿隆索左侧距门22米处推射钻过人墙入近角，2比0，他上次联赛破门还要追溯到2011年8月28日(皇马对阵萨拉戈萨)
45'拜仁慕尼黑又进球啦！格策，4-0                   45'第45分钟，阿拉巴左路低传，格策在门前15米处停球转身弧线球贴远门柱入网，4比0
46'阿左路传球到禁区内，格策接球没有抬头直接转身打门，皮球擦着立柱进啦！！                   45'第45分钟，阿拉巴左路低传，格策在门前15米处停球转身弧线球贴远门柱入网，4比0
46'进球速度太快啦！                   45'第45分钟，阿拉巴左路低传，格策在门前15米处停球转身弧线球贴远门柱入网，4比0
46'上半场比赛结束，拜仁慕尼黑4-0大比分领先不莱梅队！                   45'第45分钟，阿拉巴左路低传，格策在门前15米处停球转身弧线球贴远门柱入网，4比0
46'两队实力相差太悬殊，拜仁慕尼黑全力进攻，比赛基本上是在对方半场来打！                   45'第45分钟，阿拉巴左路低传，格策在门前15米处停球转身弧线球贴远门柱入网，4比0
47'不莱梅队只有招架之力，只有防守，很难发动进攻！                   45'第45分钟，阿拉巴左路低传，格策在门前15米处停球转身弧线球贴远门柱入网，4比0
46'下半场比赛开始                   45'第45分钟，阿拉巴左路低传，格策在门前15米处停球转身弧线球贴远门柱入网，4比0
46'拜仁慕尼黑换人：贝尔纳特上场换下阿拉巴                   45'第45分钟，阿拉巴左路低传，格策在门前15米处停球转身弧线球贴远门柱入网，4比0
46'不莱梅队也进行人员调整：布什换下埃利亚                   45'第45分钟，阿拉巴左路低传，格策在门前15米处停球转身弧线球贴远门柱入网，4比0
46'罗本右路突破横传禁区，拉菲尼亚横传门前，皮球滑门而过                   45'第45分钟，阿拉巴左路低传，格策在门前15米处停球转身弧线球贴远门柱入网，4比0
47'拜仁慕尼黑左路下底横传门前，沃尔姆把球没收                   45'第45分钟，阿拉巴左路低传，格策在门前15米处停球转身弧线球贴远门柱入网，4比0
48'博阿滕直塞禁区，拉姆脚后跟传球，对方破坏                   45'第45分钟，阿拉巴左路低传，格策在门前15米处停球转身弧线球贴远门柱入网，4比0
53'不莱梅队左路传球，对方把球破坏出边线                   53'第53分钟，罗本禁区内胸部停球被卢金亚拉倒，未能得到点球
53'界外球发出来，拜仁慕尼黑断球挑传禁区，罗本被对方拉倒在地，但主裁判没有吹！                   53'第53分钟，罗本禁区内胸部停球被卢金亚拉倒，未能得到点球
53'鲁基亚手上确实有个动作，但这时候主裁判不会对这种不是特别明显的动作吹点球啦！                   53'第53分钟，罗本禁区内胸部停球被卢金亚拉倒，未能得到点球
55'拜仁慕尼黑左路攻到前场，直传球没能过去                   53'第53分钟，罗本禁区内胸部停球被卢金亚拉倒，未能得到点球
56'下半场不莱梅队的进攻完全没有起色                   53'第53分钟，罗本禁区内胸部停球被卢金亚拉倒，未能得到点球
66'拜仁慕尼黑挑传禁区，霍伊别尔格可惜没能包抄到位，球出底线                   66'第66分钟，博阿滕传中，穆勒头球偏出右门柱
67'拜仁慕尼黑走左路攻到前场，格策再分边                   66'第66分钟，博阿滕传中，穆勒头球偏出右门柱
67'不莱梅队摸不到球啊！！                   66'第66分钟，博阿滕传中，穆勒头球偏出右门柱
67'里贝里左路突破，被弗里茨抢断下来                   66'第66分钟，博阿滕传中，穆勒头球偏出右门柱
67'弗里茨的动作较大，撞倒了里贝里                   66'第66分钟，博阿滕传中，穆勒头球偏出右门柱
69'后场不莱梅队大脚长传，直接送给了对手                   66'第66分钟，博阿滕传中，穆勒头球偏出右门柱
69'对不莱梅队来说，希望比赛快一点结束，不要丢更多的球                   66'第66分钟，博阿滕传中，穆勒头球偏出右门柱
78'主裁判示意他站起来，并没有吹                   78'第78分钟，穆勒右路低传，拉姆前点脚后跟磕给沙奇里，沙奇里又做回给拉姆，拉姆右侧距门6米处推进远角，5比0，这是他职业生涯首次梅开二度
78'拜仁慕尼黑进球啦，拉姆梅开二度！5-0                   78'第78分钟，穆勒右路低传，拉姆前点脚后跟磕给沙奇里，沙奇里又做回给拉姆，拉姆右侧距门6米处推进远角，5比0，这是他职业生涯首次梅开二度
79'穆勒右路横传门前，拉姆转身抢位，把球打进！                   78'第78分钟，穆勒右路低传，拉姆前点脚后跟磕给沙奇里，沙奇里又做回给拉姆，拉姆右侧距门6米处推进远角，5比0，这是他职业生涯首次梅开二度
80'近几轮拜仁慕尼黑总是大比分取胜！本场又是大比分啊！                   78'第78分钟，穆勒右路低传，拉姆前点脚后跟磕给沙奇里，沙奇里又做回给拉姆，拉姆右侧距门6米处推进远角，5比0，这是他职业生涯首次梅开二度
80'里贝里右路带球到小禁区，横传球力量大啦                   78'第78分钟，穆勒右路低传，拉姆前点脚后跟磕给沙奇里，沙奇里又做回给拉姆，拉姆右侧距门6米处推进远角，5比0，这是他职业生涯首次梅开二度
