2'西汉姆联球员贾维斯大禁区左侧右脚射门,被防守球员封堵.给他传球的是诺兰.                   2'开场仅2分钟，诺兰回传，贾维斯禁区左侧的射门被拉斐尔封堵
5'西汉姆联球员迪亚姆大禁区外左脚射门,被防守球员封堵.                   2'开场仅2分钟，诺兰回传，贾维斯禁区左侧的射门被拉斐尔封堵
5'西汉姆联球员安迪-卡罗尔大禁区外尝试左脚射门,可惜皮球稍稍偏出了右球门.                   2'开场仅2分钟，诺兰回传，贾维斯禁区左侧的射门被拉斐尔封堵
5'西汉姆联球员安迪-卡罗尔一脚直塞球给诺兰,但是边裁举旗显示后者已经越位.                   2'开场仅2分钟，诺兰回传，贾维斯禁区左侧的射门被拉斐尔封堵
10'柯林斯将球处理出底线,曼联获得角球.                   10'第10分钟，费迪南德长传，范佩西10码处停球后被詹姆斯-科林斯及时抢断解围
11'西汉姆联球员诺兰拼抢犯规,对手获得控球权.                   10'第10分钟，费迪南德长传，范佩西10码处停球后被詹姆斯-科林斯及时抢断解围
11'菲尔-琼斯为曼联赢得一个任意球.                   10'第10分钟，费迪南德长传，范佩西10码处停球后被詹姆斯-科林斯及时抢断解围
13'香川慎司将球处理出底线,西汉姆联获得角球.                   10'第10分钟，费迪南德长传，范佩西10码处停球后被詹姆斯-科林斯及时抢断解围
16'进球啦！！！西汉姆联球员瓦斯特球门线跟前头球,球从左下角飞进球门,球进了!助攻的是安迪-卡罗尔. 西汉姆联 1-0 曼联.                   16'西汉姆第16分钟取得领先，香川真司前场丢球，贾维斯反击中禁区左侧晃过费迪南德传中，卡罗尔小禁区前力压埃弗拉头球摆渡，瓦兹特近距离鱼跃头球接力破门，这是葡萄牙人近16场比赛首度进球
31'进球啦！！！曼联球员瓦伦西亚球门线跟前右脚射门,球从中路飞进球门,球进了!助攻的是香川慎司. 西汉姆联 1-1 曼联.                   31'曼联第31分钟扳平比分，范佩西左路横传，香川真司禁区左侧下底传中，皮球从施瓦泽和三名后卫之间穿过，瓦伦西亚近距离打入空门
33'曼联球员范佩西大禁区中央尝试头球,可惜皮球稍稍偏出了左球门.给他传球的是菲尔-琼斯.                   31'曼联第31分钟扳平比分，范佩西左路横传，香川真司禁区左侧下底传中，皮球从施瓦泽和三名后卫之间穿过，瓦伦西亚近距离打入空门
34'西汉姆联球员迪亚姆大禁区左侧尝试右脚射门,可惜皮球稍稍偏出了左球门.给他传球的是奥尼尔.                   31'曼联第31分钟扳平比分，范佩西左路横传，香川真司禁区左侧下底传中，皮球从施瓦泽和三名后卫之间穿过，瓦伦西亚近距离打入空门
33'曼联球员范佩西大禁区中央尝试头球,可惜皮球稍稍偏出了左球门.给他传球的是菲尔-琼斯.                   33'第33分钟，菲尔-琼斯传中，范佩西头球攻门偏出
34'西汉姆联球员迪亚姆大禁区左侧尝试右脚射门,可惜皮球稍稍偏出了左球门.给他传球的是奥尼尔.                   33'第33分钟，菲尔-琼斯传中，范佩西头球攻门偏出
35'西汉姆联球员瓦斯特大禁区外尝试右脚射门,可惜皮球稍稍偏出了左球门.给他传球的是迪亚姆.                   33'第33分钟，菲尔-琼斯传中，范佩西头球攻门偏出
35'西汉姆联球员瓦斯特大禁区外尝试右脚射门,可惜皮球稍稍偏出了左球门.给他传球的是迪亚姆.                   35'第35分钟，迪亚梅传球，瓦兹特禁区前射门偏出
50'西汉姆联球员安迪-卡罗尔拼抢犯规,对手获得控球权.                   50'第50分钟，卡罗尔再度冲撞门将后不满判罚被黄牌警告
