20'美因茨球员布拉西斯犯规,致使对方获得点球.                   20'第20分钟，科曼右路切入禁区被德布拉西斯伸腿绊倒，点球
20'点球,科曼在禁区内被侵犯,拜仁慕尼黑获得点球.                   20'第20分钟，科曼右路切入禁区被德布拉西斯伸腿绊倒，点球
21'点球！拜仁慕尼黑球员穆勒右脚射门,可惜皮球稍稍高出球门.                   20'第20分钟，科曼右路切入禁区被德布拉西斯伸腿绊倒，点球
22'美因茨球员本特松一脚直塞球给布拉西斯,但是边裁举旗显示后者已经越位.                   20'第20分钟，科曼右路切入禁区被德布拉西斯伸腿绊倒，点球
23'美因茨球员拉察拼抢犯规,对手获得控球权.                   20'第20分钟，科曼右路切入禁区被德布拉西斯伸腿绊倒，点球
23'阿隆索为拜仁慕尼黑在对方半场,赢得一个任意球.                   20'第20分钟，科曼右路切入禁区被德布拉西斯伸腿绊倒，点球
28'美因茨球员穆托大禁区中央尝试右脚射门,可惜皮球稍稍偏出了左球门.                   28'美因茨第28分钟首次制造威胁，武藤嘉纪左路切入禁区距门13米处低射打在边网上
28'美因茨球员鲍姆加特林格拼抢犯规,对手获得控球权.                   28'美因茨第28分钟首次制造威胁，武藤嘉纪左路切入禁区距门13米处低射打在边网上
28'穆勒为拜仁慕尼黑在对方半场,赢得一个任意球.                   28'美因茨第28分钟首次制造威胁，武藤嘉纪左路切入禁区距门13米处低射打在边网上
28'黄牌！美因茨球员鲍姆加特林格因为恶意犯规,被主裁判出示黄牌.                   28'美因茨第28分钟首次制造威胁，武藤嘉纪左路切入禁区距门13米处低射打在边网上
30'穆托为美因茨在右路,赢得一个任意球.                   28'美因茨第28分钟首次制造威胁，武藤嘉纪左路切入禁区距门13米处低射打在边网上
30'拜仁慕尼黑球员拼抢犯规,对手获得控球权.                   28'美因茨第28分钟首次制造威胁，武藤嘉纪左路切入禁区距门13米处低射打在边网上
51'进球啦！！！拜仁慕尼黑球员莱万多夫斯基大禁区中央头球,球从左下角飞进球门,球进了!助攻的是科曼. 美因茨 0-1 拜仁慕尼黑.                   51'下半时开始6分钟，科曼右路突破传球，莱万后点距门9米处头球顶入近角，1比0
53'布拉西斯为美因茨在左路,赢得一个任意球.                   51'下半时开始6分钟，科曼右路突破传球，莱万后点距门9米处头球顶入近角，1比0
53'拜仁慕尼黑球员哈维-马丁内斯拼抢犯规,对手获得控球权.                   51'下半时开始6分钟，科曼右路突破传球，莱万后点距门9米处头球顶入近角，1比0
63'进球啦！！！拜仁慕尼黑球员莱万多夫斯基大禁区中央左脚射门,球从中路飞进球门,球进了!助攻的是比达尔. 美因茨 0-2 拜仁慕尼黑.                   63'第63分钟，比达尔直传，莱万反越位晃过卡里乌斯，在门前6米处左脚推进空门，2比0，他在德甲外籍球员进球榜排名第5位，再进5球就能追平埃尔顿和查普伊萨特(106球)
64'美因茨球员贝尔拼抢犯规,对手获得控球权.                   63'第63分钟，比达尔直传，莱万反越位晃过卡里乌斯，在门前6米处左脚推进空门，2比0，他在德甲外籍球员进球榜排名第5位，再进5球就能追平埃尔顿和查普伊萨特(106球)
64'莱万多夫斯基为拜仁慕尼黑在对方半场,赢得一个任意球.                   63'第63分钟，比达尔直传，莱万反越位晃过卡里乌斯，在门前6米处左脚推进空门，2比0，他在德甲外籍球员进球榜排名第5位，再进5球就能追平埃尔顿和查普伊萨特(106球)
65'射门!!!拜仁慕尼黑球员蒂亚戈大禁区外右脚射门,被对方守门员横身扑出.                   63'第63分钟，比达尔直传，莱万反越位晃过卡里乌斯，在门前6米处左脚推进空门，2比0，他在德甲外籍球员进球榜排名第5位，再进5球就能追平埃尔顿和查普伊萨特(106球)
65'鲍姆加特林格为美因茨在对方半场,赢得一个任意球.                   63'第63分钟，比达尔直传，莱万反越位晃过卡里乌斯，在门前6米处左脚推进空门，2比0，他在德甲外籍球员进球榜排名第5位，再进5球就能追平埃尔顿和查普伊萨特(106球)
65'拜仁慕尼黑球员蒂亚戈拼抢犯规,对手获得控球权.                   63'第63分钟，比达尔直传，莱万反越位晃过卡里乌斯，在门前6米处左脚推进空门，2比0，他在德甲外籍球员进球榜排名第5位，再进5球就能追平埃尔顿和查普伊萨特(106球)
68'进球啦！！！拜仁慕尼黑球员科曼球门线跟前右脚射门,球从中路飞进球门,球进了!助攻的是道格拉斯-科斯塔. 美因茨 0-3 拜仁慕尼黑.                   68'第68分钟，科斯塔左路突入禁区左侧传中，科曼后点距门4米处左脚推进空门，3比0，他代表拜仁前3场德甲参与4球(2球，2次助攻)
69'拜仁慕尼黑球员蒂亚戈一脚直塞球给莱万多夫斯基,但是边裁举旗显示后者已经越位.                   68'第68分钟，科斯塔左路突入禁区左侧传中，科曼后点距门4米处左脚推进空门，3比0，他代表拜仁前3场德甲参与4球(2球，2次助攻)
70'拜仁慕尼黑换人,格策换下道格拉斯-科斯塔                   68'第68分钟，科斯塔左路突入禁区左侧传中，科曼后点距门4米处左脚推进空门，3比0，他代表拜仁前3场德甲参与4球(2球，2次助攻)
71'鲍姆加特林格为美因茨在对方半场,赢得一个任意球.                   68'第68分钟，科斯塔左路突入禁区左侧传中，科曼后点距门4米处左脚推进空门，3比0，他代表拜仁前3场德甲参与4球(2球，2次助攻)
71'拜仁慕尼黑球员格策拼抢犯规,对手获得控球权.                   68'第68分钟，科斯塔左路突入禁区左侧传中，科曼后点距门4米处左脚推进空门，3比0，他代表拜仁前3场德甲参与4球(2球，2次助攻)
77'美因茨球员克莱门斯大禁区右侧右脚射门,命中门柱横梁.给他传球的是桑佩里奥.                   77'美因茨第77分钟几乎追回一分，克莱门斯禁区右侧左脚扣过拉菲尼亚，在门前11米处斜射蹭横梁上沿而出
79'美因茨球员布罗辛斯基拼抢犯规,对手获得控球权.                   77'美因茨第77分钟几乎追回一分，克莱门斯禁区右侧左脚扣过拉菲尼亚，在门前11米处斜射蹭横梁上沿而出
79'格策为拜仁慕尼黑赢得一个任意球.                   77'美因茨第77分钟几乎追回一分，克莱门斯禁区右侧左脚扣过拉菲尼亚，在门前11米处斜射蹭横梁上沿而出
80'鲍姆加特林格为美因茨赢得一个任意球.                   77'美因茨第77分钟几乎追回一分，克莱门斯禁区右侧左脚扣过拉菲尼亚，在门前11米处斜射蹭横梁上沿而出
80'拜仁慕尼黑球员格策拼抢犯规,对手获得控球权.                   77'美因茨第77分钟几乎追回一分，克莱门斯禁区右侧左脚扣过拉菲尼亚，在门前11米处斜射蹭横梁上沿而出
