8'暂停结束,球员们重新开始比赛.                   8'第8分钟宋博轩大腿内侧肌肉拉伤，申 花用姜坤将其紧急换下
9'莫雷诺为上海申花赢得一个任意球.                   8'第8分钟宋博轩大腿内侧肌肉拉伤，申 花用姜坤将其紧急换下
9'长春亚泰球员阎峰拼抢犯规,对手获得控球权.                   8'第8分钟宋博轩大腿内侧肌肉拉伤，申 花用姜坤将其紧急换下
9'上海申花换人,姜坤上,宋博轩因伤下场.                   8'第8分钟宋博轩大腿内侧肌肉拉伤，申 花用姜坤将其紧急换下
11'长春亚泰球员伊萨克被主裁判出示了一张黄牌.                   8'第8分钟宋博轩大腿内侧肌肉拉伤，申 花用姜坤将其紧急换下
24'张文钊为长春亚泰在右路,赢得一个任意球.                   23'第23分钟长春队右路由张文钊将任意球开到禁区，乱军中长春队几名队员顶 在一起，皮球反而没有顶实
24'上海申花球员王长庆拼抢犯规,对手获得控球权.                   23'第23分钟长春队右路由张文钊将任意球开到禁区，乱军中长春队几名队员顶 在一起，皮球反而没有顶实
24'长春亚泰球员王万鹏大禁区中央尝试头球,可惜皮球稍稍偏出了左球门.给他传球的是埃尼尼奥.                   23'第23分钟长春队右路由张文钊将任意球开到禁区，乱军中长春队几名队员顶 在一起，皮球反而没有顶实
25'进球啦！！！长春亚泰球员雷泽克大禁区左侧右脚射门,球从右下角飞进球门,球进了!助攻的是王万鹏. 上海申花 0-1 长春亚泰.                   23'第23分钟长春队右路由张文钊将任意球开到禁区，乱军中长春队几名队员顶 在一起，皮球反而没有顶实
31'伊萨克为长春亚泰在对方半场,赢得一个任意球.                   30'第30分钟斯基亚维对伊萨克拦截犯规吃到黄牌，埃尼奥离门30米外直接任意球稍稍高出
31'上海申花球员斯基亚维拼抢犯规,对手获得控球权.                   30'第30分钟斯基亚维对伊萨克拦截犯规吃到黄牌，埃尼奥离门30米外直接任意球稍稍高出
31'黄牌！上海申花球员斯基亚维因为恶意犯规,被主裁判出示黄牌.                   30'第30分钟斯基亚维对伊萨克拦截犯规吃到黄牌，埃尼奥离门30米外直接任意球稍稍高出
32'长春亚泰球员埃尼尼奥直接任意球尝试右脚射门,可惜皮球偏出球门.                   30'第30分钟斯基亚维对伊萨克拦截犯规吃到黄牌，埃尼奥离门30米外直接任意球稍稍高出
32'长春亚泰球员王万鹏拼抢犯规,对手获得控球权.                   30'第30分钟斯基亚维对伊萨克拦截犯规吃到黄牌，埃尼奥离门30米外直接任意球稍稍高出
32'莫雷诺为上海申花在对方半场,赢得一个任意球.                   30'第30分钟斯基亚维对伊萨克拦截犯规吃到黄牌，埃尼奥离门30米外直接任意球稍稍高出
33'黄牌！长春亚泰球员王万鹏因为恶意犯规,被主裁判出示黄牌.                   30'第30分钟斯基亚维对伊萨克拦截犯规吃到黄牌，埃尼奥离门30米外直接任意球稍稍高出
35'长春亚泰球员埃尼尼奥拼抢犯规,对手获得控球权.                   35'第35分钟莫雷诺从右路强行内切到中路打门稍偏
