1'比赛开始了，国安率先开球                   1'第1分钟国安首次进攻就在苏宁禁区内获得射门机会，于大宝在李昂封堵下将球打偏
1'中圈后侧回敲给张稀哲                   1'第1分钟国安首次进攻就在苏宁禁区内获得射门机会，于大宝在李昂封堵下将球打偏
1'左侧在给到金泰延，，，横敲比埃拉                   1'第1分钟国安首次进攻就在苏宁禁区内获得射门机会，于大宝在李昂封堵下将球打偏
1'分右侧姜涛，，给到门将                   1'第1分钟国安首次进攻就在苏宁禁区内获得射门机会，于大宝在李昂封堵下将球打偏
1'郭全博大脚开起来                   1'第1分钟国安首次进攻就在苏宁禁区内获得射门机会，于大宝在李昂封堵下将球打偏
1'中圈附近比埃拉拿球，，给到奥古斯托                   1'第1分钟国安首次进攻就在苏宁禁区内获得射门机会，于大宝在李昂封堵下将球打偏
2'分前场找于大宝，再给右路张稀哲                   1'第1分钟国安首次进攻就在苏宁禁区内获得射门机会，于大宝在李昂封堵下将球打偏
2'低球横敲，，禁区右侧找索里亚诺                   1'第1分钟国安首次进攻就在苏宁禁区内获得射门机会，于大宝在李昂封堵下将球打偏
2'在后卫干扰下，踉跄几步，，踢空了                   1'第1分钟国安首次进攻就在苏宁禁区内获得射门机会，于大宝在李昂封堵下将球打偏
2'身边于大宝跟上，，再射，偏出底线                   1'第1分钟国安首次进攻就在苏宁禁区内获得射门机会，于大宝在李昂封堵下将球打偏
2'顾超开出门球                   1'第1分钟国安首次进攻就在苏宁禁区内获得射门机会，于大宝在李昂封堵下将球打偏
2'中圈附近争顶，，，苏宁碰出边线                   1'第1分钟国安首次进攻就在苏宁禁区内获得射门机会，于大宝在李昂封堵下将球打偏
3'国安左侧界外球，，没给好                   1'第1分钟国安首次进攻就在苏宁禁区内获得射门机会，于大宝在李昂封堵下将球打偏
3'但是比埃拉反抢下来                   1'第1分钟国安首次进攻就在苏宁禁区内获得射门机会，于大宝在李昂封堵下将球打偏
3'给身后池忠国，，身前再给比埃拉                   1'第1分钟国安首次进攻就在苏宁禁区内获得射门机会，于大宝在李昂封堵下将球打偏
3'摆脱，过掉吉翔，低球向前找到索里亚诺                   1'第1分钟国安首次进攻就在苏宁禁区内获得射门机会，于大宝在李昂封堵下将球打偏
3'杨博宇上抢，，大脚破坏                   1'第1分钟国安首次进攻就在苏宁禁区内获得射门机会，于大宝在李昂封堵下将球打偏
3'金泰延拿球，给奥古斯托组织                   1'第1分钟国安首次进攻就在苏宁禁区内获得射门机会，于大宝在李昂封堵下将球打偏
4'分中圈的张稀哲，，遭到逼抢，再给雷腾龙                   1'第1分钟国安首次进攻就在苏宁禁区内获得射门机会，于大宝在李昂封堵下将球打偏
4'前场左侧给比埃拉，，直塞                   1'第1分钟国安首次进攻就在苏宁禁区内获得射门机会，于大宝在李昂封堵下将球打偏
4'提前量恰到好处，，张稀哲插上                   1'第1分钟国安首次进攻就在苏宁禁区内获得射门机会，于大宝在李昂封堵下将球打偏
4'倒三角，，，小禁区内李昂迅速解围                   1'第1分钟国安首次进攻就在苏宁禁区内获得射门机会，于大宝在李昂封堵下将球打偏
4'杨笑天左侧拿球，，往前趟，被姜涛破坏                   1'第1分钟国安首次进攻就在苏宁禁区内获得射门机会，于大宝在李昂封堵下将球打偏
4'吴曦中圈拿球，左侧给埃德尔                   1'第1分钟国安首次进攻就在苏宁禁区内获得射门机会，于大宝在李昂封堵下将球打偏
9'再给左侧杨笑天，，左路起球                   9'第9分钟，奥古斯托犀利斜传引出威胁攻势，姜涛插入禁区右侧后回敲中路，张稀哲迎球低射被顾超拦截
9'传中到禁区，，，张瑀破坏出来                   9'第9分钟，奥古斯托犀利斜传引出威胁攻势，姜涛插入禁区右侧后回敲中路，张稀哲迎球低射被顾超拦截
9'大禁区外左侧，埃德尔拿球，，再给杨笑天                   9'第9分钟，奥古斯托犀利斜传引出威胁攻势，姜涛插入禁区右侧后回敲中路，张稀哲迎球低射被顾超拦截
9'左侧再起，，，到门前                   9'第9分钟，奥古斯托犀利斜传引出威胁攻势，姜涛插入禁区右侧后回敲中路，张稀哲迎球低射被顾超拦截
9'郭全博直接摘走                   9'第9分钟，奥古斯托犀利斜传引出威胁攻势，姜涛插入禁区右侧后回敲中路，张稀哲迎球低射被顾超拦截
9'大力手抛，，左侧给金泰延                   9'第9分钟，奥古斯托犀利斜传引出威胁攻势，姜涛插入禁区右侧后回敲中路，张稀哲迎球低射被顾超拦截
9'身前，，吉翔安全断下                   9'第9分钟，奥古斯托犀利斜传引出威胁攻势，姜涛插入禁区右侧后回敲中路，张稀哲迎球低射被顾超拦截
9'也是一个转移，，继续找左路                   9'第9分钟，奥古斯托犀利斜传引出威胁攻势，姜涛插入禁区右侧后回敲中路，张稀哲迎球低射被顾超拦截
10'杨笑天有点忙啊，，没接好，出界                   9'第9分钟，奥古斯托犀利斜传引出威胁攻势，姜涛插入禁区右侧后回敲中路，张稀哲迎球低射被顾超拦截
10'姜涛右侧界外球，给池忠国                   9'第9分钟，奥古斯托犀利斜传引出威胁攻势，姜涛插入禁区右侧后回敲中路，张稀哲迎球低射被顾超拦截
10'分左侧金泰延，，推进，再给奥古斯托                   9'第9分钟，奥古斯托犀利斜传引出威胁攻势，姜涛插入禁区右侧后回敲中路，张稀哲迎球低射被顾超拦截
10'停球， ，再给比埃拉，，低球斜传                   9'第9分钟，奥古斯托犀利斜传引出威胁攻势，姜涛插入禁区右侧后回敲中路，张稀哲迎球低射被顾超拦截
10'姜涛右侧杀出，，趟入禁区，倒三角                   9'第9分钟，奥古斯托犀利斜传引出威胁攻势，姜涛插入禁区右侧后回敲中路，张稀哲迎球低射被顾超拦截
10'回到中路，张稀哲，跟上，，低射                   9'第9分钟，奥古斯托犀利斜传引出威胁攻势，姜涛插入禁区右侧后回敲中路，张稀哲迎球低射被顾超拦截
10'顾超反应神速，，，把球没收                   9'第9分钟，奥古斯托犀利斜传引出威胁攻势，姜涛插入禁区右侧后回敲中路，张稀哲迎球低射被顾超拦截
11'顾超大脚开出去                   9'第9分钟，奥古斯托犀利斜传引出威胁攻势，姜涛插入禁区右侧后回敲中路，张稀哲迎球低射被顾超拦截
11'中圈附近，，姜涛得球，，回敲张瑀                   9'第9分钟，奥古斯托犀利斜传引出威胁攻势，姜涛插入禁区右侧后回敲中路，张稀哲迎球低射被顾超拦截
11'再给身前池忠国，，挑传左侧金泰延                   9'第9分钟，奥古斯托犀利斜传引出威胁攻势，姜涛插入禁区右侧后回敲中路，张稀哲迎球低射被顾超拦截
11'身前找于大宝，，，转身护球，，                   9'第9分钟，奥古斯托犀利斜传引出威胁攻势，姜涛插入禁区右侧后回敲中路，张稀哲迎球低射被顾超拦截
