12'下底传中，拉米解围出底线，角球                   12'第12分钟，内马尔开出角球，中路德拉克斯勒接球后怒射将球打飞
12'内马尔来主罚                   12'第12分钟，内马尔开出角球，中路德拉克斯勒接球后怒射将球打飞
12'低平球传到禁区弧顶附近，德拉克斯勒跟上的一脚打门                   12'第12分钟，内马尔开出角球，中路德拉克斯勒接球后怒射将球打飞
12'打高了啊                   12'第12分钟，内马尔开出角球，中路德拉克斯勒接球后怒射将球打飞
13'奥坎波斯控球，给到帕耶                   12'第12分钟，内马尔开出角球，中路德拉克斯勒接球后怒射将球打飞
13'传给萨尔，直接一脚打门，偏出了                   12'第12分钟，内马尔开出角球，中路德拉克斯勒接球后怒射将球打飞
13'阿雷奥拉大脚开出                   12'第12分钟，内马尔开出角球，中路德拉克斯勒接球后怒射将球打飞
14'迪马利亚控球，给到贝尔纳特                   12'第12分钟，内马尔开出角球，中路德拉克斯勒接球后怒射将球打飞
14'分给内马尔，再到右边默尼耶                   12'第12分钟，内马尔开出角球，中路德拉克斯勒接球后怒射将球打飞
15'传中了，内马尔胸部停球                   12'第12分钟，内马尔开出角球，中路德拉克斯勒接球后怒射将球打飞
15'挑起后想来一脚倒钩                   12'第12分钟，内马尔开出角球，中路德拉克斯勒接球后怒射将球打飞
15'身后的古斯塔沃早已意识到，提前破坏                   12'第12分钟，内马尔开出角球，中路德拉克斯勒接球后怒射将球打飞
28'拉米给到萨尔，塞给古斯塔沃                   28'第28分钟，托万传中，默尼耶将球打出，古斯塔沃禁区外弧顶处远射堪堪偏出左侧门柱
29'再找帕耶，一脚打门被挡出                   28'第28分钟，托万传中，默尼耶将球打出，古斯塔沃禁区外弧顶处远射堪堪偏出左侧门柱
29'跟上的古斯塔沃也来一脚，偏出了门框                   28'第28分钟，托万传中，默尼耶将球打出，古斯塔沃禁区外弧顶处远射堪堪偏出左侧门柱
30'恩索基给到德拉克斯勒，带球又被断                   28'第28分钟，托万传中，默尼耶将球打出，古斯塔沃禁区外弧顶处远射堪堪偏出左侧门柱
30'奥坎波斯得球，分给桑松                   28'第28分钟，托万传中，默尼耶将球打出，古斯塔沃禁区外弧顶处远射堪堪偏出左侧门柱
30'再到斯特罗曼                   28'第28分钟，托万传中，默尼耶将球打出，古斯塔沃禁区外弧顶处远射堪堪偏出左侧门柱
31'前场右侧几人配合，寻找机会                   28'第28分钟，托万传中，默尼耶将球打出，古斯塔沃禁区外弧顶处远射堪堪偏出左侧门柱
31'托万右侧一脚传中被解围                   28'第28分钟，托万传中，默尼耶将球打出，古斯塔沃禁区外弧顶处远射堪堪偏出左侧门柱
46'上半场补时1分钟                   46'第46分钟，德拉克斯勒小禁区附近回传，迪马利亚劲射被斯特罗曼在门线上解围，上半场双方互交白卷
46'奥坎波斯传中被解围                   46'第46分钟，德拉克斯勒小禁区附近回传，迪马利亚劲射被斯特罗曼在门线上解围，上半场双方互交白卷
46'恩索基传给德拉克斯勒，大脚分到右侧迪马利亚                   46'第46分钟，德拉克斯勒小禁区附近回传，迪马利亚劲射被斯特罗曼在门线上解围，上半场双方互交白卷
46'再到默尼耶                   46'第46分钟，德拉克斯勒小禁区附近回传，迪马利亚劲射被斯特罗曼在门线上解围，上半场双方互交白卷
46'传中                   46'第46分钟，德拉克斯勒小禁区附近回传，迪马利亚劲射被斯特罗曼在门线上解围，上半场双方互交白卷
47'后点德拉克斯勒分给迪马利亚                   46'第46分钟，德拉克斯勒小禁区附近回传，迪马利亚劲射被斯特罗曼在门线上解围，上半场双方互交白卷
