3'利沃诺球员邓肯大禁区左侧左脚射门,被防守球员封堵.给他传球的是卢西.                   3'开场3分钟，卢奇传过顶球，邓肯禁区左侧凌空抽射被封堵
4'AC米兰球员卡卡大禁区左侧右脚射门,被防守球员封堵.给他传球的是巴洛特利.                   3'开场3分钟，卢奇传过顶球，邓肯禁区左侧凌空抽射被封堵
4'凯舍里尼将球处理出底线,AC米兰获得角球.                   3'开场3分钟，卢奇传过顶球，邓肯禁区左侧凌空抽射被封堵
5'利沃诺球员邓肯危险动作,对手获得控球权.                   3'开场3分钟，卢奇传过顶球，邓肯禁区左侧凌空抽射被封堵
5'蒙托利沃为AC米兰在对方半场,赢得一个任意球.                   3'开场3分钟，卢奇传过顶球，邓肯禁区左侧凌空抽射被封堵
6'利沃诺球员卢西拼抢犯规,对手获得控球权.                   3'开场3分钟，卢奇传过顶球，邓肯禁区左侧凌空抽射被封堵
6'卡卡为AC米兰在左路,赢得一个任意球.                   3'开场3分钟，卢奇传过顶球，邓肯禁区左侧凌空抽射被封堵
7'进球啦！！！AC米兰球员巴洛特利球门线跟前左脚射门,球从右下角飞进球门,球进了!助攻的是卡卡. 利沃诺 0-1 AC米兰.                   7'第7分钟，卡卡禁区左侧扣过斯基亚塔雷拉送出地滚球，巴洛特利后点距门4米处脚后跟射门慢慢滚进右下角，1比0
8'利沃诺球员保利尼奥拼抢犯规,对手获得控球权.                   7'第7分钟，卡卡禁区左侧扣过斯基亚塔雷拉送出地滚球，巴洛特利后点距门4米处脚后跟射门慢慢滚进右下角，1比0
8'萨帕塔为AC米兰赢得一个任意球.                   7'第7分钟，卡卡禁区左侧扣过斯基亚塔雷拉送出地滚球，巴洛特利后点距门4米处脚后跟射门慢慢滚进右下角，1比0
9'利沃诺球员比亚詹蒂拼抢犯规,对手获得控球权.                   7'第7分钟，卡卡禁区左侧扣过斯基亚塔雷拉送出地滚球，巴洛特利后点距门4米处脚后跟射门慢慢滚进右下角，1比0
9'蒙托利沃为AC米兰在对方半场,赢得一个任意球.                   7'第7分钟，卡卡禁区左侧扣过斯基亚塔雷拉送出地滚球，巴洛特利后点距门4米处脚后跟射门慢慢滚进右下角，1比0
9'黄牌！利沃诺球员比亚詹蒂因为恶意犯规,被主裁判出示黄牌.                   7'第7分钟，卡卡禁区左侧扣过斯基亚塔雷拉送出地滚球，巴洛特利后点距门4米处脚后跟射门慢慢滚进右下角，1比0
10'利沃诺球员邓肯拼抢犯规,对手获得控球权.                   7'第7分钟，卡卡禁区左侧扣过斯基亚塔雷拉送出地滚球，巴洛特利后点距门4米处脚后跟射门慢慢滚进右下角，1比0
10'波利为AC米兰在右路,赢得一个任意球.                   7'第7分钟，卡卡禁区左侧扣过斯基亚塔雷拉送出地滚球，巴洛特利后点距门4米处脚后跟射门慢慢滚进右下角，1比0
12'利沃诺球员凯舍里尼大禁区中央尝试头球,可惜皮球高出球门.                   12'第12分钟，切凯里尼冲顶高出
15'利沃诺球员保利尼奥大禁区左侧尝试左脚射门,可惜皮球稍稍偏出了右球门.给他传球的是希利加尔迪.                   12'第12分钟，切凯里尼冲顶高出
21'保利尼奥为利沃诺在对方半场,赢得一个任意球.                   21'第21分钟，比尔萨右侧任意球斜传角球，卡卡脚后跟射门偏出远门柱
21'AC米兰球员萨帕塔拼抢犯规,对手获得控球权.                   21'第21分钟，比尔萨右侧任意球斜传角球，卡卡脚后跟射门偏出远门柱
22'射门!!!利沃诺球员埃莫森大禁区外左脚射门,被对方守门员横身扑出.                   21'第21分钟，比尔萨右侧任意球斜传角球，卡卡脚后跟射门偏出远门柱
23'卢西为利沃诺在对方半场,赢得一个任意球.                   21'第21分钟，比尔萨右侧任意球斜传角球，卡卡脚后跟射门偏出远门柱
23'AC米兰球员诺切里诺拼抢犯规,对手获得控球权.                   21'第21分钟，比尔萨右侧任意球斜传角球，卡卡脚后跟射门偏出远门柱
24'射门!!!利沃诺球员希利加尔迪大禁区外左脚射门,被对方守门员横身扑出.                   21'第21分钟，比尔萨右侧任意球斜传角球，卡卡脚后跟射门偏出远门柱
24'射门!!!利沃诺球员希利加尔迪大禁区外左脚射门,被对方守门员横身扑出.                   24'第24分钟，西利加迪左脚任意球被加布里埃尔没收
26'埃莫森为利沃诺赢得一个任意球.                   24'第24分钟，西利加迪左脚任意球被加布里埃尔没收
26'AC米兰球员诺切里诺拼抢犯规,对手获得控球权.                   24'第24分钟，西利加迪左脚任意球被加布里埃尔没收
26'进球啦！！！利沃诺球员希利加尔迪大禁区外左脚射门,球从左下角飞进球门,球进了!助攻的是希亚塔雷拉. 利沃诺 1-1 AC米兰.                   24'第24分钟，西利加迪左脚任意球被加布里埃尔没收
30'AC米兰球员巴洛特利手球犯规,对手获得球权.                   30'第30分钟，埃莫森向裁判抱怨，被黄牌警告
30'利沃诺球员埃莫森被主裁判出示了一张黄牌.                   30'第30分钟，埃莫森向裁判抱怨，被黄牌警告
31'利沃诺球员姆巴耶手球犯规,对手获得球权.                   30'第30分钟，埃莫森向裁判抱怨，被黄牌警告
38'利沃诺球员邓肯大禁区左侧左脚射门,被防守球员封堵.给他传球的是希亚塔雷拉.                   38'第38分钟，斯基亚塔雷拉左侧角球回敲，邓肯禁区左侧大力抽射被挡
38'利沃诺球员邓肯大禁区左侧尝试左脚射门,可惜皮球稍稍偏出了左球门.                   38'第38分钟，斯基亚塔雷拉左侧角球回敲，邓肯禁区左侧大力抽射被挡
38'AC米兰换人,沙拉维换下比尔萨                   38'第38分钟，斯基亚塔雷拉左侧角球回敲，邓肯禁区左侧大力抽射被挡
39'利沃诺球员希利加尔迪一脚直塞球给保利尼奥,但是边裁举旗显示后者已经越位.                   38'第38分钟，斯基亚塔雷拉左侧角球回敲，邓肯禁区左侧大力抽射被挡
43'利沃诺球员邓肯大禁区外尝试左脚射门,可惜皮球偏出球门.                   43'第43分钟，邓肯禁区外打高
44'利沃诺球员埃莫森拼抢犯规,对手获得控球权.                   43'第43分钟，邓肯禁区外打高
44'巴洛特利为AC米兰赢得一个任意球.                   43'第43分钟，邓肯禁区外打高
45'+1'梅克斯将球处理出底线,利沃诺获得角球.                   43'第43分钟，邓肯禁区外打高
45'+1'埃马纽尔森将球处理出底线,利沃诺获得角球.                   43'第43分钟，邓肯禁区外打高
45'+2'德容将球处理出底线,利沃诺获得角球.                   43'第43分钟，邓肯禁区外打高
45'+2'上半场结束,利沃诺 1-1 AC米兰,稍事休息,我们一会来看看下半场两队的表现.                   43'第43分钟，邓肯禁区外打高
53'利沃诺球员埃莫森右侧远离球门处小角度左脚射门,被防守球员封堵.                   53'第53分钟，卡卡后场传球被断，邓肯左脚远射高出，门将加布里埃尔大脚开球助攻，巴洛特利挑球转身摆脱后卫，突入禁区距门9米处凌空抽射被巴尔迪托出横梁
53'射门!!!利沃诺球员姆巴耶左侧很远处右脚射门,被对方守门员横身扑出.给他传球的是希利加尔迪.                   53'第53分钟，卡卡后场传球被断，邓肯左脚远射高出，门将加布里埃尔大脚开球助攻，巴洛特利挑球转身摆脱后卫，突入禁区距门9米处凌空抽射被巴尔迪托出横梁
53'利沃诺球员邓肯大禁区外尝试左脚射门,可惜皮球稍稍偏出了左球门.给他传球的是希利加尔迪.                   53'第53分钟，卡卡后场传球被断，邓肯左脚远射高出，门将加布里埃尔大脚开球助攻，巴洛特利挑球转身摆脱后卫，突入禁区距门9米处凌空抽射被巴尔迪托出横梁
54'射门!!!AC米兰球员巴洛特利大禁区中央右脚射门,被对方守门员横身扑出.给他传球的是加布里埃尔.                   53'第53分钟，卡卡后场传球被断，邓肯左脚远射高出，门将加布里埃尔大脚开球助攻，巴洛特利挑球转身摆脱后卫，突入禁区距门9米处凌空抽射被巴尔迪托出横梁
54'巴尔迪将球处理出底线,AC米兰获得角球.                   53'第53分钟，卡卡后场传球被断，邓肯左脚远射高出，门将加布里埃尔大脚开球助攻，巴洛特利挑球转身摆脱后卫，突入禁区距门9米处凌空抽射被巴尔迪托出横梁
54'AC米兰球员沙拉维大禁区中央右脚射门,被防守球员封堵.给他传球的是梅克斯.                   53'第53分钟，卡卡后场传球被断，邓肯左脚远射高出，门将加布里埃尔大脚开球助攻，巴洛特利挑球转身摆脱后卫，突入禁区距门9米处凌空抽射被巴尔迪托出横梁
56'埃莫森为利沃诺赢得一个任意球.                   53'第53分钟，卡卡后场传球被断，邓肯左脚远射高出，门将加布里埃尔大脚开球助攻，巴洛特利挑球转身摆脱后卫，突入禁区距门9米处凌空抽射被巴尔迪托出横梁
56'AC米兰球员卡卡拼抢犯规,对手获得控球权.                   53'第53分钟，卡卡后场传球被断，邓肯左脚远射高出，门将加布里埃尔大脚开球助攻，巴洛特利挑球转身摆脱后卫，突入禁区距门9米处凌空抽射被巴尔迪托出横梁
71'AC米兰球员尼昂大禁区中央尝试右脚射门,可惜皮球稍稍偏出了右球门.给他传球的是卡卡.                   71'第71分钟，卡卡直传禁区，尼昂推射偏出右门柱
74'利沃诺球员邓肯一脚直塞球给保利尼奥,但是边裁举旗显示后者已经越位.                   71'第71分钟，卡卡直传禁区，尼昂推射偏出右门柱
74'射门!!!利沃诺球员希利加尔迪大禁区外左脚射门,被对方守门员横身扑出.给他传球的是保利尼奥.                   71'第71分钟，卡卡直传禁区，尼昂推射偏出右门柱
77'黄牌！利沃诺球员姆巴耶因为恶意犯规,被主裁判出示黄牌.                   77'第77分钟，姆巴耶阻挡巴洛特利，被黄牌警告，卡卡右侧开出任意球，德容后点距门4米处头球高出，他已越位在先
77'AC米兰球员卡卡一脚直塞球给德容,但是边裁举旗显示后者已经越位.                   77'第77分钟，姆巴耶阻挡巴洛特利，被黄牌警告，卡卡右侧开出任意球，德容后点距门4米处头球高出，他已越位在先
78'保利尼奥为利沃诺在左路,赢得一个任意球.                   77'第77分钟，姆巴耶阻挡巴洛特利，被黄牌警告，卡卡右侧开出任意球，德容后点距门4米处头球高出，他已越位在先
78'AC米兰球员德希利奥拼抢犯规,对手获得控球权.                   77'第77分钟，姆巴耶阻挡巴洛特利，被黄牌警告，卡卡右侧开出任意球，德容后点距门4米处头球高出，他已越位在先
89'AC米兰球员巴洛特利大禁区外右脚射门,命中门柱横梁.给他传球的是蒙托利沃.                   89'第89分钟，巴洛特利右侧距门28米处大力抽出落叶球击中横梁下沿弹回场内
89'邓肯为利沃诺赢得一个任意球.                   89'第89分钟，巴洛特利右侧距门28米处大力抽出落叶球击中横梁下沿弹回场内
89'AC米兰球员梅克斯拼抢犯规,对手获得控球权.                   89'第89分钟，巴洛特利右侧距门28米处大力抽出落叶球击中横梁下沿弹回场内
90'黄牌！AC米兰球员梅克斯因为恶意犯规,被主裁判出示黄牌.                   89'第89分钟，巴洛特利右侧距门28米处大力抽出落叶球击中横梁下沿弹回场内
90'+1'利沃诺球员格雷科大禁区外右脚射门,被防守球员封堵.给他传球的是希亚塔雷拉.                   89'第89分钟，巴洛特利右侧距门28米处大力抽出落叶球击中横梁下沿弹回场内
90'+1'射门!!!利沃诺球员邓肯大禁区外左脚射门,被对方守门员横身扑出.                   89'第89分钟，巴洛特利右侧距门28米处大力抽出落叶球击中横梁下沿弹回场内
90'+2'利沃诺姆巴耶受伤倒地,比赛暂停                   89'第89分钟，巴洛特利右侧距门28米处大力抽出落叶球击中横梁下沿弹回场内
90'+2'暂停结束,球员们重新开始比赛.                   89'第89分钟，巴洛特利右侧距门28米处大力抽出落叶球击中横梁下沿弹回场内
