8'奥斯瓦尔多禁区线上的射门是将球打偏                   8'赛前为8月31日去世的前米兰大主教马蒂尼默哀1分钟，开场2分钟，德罗西外围抽射 flash player begin  修改这里的js引入为新的js文件，删除以前的playflash.js引入
8'萨内蒂中场拿球的时候出现了失误                   8'赛前为8月31日去世的前米兰大主教马蒂尼默哀1分钟，开场2分钟，德罗西外围抽射 flash player begin  修改这里的js引入为新的js文件，删除以前的playflash.js引入
8'反抢的时候萨内蒂犯规了                   8'赛前为8月31日去世的前米兰大主教马蒂尼默哀1分钟，开场2分钟，德罗西外围抽射 flash player begin  修改这里的js引入为新的js文件，删除以前的playflash.js引入
8'德罗西中场拿球给到边路                   8'赛前为8月31日去世的前米兰大主教马蒂尼默哀1分钟，开场2分钟，德罗西外围抽射 flash player begin  修改这里的js引入为新的js文件，删除以前的playflash.js引入
8'奥斯瓦尔多前场的传球直接送到国米的脚下                   8'赛前为8月31日去世的前米兰大主教马蒂尼默哀1分钟，开场2分钟，德罗西外围抽射 flash player begin  修改这里的js引入为新的js文件，删除以前的playflash.js引入
9'斯内德中场拿球往前走                   8'赛前为8月31日去世的前米兰大主教马蒂尼默哀1分钟，开场2分钟，德罗西外围抽射 flash player begin  修改这里的js引入为新的js文件，删除以前的playflash.js引入
10'禁区外围瓜林的远射被挡了下来                   8'赛前为8月31日去世的前米兰大主教马蒂尼默哀1分钟，开场2分钟，德罗西外围抽射 flash player begin  修改这里的js引入为新的js文件，删除以前的playflash.js引入
10'国米左路再传，球被皮里斯挡出底线                   8'赛前为8月31日去世的前米兰大主教马蒂尼默哀1分钟，开场2分钟，德罗西外围抽射 flash player begin  修改这里的js引入为新的js文件，删除以前的playflash.js引入
10'国米战术角球开出，边路的传球被罗马队挡了下来                   8'赛前为8月31日去世的前米兰大主教马蒂尼默哀1分钟，开场2分钟，德罗西外围抽射 flash player begin  修改这里的js引入为新的js文件，删除以前的playflash.js引入
11'国米将球交到了左路                   8'赛前为8月31日去世的前米兰大主教马蒂尼默哀1分钟，开场2分钟，德罗西外围抽射 flash player begin  修改这里的js引入为新的js文件，删除以前的playflash.js引入
11'左路的传球效果还是不太理想                   8'赛前为8月31日去世的前米兰大主教马蒂尼默哀1分钟，开场2分钟，德罗西外围抽射 flash player begin  修改这里的js引入为新的js文件，删除以前的playflash.js引入
11'另一侧瓜林抢球的时候对巴尔扎雷蒂犯规                   8'赛前为8月31日去世的前米兰大主教马蒂尼默哀1分钟，开场2分钟，德罗西外围抽射 flash player begin  修改这里的js引入为新的js文件，删除以前的playflash.js引入
9'斯内德中场拿球往前走                   9'第9分钟，瓜林在门前30米处凌空抽射被封堵
10'禁区外围瓜林的远射被挡了下来                   9'第9分钟，瓜林在门前30米处凌空抽射被封堵
10'国米左路再传，球被皮里斯挡出底线                   9'第9分钟，瓜林在门前30米处凌空抽射被封堵
10'国米战术角球开出，边路的传球被罗马队挡了下来                   9'第9分钟，瓜林在门前30米处凌空抽射被封堵
11'国米将球交到了左路                   9'第9分钟，瓜林在门前30米处凌空抽射被封堵
11'左路的传球效果还是不太理想                   9'第9分钟，瓜林在门前30米处凌空抽射被封堵
11'另一侧瓜林抢球的时候对巴尔扎雷蒂犯规                   9'第9分钟，瓜林在门前30米处凌空抽射被封堵
12'国米后场的解围失误了                   9'第9分钟，瓜林在门前30米处凌空抽射被封堵
12'罗马挑传送到禁区内                   9'第9分钟，瓜林在门前30米处凌空抽射被封堵
12'萨内蒂先出一脚将球解围                   9'第9分钟，瓜林在门前30米处凌空抽射被封堵
46'瓜林后场带球有些犹豫，好在罗马队的抢球是犯规在先                   46'1分钟后，米利托反越位单刀突入禁区，面对斯特克伦伯格倒地扑救倒地，主裁判贝尔贡齐没有表示
46'上半场补时3分钟！                   46'1分钟后，米利托反越位单刀突入禁区，面对斯特克伦伯格倒地扑救倒地，主裁判贝尔贡齐没有表示
46'国米进球了！！！                   46'1分钟后，米利托反越位单刀突入禁区，面对斯特克伦伯格倒地扑救倒地，主裁判贝尔贡齐没有表示
46'卡萨诺！！！                   46'1分钟后，米利托反越位单刀突入禁区，面对斯特克伦伯格倒地扑救倒地，主裁判贝尔贡齐没有表示
48'国米后场长传打到前场，卡萨诺禁区内得球后转身射门，球是打在了防守球员的身上后变向入网！                   46'1分钟后，米利托反越位单刀突入禁区，面对斯特克伦伯格倒地扑救倒地，主裁判贝尔贡齐没有表示
49'这个球是打在了布尔迪索的身上                   46'1分钟后，米利托反越位单刀突入禁区，面对斯特克伦伯格倒地扑救倒地，主裁判贝尔贡齐没有表示
49'上半场比赛结束！                   46'1分钟后，米利托反越位单刀突入禁区，面对斯特克伦伯格倒地扑救倒地，主裁判贝尔贡齐没有表示
46'下半场比赛开始！                   46'1分钟后，米利托反越位单刀突入禁区，面对斯特克伦伯格倒地扑救倒地，主裁判贝尔贡齐没有表示
46'下半场比赛由国米发球                   46'1分钟后，米利托反越位单刀突入禁区，面对斯特克伦伯格倒地扑救倒地，主裁判贝尔贡齐没有表示
46'佩雷拉回撤到后场将球抢断                   46'1分钟后，米利托反越位单刀突入禁区，面对斯特克伦伯格倒地扑救倒地，主裁判贝尔贡齐没有表示
