1'中圈布莱顿先开球！                   1'曼城第1分钟全力施压
1'比赛开始！                   1'曼城第1分钟全力施压
1'开球回给后场队友！                   1'曼城第1分钟全力施压
1'挑传到中场左侧给贾汉巴赫什！                   1'曼城第1分钟全力施压
1'再回传后场！                   1'曼城第1分钟全力施压
1'过顶长传球给前场中路！                   1'曼城第1分钟全力施压
1'孔帕尼头球顶回来！                   1'曼城第1分钟全力施压
1'拉波尔特把球得到！                   1'曼城第1分钟全力施压
1'给左侧的马赫雷斯！                   1'曼城第1分钟全力施压
2'马赫雷斯带球推进！                   1'曼城第1分钟全力施压
2'布莱顿逼防把球破坏！                   1'曼城第1分钟全力施压
2'伯纳多-席尔瓦把球碰出边线！                   1'曼城第1分钟全力施压
3'布莱顿边线发球给前场！                   1'曼城第1分钟全力施压
3'边路传中到禁区内！                   1'曼城第1分钟全力施压
3'津琴科把球断下带走！                   1'曼城第1分钟全力施压
3'给后场中路孔帕尼！                   1'曼城第1分钟全力施压
3'斜线球给右路斯特林！                   1'曼城第1分钟全力施压
3'防守球员把球破坏！                   1'曼城第1分钟全力施压
3'外围右侧伯纳多-席尔瓦还有球权！                   1'曼城第1分钟全力施压
4'给前场中路斯特林！                   1'曼城第1分钟全力施压
4'分球给前场左侧马赫雷斯！                   1'曼城第1分钟全力施压
4'边路传中到前点！                   1'曼城第1分钟全力施压
4'被头球解围！                   1'曼城第1分钟全力施压
27'贾汉巴赫什左侧传中球被解围出底线！                   27'布莱顿第27分钟取得领先，格罗斯开出角球，穆雷前点近距离头球破门
27'布莱顿的左侧角球！                   27'布莱顿第27分钟取得领先，格罗斯开出角球，穆雷前点近距离头球破门
27'角球开到禁区内左肋！                   27'布莱顿第27分钟取得领先，格罗斯开出角球，穆雷前点近距离头球破门
27'穆雷抢点头球！！！                   27'布莱顿第27分钟取得领先，格罗斯开出角球，穆雷前点近距离头球破门
27'GOOOOOOOOOOOAL！！！                   27'布莱顿第27分钟取得领先，格罗斯开出角球，穆雷前点近距离头球破门
27'穆雷头球破门！！！！不可思议！！布莱顿1-0领先曼城！！                   27'布莱顿第27分钟取得领先，格罗斯开出角球，穆雷前点近距离头球破门
27'曼城这个联赛冠军！要飞了吗？！                   27'布莱顿第27分钟取得领先，格罗斯开出角球，穆雷前点近距离头球破门
29'曼城的进攻！！                   27'布莱顿第27分钟取得领先，格罗斯开出角球，穆雷前点近距离头球破门
29'大卫-席尔瓦左路带球过来！                   27'布莱顿第27分钟取得领先，格罗斯开出角球，穆雷前点近距离头球破门
29'斜传球给禁区内左侧！！                   27'布莱顿第27分钟取得领先，格罗斯开出角球，穆雷前点近距离头球破门
29'阿奎罗跟进！！！左脚推射！！！                   27'布莱顿第27分钟取得领先，格罗斯开出角球，穆雷前点近距离头球破门
29'WOOOOOOOOOOOOOOOW！！！！1-1！！！                   27'布莱顿第27分钟取得领先，格罗斯开出角球，穆雷前点近距离头球破门
30'阿奎罗的破门！曼城火速扳平比分！1-1！把冠军希望拉了回来！！                   27'布莱顿第27分钟取得领先，格罗斯开出角球，穆雷前点近距离头球破门
38'马修-瑞安把球扑出右侧底线！                   38'曼城第38分钟反超比分，马赫雷斯开出角球，拉波尔特小禁区边缘冲顶入网，2-1
38'曼城的右侧角球！                   38'曼城第38分钟反超比分，马赫雷斯开出角球，拉波尔特小禁区边缘冲顶入网，2-1
38'角球开到禁区内！                   38'曼城第38分钟反超比分，马赫雷斯开出角球，拉波尔特小禁区边缘冲顶入网，2-1
38'拉波尔特头球攻门！！                   38'曼城第38分钟反超比分，马赫雷斯开出角球，拉波尔特小禁区边缘冲顶入网，2-1
38'GOOOOOOOOOAL！球进了！！！                   38'曼城第38分钟反超比分，马赫雷斯开出角球，拉波尔特小禁区边缘冲顶入网，2-1
38'拉波尔特头球破门！曼城2-1领先布莱顿！同时暂时重登榜首！！                   38'曼城第38分钟反超比分，马赫雷斯开出角球，拉波尔特小禁区边缘冲顶入网，2-1
38'真刺激啊！                   38'曼城第38分钟反超比分，马赫雷斯开出角球，拉波尔特小禁区边缘冲顶入网，2-1
40'继续看比赛！                   38'曼城第38分钟反超比分，马赫雷斯开出角球，拉波尔特小禁区边缘冲顶入网，2-1
40'马赫雷斯给右侧的沃克！                   38'曼城第38分钟反超比分，马赫雷斯开出角球，拉波尔特小禁区边缘冲顶入网，2-1
