1'上半场比赛开始                   1'第1分钟，尤文就将贝内文托压在半场
1'贝内文托先开球                   1'第1分钟，尤文就将贝内文托压在半场
1'长传去前场，鲁加尼解围                   1'第1分钟，尤文就将贝内文托压在半场
1'尤文的复古球衣，连背后的名字都没有                   1'第1分钟，尤文就将贝内文托压在半场
2'尤文中场控球                   1'第1分钟，尤文就将贝内文托压在半场
2'科斯塔分中路，马图伊迪没拿好                   1'第1分钟，尤文就将贝内文托压在半场
2'左路科斯塔反抢犯规                   1'第1分钟，尤文就将贝内文托压在半场
3'迪巴拉分右路，夸德拉多回敲                   1'第1分钟，尤文就将贝内文托压在半场
4'马尔基西奥拿球，右路德西利奥上来                   1'第1分钟，尤文就将贝内文托压在半场
4'迪巴拉中路强行打门被封堵                   1'第1分钟，尤文就将贝内文托压在半场
4'桑德罗左路传中去后点，出底线                   1'第1分钟，尤文就将贝内文托压在半场
2'尤文中场控球                   2'仅过2分钟，阿莱士-桑德罗左路传球，道格拉斯-科斯塔突入禁区距门14米处大力斜射击中横梁弹回
2'科斯塔分中路，马图伊迪没拿好                   2'仅过2分钟，阿莱士-桑德罗左路传球，道格拉斯-科斯塔突入禁区距门14米处大力斜射击中横梁弹回
2'左路科斯塔反抢犯规                   2'仅过2分钟，阿莱士-桑德罗左路传球，道格拉斯-科斯塔突入禁区距门14米处大力斜射击中横梁弹回
3'迪巴拉分右路，夸德拉多回敲                   2'仅过2分钟，阿莱士-桑德罗左路传球，道格拉斯-科斯塔突入禁区距门14米处大力斜射击中横梁弹回
4'马尔基西奥拿球，右路德西利奥上来                   2'仅过2分钟，阿莱士-桑德罗左路传球，道格拉斯-科斯塔突入禁区距门14米处大力斜射击中横梁弹回
4'迪巴拉中路强行打门被封堵                   2'仅过2分钟，阿莱士-桑德罗左路传球，道格拉斯-科斯塔突入禁区距门14米处大力斜射击中横梁弹回
4'桑德罗左路传中去后点，出底线                   2'仅过2分钟，阿莱士-桑德罗左路传球，道格拉斯-科斯塔突入禁区距门14米处大力斜射击中横梁弹回
5'阿门特罗斯回撤拿球，鲁加尼解围                   2'仅过2分钟，阿莱士-桑德罗左路传球，道格拉斯-科斯塔突入禁区距门14米处大力斜射击中横梁弹回
31'迪巴拉斜传禁区，还是被顶出                   31'尤文第31分钟错过扳平机会，道格拉斯-科斯塔前场断球，迪巴拉与伊瓜因踢墙配合后分球，夸德拉多右侧小禁区角上斜射掠过横梁
31'贝内文托反击，拉扎尔右路斜传被挡                   31'尤文第31分钟错过扳平机会，道格拉斯-科斯塔前场断球，迪巴拉与伊瓜因踢墙配合后分球，夸德拉多右侧小禁区角上斜射掠过横梁
31'中场丢球了，尤文反击                   31'尤文第31分钟错过扳平机会，道格拉斯-科斯塔前场断球，迪巴拉与伊瓜因踢墙配合后分球，夸德拉多右侧小禁区角上斜射掠过横梁
