4'多特蒙德球员皮什切克大禁区右侧右脚射门,被防守球员封堵.给他传球的是本德尔.                   4'开场4分钟，本德送出过顶球，皮什切克突入禁区右侧射门被迪亚斯挡出底线
4'Júnior Díaz将球处理出底线,多特蒙德获得角球.                   4'开场4分钟，本德送出过顶球，皮什切克突入禁区右侧射门被迪亚斯挡出底线
5'多特蒙德球员杜尔姆一脚直塞球给阿德里安-拉莫斯,但是边裁举旗显示后者已经越位.                   4'开场4分钟，本德送出过顶球，皮什切克突入禁区右侧射门被迪亚斯挡出底线
36'射门!!!美因茨球员冈崎慎司大禁区中央右脚射门,被对方守门员横身扑出.                   36'第36分钟，球在多特禁区内连续折射，冈崎慎司捅射被魏登费勒捞出
37'魏登费勒将球处理出底线,美因茨获得角球.                   36'第36分钟，球在多特禁区内连续折射，冈崎慎司捅射被魏登费勒捞出
38'射门!!!美因茨球员J-霍夫曼大禁区外右脚射门,被对方守门员横身扑出.给他传球的是Júnior Díaz.                   36'第36分钟，球在多特禁区内连续折射，冈崎慎司捅射被魏登费勒捞出
39'多特蒙德球员奥巴梅扬大禁区外左脚射门,被防守球员封堵.给他传球的是阿德里安-拉莫斯.                   36'第36分钟，球在多特禁区内连续折射，冈崎慎司捅射被魏登费勒捞出
65'多特蒙德换人,姆希塔良换下香川真司                   65'第65分钟，姆希塔良和因莫比莱同时登场，换下香川真司和拉莫斯，然而仅过1分钟，布罗辛斯基右路直传，哈伊罗禁区右侧底线扣过后卫传中，冈崎慎司在门前4米处推射入网，1比0，这是他本赛季德甲第4球
65'多特蒙德换人,因莫比莱换下阿德里安-拉莫斯                   65'第65分钟，姆希塔良和因莫比莱同时登场，换下香川真司和拉莫斯，然而仅过1分钟，布罗辛斯基右路直传，哈伊罗禁区右侧底线扣过后卫传中，冈崎慎司在门前4米处推射入网，1比0，这是他本赛季德甲第4球
65'贝尔将球处理出底线,多特蒙德获得角球.                   65'第65分钟，姆希塔良和因莫比莱同时登场，换下香川真司和拉莫斯，然而仅过1分钟，布罗辛斯基右路直传，哈伊罗禁区右侧底线扣过后卫传中，冈崎慎司在门前4米处推射入网，1比0，这是他本赛季德甲第4球
66'进球啦！！！美因茨球员冈崎慎司球门线跟前右脚射门,球从中路飞进球门,球进了!助攻的是哈伊罗. 美因茨 1-0 多特蒙德.                   65'第65分钟，姆希塔良和因莫比莱同时登场，换下香川真司和拉莫斯，然而仅过1分钟，布罗辛斯基右路直传，哈伊罗禁区右侧底线扣过后卫传中，冈崎慎司在门前4米处推射入网，1比0，这是他本赛季德甲第4球
68'盖斯将球处理出底线,多特蒙德获得角球.                   65'第65分钟，姆希塔良和因莫比莱同时登场，换下香川真司和拉莫斯，然而仅过1分钟，布罗辛斯基右路直传，哈伊罗禁区右侧底线扣过后卫传中，冈崎慎司在门前4米处推射入网，1比0，这是他本赛季德甲第4球
74'多特蒙德球员金特尔自摆乌龙,美因茨 2-0 多特蒙德                   74'第74分钟，哈伊罗突入禁区右侧横传，金特尔抢在霍夫曼铲球解围，球却慢慢滚进自家大门左下角，2比0
75'盖斯为美因茨赢得一个任意球.                   74'第74分钟，哈伊罗突入禁区右侧横传，金特尔抢在霍夫曼铲球解围，球却慢慢滚进自家大门左下角，2比0
75'多特蒙德球员格罗斯克罗伊茨拼抢犯规,对手获得控球权.                   74'第74分钟，哈伊罗突入禁区右侧横传，金特尔抢在霍夫曼铲球解围，球却慢慢滚进自家大门左下角，2比0
77'J-霍夫曼为美因茨赢得一个任意球.                   74'第74分钟，哈伊罗突入禁区右侧横传，金特尔抢在霍夫曼铲球解围，球却慢慢滚进自家大门左下角，2比0
77'多特蒙德球员姆希塔良拼抢犯规,对手获得控球权.                   74'第74分钟，哈伊罗突入禁区右侧横传，金特尔抢在霍夫曼铲球解围，球却慢慢滚进自家大门左下角，2比0
90'多特蒙德球员姆希塔良大禁区外右脚射门,命中门柱左侧立柱.                   90'第90分钟，姆希塔良在门前25米处抽射击中左门柱
90'射门!!!多特蒙德球员约基奇大禁区外右脚射门,被对方守门员横身扑出.给他传球的是因莫比莱.                   90'第90分钟，姆希塔良在门前25米处抽射击中左门柱
90'美因茨球员科赫拼抢犯规,对手获得控球权.                   90'第90分钟，姆希塔良在门前25米处抽射击中左门柱
90'因莫比莱为多特蒙德在左路,赢得一个任意球.                   90'第90分钟，姆希塔良在门前25米处抽射击中左门柱
90'+1'鲍姆加特林格将球处理出底线,多特蒙德获得角球.                   90'第90分钟，姆希塔良在门前25米处抽射击中左门柱
90'+2'多特蒙德球员金特尔一脚直塞球给格罗斯克罗伊茨,但是边裁举旗显示后者已经越位.                   90'第90分钟，姆希塔良在门前25米处抽射击中左门柱
90'+3'美因茨球员哈伊罗拼抢犯规,对手获得控球权.                   90'第90分钟，姆希塔良在门前25米处抽射击中左门柱
90'+3'帕帕斯塔索普洛斯为多特蒙德赢得一个任意球.                   90'第90分钟，姆希塔良在门前25米处抽射击中左门柱
90'+3'下半场结束,美因茨 2-0 多特蒙德                   90'第90分钟，姆希塔良在门前25米处抽射击中左门柱
