4'争抢球，吴曦犯规了                   4'开场第4分钟，吉翔右路界外球掷进，谢鹏飞禁区外抽射打偏
4'上港的直传球，直接出了边线                   4'开场第4分钟，吉翔右路界外球掷进，谢鹏飞禁区外抽射打偏
4'特谢拉和付欢争抢球，出界，上港球权                   4'开场第4分钟，吉翔右路界外球掷进，谢鹏飞禁区外抽射打偏
5'苏宁中场的断球                   4'开场第4分钟，吉翔右路界外球掷进，谢鹏飞禁区外抽射打偏
5'谢鹏飞外围的射门，打偏了                   4'开场第4分钟，吉翔右路界外球掷进，谢鹏飞禁区外抽射打偏
6'颜骏凌大脚将球开出来，球直接出界了                   4'开场第4分钟，吉翔右路界外球掷进，谢鹏飞禁区外抽射打偏
6'苏宁长传球，特谢拉再次将球碰出界外                   4'开场第4分钟，吉翔右路界外球掷进，谢鹏飞禁区外抽射打偏
6'特谢拉一脸无奈                   4'开场第4分钟，吉翔右路界外球掷进，谢鹏飞禁区外抽射打偏
6'拉米雷斯中场的断球，带球推进，被蔡慧康犯规了                   4'开场第4分钟，吉翔右路界外球掷进，谢鹏飞禁区外抽射打偏
7'苏宁前场定位球机会                   4'开场第4分钟，吉翔右路界外球掷进，谢鹏飞禁区外抽射打偏
7'特谢拉将球开导禁区，球被解围出来                   4'开场第4分钟，吉翔右路界外球掷进，谢鹏飞禁区外抽射打偏
8'于海直接长传球，找前场队友，球被顾超抱住                   8'第8分钟上港的第一次射门险些进球，胡尔克在底线附近把球分出，孙祥起脚传低平球入禁区，埃弗拉侧身头球攻门，皮球稍稍偏出
8'苏宁的直传球，被断下来                   8'第8分钟上港的第一次射门险些进球，胡尔克在底线附近把球分出，孙祥起脚传低平球入禁区，埃弗拉侧身头球攻门，皮球稍稍偏出
9'蔡慧康传球前场，球出了边线                   8'第8分钟上港的第一次射门险些进球，胡尔克在底线附近把球分出，孙祥起脚传低平球入禁区，埃弗拉侧身头球攻门，皮球稍稍偏出
9'上港中场将球夺回来                   8'第8分钟上港的第一次射门险些进球，胡尔克在底线附近把球分出，孙祥起脚传低平球入禁区，埃弗拉侧身头球攻门，皮球稍稍偏出
9'孙祥给到埃弗拉，带球突破，球被解围出边线                   8'第8分钟上港的第一次射门险些进球，胡尔克在底线附近把球分出，孙祥起脚传低平球入禁区，埃弗拉侧身头球攻门，皮球稍稍偏出
10'孙祥拿球，直接传中，埃弗拉的一跃冲顶头球攻门                   8'第8分钟上港的第一次射门险些进球，胡尔克在底线附近把球分出，孙祥起脚传低平球入禁区，埃弗拉侧身头球攻门，皮球稍稍偏出
10'差点进了，wow，球稍稍偏出                   8'第8分钟上港的第一次射门险些进球，胡尔克在底线附近把球分出，孙祥起脚传低平球入禁区，埃弗拉侧身头球攻门，皮球稍稍偏出
10'顾超大脚开出来，埃弗拉犯规了                   8'第8分钟上港的第一次射门险些进球，胡尔克在底线附近把球分出，孙祥起脚传低平球入禁区，埃弗拉侧身头球攻门，皮球稍稍偏出
11'不好意思，这球吹的是李昂的犯规                   8'第8分钟上港的第一次射门险些进球，胡尔克在底线附近把球分出，孙祥起脚传低平球入禁区，埃弗拉侧身头球攻门，皮球稍稍偏出
11'上港球权                   8'第8分钟上港的第一次射门险些进球，胡尔克在底线附近把球分出，孙祥起脚传低平球入禁区，埃弗拉侧身头球攻门，皮球稍稍偏出
14'上港定位球机会                   14'第14分钟特谢拉和金周荣碰撞后，裁判判罚特谢拉犯规，引发江苏队不满
14'胡尔克传球禁区，埃弗拉停球没挺稳                   14'第14分钟特谢拉和金周荣碰撞后，裁判判罚特谢拉犯规，引发江苏队不满
14'付欢中场将球断回来，给胡尔克，被犯规了                   14'第14分钟特谢拉和金周荣碰撞后，裁判判罚特谢拉犯规，引发江苏队不满
15'埃弗拉拿球，突然变向突破，和洪正豪争抢，球出了底线                   14'第14分钟特谢拉和金周荣碰撞后，裁判判罚特谢拉犯规，引发江苏队不满
