4'维拉蒂转移到右路                   4'开场4分钟，巴黎场上队长莫塔左脚远射打高
4'没有办法向前传递~                   4'开场4分钟，巴黎场上队长莫塔左脚远射打高
4'巴黎只好将球不断的回传                   4'开场4分钟，巴黎场上队长莫塔左脚远射打高
4'布斯克茨被莫塔抢断~~                   4'开场4分钟，巴黎场上队长莫塔左脚远射打高
5'布教授脚下显得有些慢                   4'开场4分钟，巴黎场上队长莫塔左脚远射打高
5'莫塔远射的时候立足脚打滑~~~                   4'开场4分钟，巴黎场上队长莫塔左脚远射打高
5'结果这球放了高射炮                   4'开场4分钟，巴黎场上队长莫塔左脚远射打高
5'游客1815: 大巴黎没上弟媳吗？--伤了                   4'开场4分钟，巴黎场上队长莫塔左脚远射打高
5'游客6892: 柠檬 柠檬 你肯定忘了 2年前 我通宵的时候 也是你直播--哈哈，两年时间你还记得~真有缘                   4'开场4分钟，巴黎场上队长莫塔左脚远射打高
6'拉基蒂奇防守的时候绊倒了马克斯维尔~                   4'开场4分钟，巴黎场上队长莫塔左脚远射打高
6'巴黎获得了一个左边路的前场定位球                   4'开场4分钟，巴黎场上队长莫塔左脚远射打高
6'内马尔都回到了禁区帮助防守                   4'开场4分钟，巴黎场上队长莫塔左脚远射打高
6'小卢卡斯的传中被后卫顶到~                   4'开场4分钟，巴黎场上队长莫塔左脚远射打高
7'弹到禁区线附近，远射被封堵了~                   4'开场4分钟，巴黎场上队长莫塔左脚远射打高
7'内马尔带球反击~~~                   4'开场4分钟，巴黎场上队长莫塔左脚远射打高
7'可惜佩德罗跟他的配合出现了失误                   4'开场4分钟，巴黎场上队长莫塔左脚远射打高
7'维拉蒂的长传~被施特根拿住了                   4'开场4分钟，巴黎场上队长莫塔左脚远射打高
10'Gooooooooooooooooooal~~~~~~                   10'巴黎第10分钟取得领先
10'小卢卡斯的传中~路易斯倚住马斯切拉诺！停球之后左脚射门~~~球应声入网！                   10'巴黎第10分钟取得领先
11'巴萨的新赛季第一个失球就这样产生了...                   10'巴黎第10分钟取得领先
11'梅西~~~                   10'巴黎第10分钟取得领先
11'Goooooooooooooooooooooal~~~~                   10'巴黎第10分钟取得领先
11'大巴黎仅仅高兴了不到2分钟时间                   10'巴黎第10分钟取得领先
12'巴萨中路的三人小范围传切配合~内马尔直传，伊涅斯塔左路横敲！梅西跟上之后的左脚推射~~扳平了比分                   10'巴黎第10分钟取得领先
12'巴萨被抢断~~                   10'巴黎第10分钟取得领先
12'卡瓦尼~~禁区弧顶左脚射门将球打高了                   10'巴黎第10分钟取得领先
13'这个机会是大巴黎前场抢出来的机会                   10'巴黎第10分钟取得领先
13'巴萨今天的失误太多了                   10'巴黎第10分钟取得领先
47'两队都没有换人                   47'但此后不到2分钟，梅西与左侧的伊涅斯塔打出二过一配合，在门前13米处左脚推射入右下角，1比1
48'帕斯托雷断球反击~                   47'但此后不到2分钟，梅西与左侧的伊涅斯塔打出二过一配合，在门前13米处左脚推射入右下角，1比1
48'卡瓦尼~~~                   47'但此后不到2分钟，梅西与左侧的伊涅斯塔打出二过一配合，在门前13米处左脚推射入右下角，1比1
48'禁区内左脚一扣                   47'但此后不到2分钟，梅西与左侧的伊涅斯塔打出二过一配合，在门前13米处左脚推射入右下角，1比1
