13'夸德拉多前场右路拿球，45度斜传球到后点                   13'开场13分钟，尤文首次射门就取得领先
13'曼朱基奇的头球摆渡想给桑德罗                   13'开场13分钟，尤文首次射门就取得领先
13'结果后者准备不足，球打在了德安布罗西奥身上出了底线                   13'开场13分钟，尤文首次射门就取得领先
13'尤文获得了左侧角球机会！！                   13'开场13分钟，尤文首次射门就取得领先
14'进球了！！！                   13'开场13分钟，尤文首次射门就取得领先
14'道格拉斯-科斯塔！！                   13'开场13分钟，尤文首次射门就取得领先
15'尤文角球开出到禁区，被解围，夸德拉多右侧拿球再传禁区，混战中球到了后点，科斯塔门前抢点，外脚背一脚撩射，打进远角！                   13'开场13分钟，尤文首次射门就取得领先
15'汉达诺维奇这次毫无反应啊                   13'开场13分钟，尤文首次射门就取得领先
16'主裁判在和视频裁判确认下，看看是否越位                   13'开场13分钟，尤文首次射门就取得领先
16'短暂等待后，裁判指向中圈，进球有效！                   13'开场13分钟，尤文首次射门就取得领先
47'打在了人墙上，折射弹出了底线！！                   47'仅过2分钟，国米再遭打击，贝西诺后场停球失误，曼朱基奇铲断时被贝西诺踩中脚踝，奥尔萨托亮黄牌后到场边观看回放，然后改亮红牌
47'国米的右侧角球，这次直接开出到禁区                   47'仅过2分钟，国米再遭打击，贝西诺后场停球失误，曼朱基奇铲断时被贝西诺踩中脚踝，奥尔萨托亮黄牌后到场边观看回放，然后改亮红牌
47'第一点被尤文球员头球解围！！                   47'仅过2分钟，国米再遭打击，贝西诺后场停球失误，曼朱基奇铲断时被贝西诺踩中脚踝，奥尔萨托亮黄牌后到场边观看回放，然后改亮红牌
48'伊尔卡迪前场左路拿球，强行内切                   47'仅过2分钟，国米再遭打击，贝西诺后场停球失误，曼朱基奇铲断时被贝西诺踩中脚踝，奥尔萨托亮黄牌后到场边观看回放，然后改亮红牌
48'遭遇关门，人缝中突破                   47'仅过2分钟，国米再遭打击，贝西诺后场停球失误，曼朱基奇铲断时被贝西诺踩中脚踝，奥尔萨托亮黄牌后到场边观看回放，然后改亮红牌
48'球被夸德拉多拦截，大脚解围                   47'仅过2分钟，国米再遭打击，贝西诺后场停球失误，曼朱基奇铲断时被贝西诺踩中脚踝，奥尔萨托亮黄牌后到场边观看回放，然后改亮红牌
49'坎德雷瓦外围拿球，直接尝试远射，打飞！                   47'仅过2分钟，国米再遭打击，贝西诺后场停球失误，曼朱基奇铲断时被贝西诺踩中脚踝，奥尔萨托亮黄牌后到场边观看回放，然后改亮红牌
49'6分钟补时已经过去了4分钟！！                   47'仅过2分钟，国米再遭打击，贝西诺后场停球失误，曼朱基奇铲断时被贝西诺踩中脚踝，奥尔萨托亮黄牌后到场边观看回放，然后改亮红牌
50'2-0！！！                   47'仅过2分钟，国米再遭打击，贝西诺后场停球失误，曼朱基奇铲断时被贝西诺踩中脚踝，奥尔萨托亮黄牌后到场边观看回放，然后改亮红牌
50'马图伊迪！！！                   47'仅过2分钟，国米再遭打击，贝西诺后场停球失误，曼朱基奇铲断时被贝西诺踩中脚踝，奥尔萨托亮黄牌后到场边观看回放，然后改亮红牌
47'国米在少一人的作战的情况下，表现的还是有大将风范                   47'仅过2分钟，国米再遭打击，贝西诺后场停球失误，曼朱基奇铲断时被贝西诺踩中脚踝，奥尔萨托亮黄牌后到场边观看回放，然后改亮红牌
48'国际杀进禁区，德安布罗西奥边线球手榴弹直接扔到禁区里面，可惜被后卫挡出去                   47'仅过2分钟，国米再遭打击，贝西诺后场停球失误，曼朱基奇铲断时被贝西诺踩中脚踝，奥尔萨托亮黄牌后到场边观看回放，然后改亮红牌
49'尤文快攻来到了前场，慢慢组织进攻                   47'仅过2分钟，国米再遭打击，贝西诺后场停球失误，曼朱基奇铲断时被贝西诺踩中脚踝，奥尔萨托亮黄牌后到场边观看回放，然后改亮红牌
49'夸德拉多控球，试图突破，被拦截了                   47'仅过2分钟，国米再遭打击，贝西诺后场停球失误，曼朱基奇铲断时被贝西诺踩中脚踝，奥尔萨托亮黄牌后到场边观看回放，然后改亮红牌
50'国米两传三递就到了前场，就打夸德拉多这一点                   47'仅过2分钟，国米再遭打击，贝西诺后场停球失误，曼朱基奇铲断时被贝西诺踩中脚踝，奥尔萨托亮黄牌后到场边观看回放，然后改亮红牌
50'国米现在实行高压政策，看起来像是多一人作战                   47'仅过2分钟，国米再遭打击，贝西诺后场停球失误，曼朱基奇铲断时被贝西诺踩中脚踝，奥尔萨托亮黄牌后到场边观看回放，然后改亮红牌
25'布罗佐维奇后场拿球，给到米兰达                   25'国米第25分钟才有首次射门，伊卡尔迪转身分球，佩里希奇左路突至禁区前沿抽射高出
25'再给中圈的坎德雷瓦                   25'国米第25分钟才有首次射门，伊卡尔迪转身分球，佩里希奇左路突至禁区前沿抽射高出
25'斜传左侧给前插的佩里西奇                   25'国米第25分钟才有首次射门，伊卡尔迪转身分球，佩里希奇左路突至禁区前沿抽射高出
26'佩里西奇拿球内切，禁区角上起脚打门，打飞！！                   25'国米第25分钟才有首次射门，伊卡尔迪转身分球，佩里希奇左路突至禁区前沿抽射高出
26'坎德雷瓦中场拿球强突，被逼抢的赫迪拉拉倒在地                   25'国米第25分钟才有首次射门，伊卡尔迪转身分球，佩里希奇左路突至禁区前沿抽射高出
28'坎塞洛右路拿球，强突摆脱上抢的曼祖基奇                   25'国米第25分钟才有首次射门，伊卡尔迪转身分球，佩里希奇左路突至禁区前沿抽射高出
28'再突下底，内切传中到后点                   25'国米第25分钟才有首次射门，伊卡尔迪转身分球，佩里希奇左路突至禁区前沿抽射高出
28'没有队友啊，球被尤文球员解围                   25'国米第25分钟才有首次射门，伊卡尔迪转身分球，佩里希奇左路突至禁区前沿抽射高出
28'拉菲尼亚外围拿球，皮亚尼奇的上抢                   25'国米第25分钟才有首次射门，伊卡尔迪转身分球，佩里希奇左路突至禁区前沿抽射高出
50'2-0！！！                   50'上半时补时第5分钟，VAR第3次介入判罚
50'马图伊迪！！！                   50'上半时补时第5分钟，VAR第3次介入判罚
51'桑德罗前场左路拿球，斜传禁区，赫迪拉胸部将其一撞，球到了伊瓜因脚下，打门被打伤，马图伊迪再打，抽射破门！                   50'上半时补时第5分钟，VAR第3次介入判罚
52'改判，主裁判和视频裁判沟通后，判罚进球无效！！                   50'上半时补时第5分钟，VAR第3次介入判罚
52'吹罚了马图伊迪之前禁区内的抢点，越位在先！！！                   50'上半时补时第5分钟，VAR第3次介入判罚
50'国米两传三递就到了前场，就打夸德拉多这一点                   50'上半时补时第5分钟，VAR第3次介入判罚
50'国米现在实行高压政策，看起来像是多一人作战                   50'上半时补时第5分钟，VAR第3次介入判罚
51'犯规！右路国米突破，什克利尼亚尔突破，曼祖基奇把人铲倒，黄牌！！                   50'上半时补时第5分钟，VAR第3次介入判罚
51'进球了！！！                   50'上半时补时第5分钟，VAR第3次介入判罚
51'国米实现了进球！！                   50'上半时补时第5分钟，VAR第3次介入判罚
52'国米定位球直接定位球传到禁区，伊卡尔迪！头球高高跃起，头球攻门把球打进！双方打成了1-1！                   50'上半时补时第5分钟，VAR第3次介入判罚
53'国米下半场打得比较勇敢，也收到了效果                   50'上半时补时第5分钟，VAR第3次介入判罚
52'改判，主裁判和视频裁判沟通后，判罚进球无效！！                   52'下半时开始7分钟，国米追平比分
52'吹罚了马图伊迪之前禁区内的抢点，越位在先！！！                   52'下半时开始7分钟，国米追平比分
52'国米定位球直接定位球传到禁区，伊卡尔迪！头球高高跃起，头球攻门把球打进！双方打成了1-1！                   52'下半时开始7分钟，国米追平比分
53'国米下半场打得比较勇敢，也收到了效果                   52'下半时开始7分钟，国米追平比分
54'双方在中场争夺                   52'下半时开始7分钟，国米追平比分
54'拉菲尼亚中场带球，手球犯规                   52'下半时开始7分钟，国米追平比分
55'坎赛罗右路突破，被尤文两名球员包夹，被铲倒了                   52'下半时开始7分钟，国米追平比分
55'全场比赛进行到了55分钟！                   52'下半时开始7分钟，国米追平比分
65'佩里希奇左侧底线连续过人，直接传到小禁区，乌龙球！尤文三个后卫一起解围，结果把球解围到自己球门里面！                   65'国米第65分钟反超比分
65'尤文换人了                   65'国米第65分钟反超比分
