43'库亚特下，萨科上！                   43'西汉姆第43分钟遭遇打击，库亚特受伤无法坚持被萨科换下
44'曼城前场横敲又是失误                   43'西汉姆第43分钟遭遇打击，库亚特受伤无法坚持被萨科换下
44'安东尼奥前场强行起脚                   43'西汉姆第43分钟遭遇打击，库亚特受伤无法坚持被萨科换下
44'赢得一个角球                   43'西汉姆第43分钟遭遇打击，库亚特受伤无法坚持被萨科换下
44'角球还是战术                   43'西汉姆第43分钟遭遇打击，库亚特受伤无法坚持被萨科换下
44'0-1！！！！！                   43'西汉姆第43分钟遭遇打击，库亚特受伤无法坚持被萨科换下
44'奥邦纳！！！！                   43'西汉姆第43分钟遭遇打击，库亚特受伤无法坚持被萨科换下
45'西汉姆角球到了一个战术，右路起球送禁区，奥邦纳中路甩头攻门，埃德森扑救不及只能看着球飞入球门！！！                   43'西汉姆第43分钟遭遇打击，库亚特受伤无法坚持被萨科换下
46'上半场补时4分钟！！                   43'西汉姆第43分钟遭遇打击，库亚特受伤无法坚持被萨科换下
46'曼城中场的传球险些又是失误                   43'西汉姆第43分钟遭遇打击，库亚特受伤无法坚持被萨科换下
46'曼城右路挑传送禁区                   43'西汉姆第43分钟遭遇打击，库亚特受伤无法坚持被萨科换下
46'落点并不是太好                   43'西汉姆第43分钟遭遇打击，库亚特受伤无法坚持被萨科换下
46'曼城这边重新组织                   43'西汉姆第43分钟遭遇打击，库亚特受伤无法坚持被萨科换下
46'下半场比赛开始！！                   43'西汉姆第43分钟遭遇打击，库亚特受伤无法坚持被萨科换下
46'下半场比赛由西汉姆联开球                   43'西汉姆第43分钟遭遇打击，库亚特受伤无法坚持被萨科换下
57'球被门将封出                   57'曼城第57分钟扳平比分，热苏斯强突禁区右侧传中，奥塔门迪近距离推射入网，1-1
57'1-1！！！！                   57'曼城第57分钟扳平比分，热苏斯强突禁区右侧传中，奥塔门迪近距离推射入网，1-1
57'奥塔门迪！！！                   57'曼城第57分钟扳平比分，热苏斯强突禁区右侧传中，奥塔门迪近距离推射入网，1-1
58'曼城前场边线球发出。热苏斯拿球到了禁区，底线附近横敲到中路，奥塔门迪门前抢点推射破门！！                   57'曼城第57分钟扳平比分，热苏斯强突禁区右侧传中，奥塔门迪近距离推射入网，1-1
59'德布劳内这边上抢犯规                   57'曼城第57分钟扳平比分，热苏斯强突禁区右侧传中，奥塔门迪近距离推射入网，1-1
59'德布劳内得到一张黄牌！                   57'曼城第57分钟扳平比分，热苏斯强突禁区右侧传中，奥塔门迪近距离推射入网，1-1
71'下半场比赛打了25分钟，场上的比分还是1-1                   71'第71分钟，德尔夫传球，热苏斯禁区边缘内射门被扑出，斯特林小禁区右侧错过补射机会
71'曼城这边机会来了                   71'第71分钟，德尔夫传球，热苏斯禁区边缘内射门被扑出，斯特林小禁区右侧错过补射机会
71'斯特林禁区内补射没有打上啊                   71'第71分钟，德尔夫传球，热苏斯禁区边缘内射门被扑出，斯特林小禁区右侧错过补射机会
72'曼城挑传给到禁区                   71'第71分钟，德尔夫传球，热苏斯禁区边缘内射门被扑出，斯特林小禁区右侧错过补射机会
72'第一点被后卫解围                   71'第71分钟，德尔夫传球，热苏斯禁区边缘内射门被扑出，斯特林小禁区右侧错过补射机会
72'曼城前场右路还有机会                   71'第71分钟，德尔夫传球，热苏斯禁区边缘内射门被扑出，斯特林小禁区右侧错过补射机会
72'传中的高度不够                   71'第71分钟，德尔夫传球，热苏斯禁区边缘内射门被扑出，斯特林小禁区右侧错过补射机会
83'人球分过                   83'曼城第83分钟逆转绝杀，德布劳内斜传，在赖斯身边的席尔瓦小禁区边缘内凌空弹射入网，2-1
83'人还是太少了                   83'曼城第83分钟逆转绝杀，德布劳内斜传，在赖斯身边的席尔瓦小禁区边缘内凌空弹射入网，2-1
83'2-1！！！                   83'曼城第83分钟逆转绝杀，德布劳内斜传，在赖斯身边的席尔瓦小禁区边缘内凌空弹射入网，2-1
83'席尔瓦                   83'曼城第83分钟逆转绝杀，德布劳内斜传，在赖斯身边的席尔瓦小禁区边缘内凌空弹射入网，2-1
83'德布劳内右路起球送禁区，席尔瓦飞身垫射远角破门！！                   83'曼城第83分钟逆转绝杀，德布劳内斜传，在赖斯身边的席尔瓦小禁区边缘内凌空弹射入网，2-1
84'曼城是反超了比分                   83'曼城第83分钟逆转绝杀，德布劳内斜传，在赖斯身边的席尔瓦小禁区边缘内凌空弹射入网，2-1
86'全场比赛也是进行了到了85分钟！！！                   83'曼城第83分钟逆转绝杀，德布劳内斜传，在赖斯身边的席尔瓦小禁区边缘内凌空弹射入网，2-1
86'留给西汉姆的时间不多                   83'曼城第83分钟逆转绝杀，德布劳内斜传，在赖斯身边的席尔瓦小禁区边缘内凌空弹射入网，2-1
86'曼城这边后场倒脚                   83'曼城第83分钟逆转绝杀，德布劳内斜传，在赖斯身边的席尔瓦小禁区边缘内凌空弹射入网，2-1
90'并不着急啦                   90'第90分钟，阿瑙托维奇摆脱曼加拉后右路低传，萨科15码处扫射擦右侧立柱偏出
91'西汉姆前场右路带球                   90'第90分钟，阿瑙托维奇摆脱曼加拉后右路低传，萨科15码处扫射擦右侧立柱偏出
91'低平球给到禁区                   90'第90分钟，阿瑙托维奇摆脱曼加拉后右路低传，萨科15码处扫射擦右侧立柱偏出
91'萨科跟进推射将球打偏了                   90'第90分钟，阿瑙托维奇摆脱曼加拉后右路低传，萨科15码处扫射擦右侧立柱偏出
91'萨科不给力啊                   90'第90分钟，阿瑙托维奇摆脱曼加拉后右路低传，萨科15码处扫射擦右侧立柱偏出
91'这球萨科是无人看防                   90'第90分钟，阿瑙托维奇摆脱曼加拉后右路低传，萨科15码处扫射擦右侧立柱偏出
92'下半场补时4分钟！！                   90'第90分钟，阿瑙托维奇摆脱曼加拉后右路低传，萨科15码处扫射擦右侧立柱偏出
92'曼城这边换人                   90'第90分钟，阿瑙托维奇摆脱曼加拉后右路低传，萨科15码处扫射擦右侧立柱偏出
92'萨内下，贝纳尔多上                   90'第90分钟，阿瑙托维奇摆脱曼加拉后右路低传，萨科15码处扫射擦右侧立柱偏出
