1'上半场比赛开始！                   1'曼城第1分钟试图控制比赛，但并未在金沙球场取得进攻优势
1'科拉罗夫低平球向前找图雷！                   1'曼城第1分钟试图控制比赛，但并未在金沙球场取得进攻优势
1'分左路萨内！直接传中！                   1'曼城第1分钟试图控制比赛，但并未在金沙球场取得进攻优势
1'质量不好！直接飞出底线！                   1'曼城第1分钟试图控制比赛，但并未在金沙球场取得进攻优势
2'德布劳内边路抢断！给身前左侧热苏斯！                   1'曼城第1分钟试图控制比赛，但并未在金沙球场取得进攻优势
2'横敲中路！                   1'曼城第1分钟试图控制比赛，但并未在金沙球场取得进攻优势
3'被断了！威尔希尔传球直接被德布劳内反断回来！                   1'曼城第1分钟试图控制比赛，但并未在金沙球场取得进攻优势
3'右路萨尼亚插上拿球！                   1'曼城第1分钟试图控制比赛，但并未在金沙球场取得进攻优势
3'横敲中路科拉罗夫！长传过顶！                   1'曼城第1分钟试图控制比赛，但并未在金沙球场取得进攻优势
3'被弗朗西斯破坏出边线！                   1'曼城第1分钟试图控制比赛，但并未在金沙球场取得进攻优势
4'禁区左侧德布劳内！一拨！直接起脚！                   1'曼城第1分钟试图控制比赛，但并未在金沙球场取得进攻优势
4'被防守队员挡出来了！                   1'曼城第1分钟试图控制比赛，但并未在金沙球场取得进攻优势
4'反击！丹尼尔斯往禁区里给！                   1'曼城第1分钟试图控制比赛，但并未在金沙球场取得进攻优势
4'卡巴列罗出来拿到！                   1'曼城第1分钟试图控制比赛，但并未在金沙球场取得进攻优势
15'右脚脚趾好像出现了什么问题！                   15'曼城第15分钟遭遇打击，热苏斯受伤被换下，阿圭罗替补出场
15'直接被换下！阿奎罗替补出场！                   15'曼城第15分钟遭遇打击，热苏斯受伤被换下，阿圭罗替补出场
16'继续回到比赛！                   15'曼城第15分钟遭遇打击，热苏斯受伤被换下，阿圭罗替补出场
16'科拉罗夫回传卡拉列罗！                   15'曼城第15分钟遭遇打击，热苏斯受伤被换下，阿圭罗替补出场
16'分球左侧席尔瓦！                   15'曼城第15分钟遭遇打击，热苏斯受伤被换下，阿圭罗替补出场
16'挑传前场！出界了！                   15'曼城第15分钟遭遇打击，热苏斯受伤被换下，阿圭罗替补出场
17'弗朗西斯边路拿到！短传给伊比！                   15'曼城第15分钟遭遇打击，热苏斯受伤被换下，阿圭罗替补出场
17'低平球传中路！被斯通斯断下！                   15'曼城第15分钟遭遇打击，热苏斯受伤被换下，阿圭罗替补出场
18'左侧费尔南迪尼奥拿到！                   15'曼城第15分钟遭遇打击，热苏斯受伤被换下，阿圭罗替补出场
18'长传前场！                   15'曼城第15分钟遭遇打击，热苏斯受伤被换下，阿圭罗替补出场
18'伯恩茅斯拿到！                   15'曼城第15分钟遭遇打击，热苏斯受伤被换下，阿圭罗替补出场
18'左边边路丹尼尔斯带球向前！                   15'曼城第15分钟遭遇打击，热苏斯受伤被换下，阿圭罗替补出场
27'席尔瓦直塞找萨内！                   27'曼城第27分钟险些破门，萨内切入禁区左侧传球，斯特林12码处射门被库克封堵后偏转，皮球打在博鲁奇腿上后击中右侧立柱弹回，德布劳内禁区右侧补射被丹尼尔斯挡出底线
27'倒三角回传给斯特林！                   27'曼城第27分钟险些破门，萨内切入禁区左侧传球，斯特林12码处射门被库克封堵后偏转，皮球打在博鲁奇腿上后击中右侧立柱弹回，德布劳内禁区右侧补射被丹尼尔斯挡出底线
27'斯特林禁区里！起脚！啊啊！                   27'曼城第27分钟险些破门，萨内切入禁区左侧传球，斯特林12码处射门被库克封堵后偏转，皮球打在博鲁奇腿上后击中右侧立柱弹回，德布劳内禁区右侧补射被丹尼尔斯挡出底线
27'门柱！                   27'曼城第27分钟险些破门，萨内切入禁区左侧传球，斯特林12码处射门被库克封堵后偏转，皮球打在博鲁奇腿上后击中右侧立柱弹回，德布劳内禁区右侧补射被丹尼尔斯挡出底线
28'这机会太好了！打在了门柱上！                   27'曼城第27分钟险些破门，萨内切入禁区左侧传球，斯特林12码处射门被库克封堵后偏转，皮球打在博鲁奇腿上后击中右侧立柱弹回，德布劳内禁区右侧补射被丹尼尔斯挡出底线
28'球被防守队员解围出去！比赛继续！                   27'曼城第27分钟险些破门，萨内切入禁区左侧传球，斯特林12码处射门被库克封堵后偏转，皮球打在博鲁奇腿上后击中右侧立柱弹回，德布劳内禁区右侧补射被丹尼尔斯挡出底线
29'席尔瓦低平球往前塞！                   27'曼城第27分钟险些破门，萨内切入禁区左侧传球，斯特林12码处射门被库克封堵后偏转，皮球打在博鲁奇腿上后击中右侧立柱弹回，德布劳内禁区右侧补射被丹尼尔斯挡出底线
29'萨内左侧拿到！                   27'曼城第27分钟险些破门，萨内切入禁区左侧传球，斯特林12码处射门被库克封堵后偏转，皮球打在博鲁奇腿上后击中右侧立柱弹回，德布劳内禁区右侧补射被丹尼尔斯挡出底线
29'斜线找禁区里斯特林！                   27'曼城第27分钟险些破门，萨内切入禁区左侧传球，斯特林12码处射门被库克封堵后偏转，皮球打在博鲁奇腿上后击中右侧立柱弹回，德布劳内禁区右侧补射被丹尼尔斯挡出底线
30'右脚直接推射！进了！                   27'曼城第27分钟险些破门，萨内切入禁区左侧传球，斯特林12码处射门被库克封堵后偏转，皮球打在博鲁奇腿上后击中右侧立柱弹回，德布劳内禁区右侧补射被丹尼尔斯挡出底线
30'进了进了进了进了！！！                   27'曼城第27分钟险些破门，萨内切入禁区左侧传球，斯特林12码处射门被库克封堵后偏转，皮球打在博鲁奇腿上后击中右侧立柱弹回，德布劳内禁区右侧补射被丹尼尔斯挡出底线
