1'上半场开始了                   1'绿城第1分钟发动闪电战第3分钟便取得进球——　　曹海清左路的进攻，给到前插的冯刚，冯刚狂奔下底传中，中路陈柏良一记推射打入死角，1-0
1'绿城率先开球，从左侧向右侧进攻                   1'绿城第1分钟发动闪电战第3分钟便取得进球——　　曹海清左路的进攻，给到前插的冯刚，冯刚狂奔下底传中，中路陈柏良一记推射打入死角，1-0
1'作客的亚泰从右侧向左进攻                   1'绿城第1分钟发动闪电战第3分钟便取得进球——　　曹海清左路的进攻，给到前插的冯刚，冯刚狂奔下底传中，中路陈柏良一记推射打入死角，1-0
2'本赛季亚泰功勋杜震宇改穿了20号，寓意代表亚泰的20年历史。他的8号本赛季是空缺                   1'绿城第1分钟发动闪电战第3分钟便取得进球——　　曹海清左路的进攻，给到前插的冯刚，冯刚狂奔下底传中，中路陈柏良一记推射打入死角，1-0
2'绿城左路进攻，蒋哲右路紧逼防守上来                   1'绿城第1分钟发动闪电战第3分钟便取得进球——　　曹海清左路的进攻，给到前插的冯刚，冯刚狂奔下底传中，中路陈柏良一记推射打入死角，1-0
2'曹海清强突出了边线                   1'绿城第1分钟发动闪电战第3分钟便取得进球——　　曹海清左路的进攻，给到前插的冯刚，冯刚狂奔下底传中，中路陈柏良一记推射打入死角，1-0
3'蒋哲右路顺势进攻上来，被对方放倒                   1'绿城第1分钟发动闪电战第3分钟便取得进球——　　曹海清左路的进攻，给到前插的冯刚，冯刚狂奔下底传中，中路陈柏良一记推射打入死角，1-0
3'杜震宇主罚前场定位球                   1'绿城第1分钟发动闪电战第3分钟便取得进球——　　曹海清左路的进攻，给到前插的冯刚，冯刚狂奔下底传中，中路陈柏良一记推射打入死角，1-0
3'直接送向禁区前沿，大禁区线上的头球，飞出底线                   1'绿城第1分钟发动闪电战第3分钟便取得进球——　　曹海清左路的进攻，给到前插的冯刚，冯刚狂奔下底传中，中路陈柏良一记推射打入死角，1-0
4'开场3分钟，绿城破门了                   1'绿城第1分钟发动闪电战第3分钟便取得进球——　　曹海清左路的进攻，给到前插的冯刚，冯刚狂奔下底传中，中路陈柏良一记推射打入死角，1-0
4'绿城新赛季取得梦幻开局                   1'绿城第1分钟发动闪电战第3分钟便取得进球——　　曹海清左路的进攻，给到前插的冯刚，冯刚狂奔下底传中，中路陈柏良一记推射打入死角，1-0
4'冯刚的助攻，陈柏良打入绿城赛季第一球                   1'绿城第1分钟发动闪电战第3分钟便取得进球——　　曹海清左路的进攻，给到前插的冯刚，冯刚狂奔下底传中，中路陈柏良一记推射打入死角，1-0
7'定位球位置不错，稍稍远一些，但脚头硬的话也可以射                   7'第7分钟，绿城获得位置不错的任意球机会，加比奥内塔直接轰门一脚低射偏出底线
7'冯刚和加比奥内塔都站在球前                   7'第7分钟，绿城获得位置不错的任意球机会，加比奥内塔直接轰门一脚低射偏出底线
7'加比奥内塔直接轰门，一记低射，偏出底线                   7'第7分钟，绿城获得位置不错的任意球机会，加比奥内塔直接轰门一脚低射偏出底线
7'亚泰左路直塞球，打程谋义的身后                   7'第7分钟，绿城获得位置不错的任意球机会，加比奥内塔直接轰门一脚低射偏出底线
8'范晓冬快速插上，没有能够拿到，出了底线                   7'第7分钟，绿城获得位置不错的任意球机会，加比奥内塔直接轰门一脚低射偏出底线
8'张磊大脚开出门球                   7'第7分钟，绿城获得位置不错的任意球机会，加比奥内塔直接轰门一脚低射偏出底线
8'双方中场混战，又是吹了马季奇的防守犯规                   7'第7分钟，绿城获得位置不错的任意球机会，加比奥内塔直接轰门一脚低射偏出底线
8'加比奥内塔给亚泰的防线压力很大啊                   7'第7分钟，绿城获得位置不错的任意球机会，加比奥内塔直接轰门一脚低射偏出底线
9'绿城后场倒脚险些失误啊                   7'第7分钟，绿城获得位置不错的任意球机会，加比奥内塔直接轰门一脚低射偏出底线
9'好在杜震宇也是没有拿好，卡希尔指挥着同伴，要拉开                   7'第7分钟，绿城获得位置不错的任意球机会，加比奥内塔直接轰门一脚低射偏出底线
9'何超后场拦截，解围球打在对方身上出了边线                   7'第7分钟，绿城获得位置不错的任意球机会，加比奥内塔直接轰门一脚低射偏出底线
10'蒋哲边路和积施利的配合，在回敲过来                   7'第7分钟，绿城获得位置不错的任意球机会，加比奥内塔直接轰门一脚低射偏出底线
20'加比奥内塔定位球直接送入禁区前沿，伊斯梅洛夫人高马大，把球顶出                   20'第20分钟加比奥内塔禁区前沿送出直塞，给到插上的陈柏良，殷亚吉身后撞翻对手送点
20'绿城前场抢断，又是一次快速进攻                   20'第20分钟加比奥内塔禁区前沿送出直塞，给到插上的陈柏良，殷亚吉身后撞翻对手送点
20'点球，陈柏良又制造一个点球机会                   20'第20分钟加比奥内塔禁区前沿送出直塞，给到插上的陈柏良，殷亚吉身后撞翻对手送点
21'加比奥内塔禁区前沿送出直塞，给到插上的陈柏良，殷亚吉身后撞翻对手送点                   20'第20分钟加比奥内塔禁区前沿送出直塞，给到插上的陈柏良，殷亚吉身后撞翻对手送点
21'卡希尔主罚点球                   20'第20分钟加比奥内塔禁区前沿送出直塞，给到插上的陈柏良，殷亚吉身后撞翻对手送点
21'卡希尔助跑，骗过宋振瑜，轻松推射打进左下角                   20'第20分钟加比奥内塔禁区前沿送出直塞，给到插上的陈柏良，殷亚吉身后撞翻对手送点
22'洪明甫上任第一场打的很顺啊                   20'第20分钟加比奥内塔禁区前沿送出直塞，给到插上的陈柏良，殷亚吉身后撞翻对手送点
22'又见卡希尔拳击式的庆祝动作，很熟悉啊                   20'第20分钟加比奥内塔禁区前沿送出直塞，给到插上的陈柏良，殷亚吉身后撞翻对手送点
23'亚泰左路进攻，又是很轻易的丢球，传不起来啊                   20'第20分钟加比奥内塔禁区前沿送出直塞，给到插上的陈柏良，殷亚吉身后撞翻对手送点
23'程谋义大脚解围，范晓冬奋力一堵，挡出边线                   20'第20分钟加比奥内塔禁区前沿送出直塞，给到插上的陈柏良，殷亚吉身后撞翻对手送点
30'蒋哲突破到禁区内，传中，第一点被冯刚解围出来                   30'第30分钟杜震宇前场积极拼抢，捅给旁边的蒋哲，蒋哲果断一脚爆射，皮球打在后卫身上折射，张磊奋力将球扑出底线
30'外围何超分边给积施利失误了                   30'第30分钟杜震宇前场积极拼抢，捅给旁边的蒋哲，蒋哲果断一脚爆射，皮球打在后卫身上折射，张磊奋力将球扑出底线
31'马季奇后场组织进攻，又是长传发动攻势                   30'第30分钟杜震宇前场积极拼抢，捅给旁边的蒋哲，蒋哲果断一脚爆射，皮球打在后卫身上折射，张磊奋力将球扑出底线
31'杜震宇拼下球权，捅给身旁的蒋哲                   30'第30分钟杜震宇前场积极拼抢，捅给旁边的蒋哲，蒋哲果断一脚爆射，皮球打在后卫身上折射，张磊奋力将球扑出底线
32'蒋哲果断一脚爆射，打在后卫身上，折射被张磊扑出底线                   30'第30分钟杜震宇前场积极拼抢，捅给旁边的蒋哲，蒋哲果断一脚爆射，皮球打在后卫身上折射，张磊奋力将球扑出底线
32'杜震宇角球送到前点，绿城防守有些混乱                   30'第30分钟杜震宇前场积极拼抢，捅给旁边的蒋哲，蒋哲果断一脚爆射，皮球打在后卫身上折射，张磊奋力将球扑出底线
32'但还是把球控制住                   30'第30分钟杜震宇前场积极拼抢，捅给旁边的蒋哲，蒋哲果断一脚爆射，皮球打在后卫身上折射，张磊奋力将球扑出底线
33'这一段绿城被压制在半场，亚泰围着对手半场在进攻                   30'第30分钟杜震宇前场积极拼抢，捅给旁边的蒋哲，蒋哲果断一脚爆射，皮球打在后卫身上折射，张磊奋力将球扑出底线
33'绿城在打进两球之后战术上有些保守了                   30'第30分钟杜震宇前场积极拼抢，捅给旁边的蒋哲，蒋哲果断一脚爆射，皮球打在后卫身上折射，张磊奋力将球扑出底线
33'右路积施利斜吊禁区之内                   30'第30分钟杜震宇前场积极拼抢，捅给旁边的蒋哲，蒋哲果断一脚爆射，皮球打在后卫身上折射，张磊奋力将球扑出底线
33'莫雷罗倚住赵宇豪，倒钩射门，没踢上                   30'第30分钟杜震宇前场积极拼抢，捅给旁边的蒋哲，蒋哲果断一脚爆射，皮球打在后卫身上折射，张磊奋力将球扑出底线
33'裁判鸣哨，吹了莫雷罗的危险动作                   30'第30分钟杜震宇前场积极拼抢，捅给旁边的蒋哲，蒋哲果断一脚爆射，皮球打在后卫身上折射，张磊奋力将球扑出底线
