7'吉格斯！！！好险                   7'第7分钟，香川真司传球，吉格斯禁区弧顶的左脚劲射偏出
7'禁区中路居然没人看防，吉格斯左脚把球领过来，一脚抽射！擦着立柱飞出底线                   7'第7分钟，香川真司传球，吉格斯禁区弧顶的左脚劲射偏出
7'利物浦的后防线真是很让人不放心                   7'第7分钟，香川真司传球，吉格斯禁区弧顶的左脚劲射偏出
7'利物浦下底传中，林德加德扑救脱手                   7'第7分钟，香川真司传球，吉格斯禁区弧顶的左脚劲射偏出
8'还好门线上的后卫抢先解围，也是差点啊                   7'第7分钟，香川真司传球，吉格斯禁区弧顶的左脚劲射偏出
8'斯特林和苏亚雷斯都在右路活动，埃弗拉扛得住么？                   7'第7分钟，香川真司传球，吉格斯禁区弧顶的左脚劲射偏出
8'斯特林传中，又是拉斐尔抢到头球                   7'第7分钟，香川真司传球，吉格斯禁区弧顶的左脚劲射偏出
9'解围出了底线，利物浦再次获得了角球                   7'第7分钟，香川真司传球，吉格斯禁区弧顶的左脚劲射偏出
9'谢尔维低平球传中，杰拉德迎球推射！！！擦柱而出                   7'第7分钟，香川真司传球，吉格斯禁区弧顶的左脚劲射偏出
9'这球貌似被范佩西挡了一下？                   7'第7分钟，香川真司传球，吉格斯禁区弧顶的左脚劲射偏出
9'应该没有，裁判给了门球                   7'第7分钟，香川真司传球，吉格斯禁区弧顶的左脚劲射偏出
10'今天感觉进球会很多，一开场机会不断                   7'第7分钟，香川真司传球，吉格斯禁区弧顶的左脚劲射偏出
10'范佩西还是在边路，凯利回追把球断下                   7'第7分钟，香川真司传球，吉格斯禁区弧顶的左脚劲射偏出
9'解围出了底线，利物浦再次获得了角球                   9'第9分钟，谢尔维战术角球低传前点，杰拉德12码处劲射打在边网
9'谢尔维低平球传中，杰拉德迎球推射！！！擦柱而出                   9'第9分钟，谢尔维战术角球低传前点，杰拉德12码处劲射打在边网
9'这球貌似被范佩西挡了一下？                   9'第9分钟，谢尔维战术角球低传前点，杰拉德12码处劲射打在边网
9'应该没有，裁判给了门球                   9'第9分钟，谢尔维战术角球低传前点，杰拉德12码处劲射打在边网
10'今天感觉进球会很多，一开场机会不断                   9'第9分钟，谢尔维战术角球低传前点，杰拉德12码处劲射打在边网
10'范佩西还是在边路，凯利回追把球断下                   9'第9分钟，谢尔维战术角球低传前点，杰拉德12码处劲射打在边网
11'香川和范佩西今天都在边路，还嫌边路不够堵么？                   9'第9分钟，谢尔维战术角球低传前点，杰拉德12码处劲射打在边网
11'不过这也应该是为了遏制利物浦的右路进攻而不得已为之                   9'第9分钟，谢尔维战术角球低传前点，杰拉德12码处劲射打在边网
12'利物浦在后场控球                   9'第9分钟，谢尔维战术角球低传前点，杰拉德12码处劲射打在边网
12'经过了曼联的开场三板斧之后，利物浦感觉逐渐掌握了主动                   9'第9分钟，谢尔维战术角球低传前点，杰拉德12码处劲射打在边网
