3'勒沃库森球员贝拉拉比拼抢犯规,对手获得控球权.                   3'开场3分钟，托罗西迪斯用手阻挡恰尔汉奥卢传球，点球
3'德罗西为罗马赢得一个任意球.                   3'开场3分钟，托罗西迪斯用手阻挡恰尔汉奥卢传球，点球
3'罗马球员托罗西迪斯手球,致使对方获得点球.                   3'开场3分钟，托罗西迪斯用手阻挡恰尔汉奥卢传球，点球
4'进球啦！！！勒沃库森球员埃尔南德斯右脚射门,球从左下角飞进球门,球进了! 勒沃库森 1-0 罗马.                   3'开场3分钟，托罗西迪斯用手阻挡恰尔汉奥卢传球，点球
6'勒沃库森球员坎普尔拼抢犯规,对手获得控球权.                   3'开场3分钟，托罗西迪斯用手阻挡恰尔汉奥卢传球，点球
6'德罗西为罗马赢得一个任意球.                   3'开场3分钟，托罗西迪斯用手阻挡恰尔汉奥卢传球，点球
6'勒沃库森球员贝拉拉比拼抢犯规,对手获得控球权.                   3'开场3分钟，托罗西迪斯用手阻挡恰尔汉奥卢传球，点球
6'纳因戈兰为罗马赢得一个任意球.                   3'开场3分钟，托罗西迪斯用手阻挡恰尔汉奥卢传球，点球
16'射门!!!罗马球员皮亚尼奇大禁区中央右脚射门,被对方守门员横身扑出.给他传球的是萨拉赫.                   16'第16分钟，萨拉赫传球，皮亚尼奇射门被莱诺封出
17'K-帕帕多普洛斯将球处理出底线,罗马获得角球.                   16'第16分钟，萨拉赫传球，皮亚尼奇射门被莱诺封出
17'罗马球员马诺拉斯大禁区中央尝试头球,可惜皮球稍稍偏出了左球门.给他传球的是皮亚尼奇.                   16'第16分钟，萨拉赫传球，皮亚尼奇射门被莱诺封出
17'贝拉拉比为勒沃库森在右路,赢得一个任意球.                   16'第16分钟，萨拉赫传球，皮亚尼奇射门被莱诺封出
17'罗马球员托罗西迪斯拼抢犯规,对手获得控球权.                   16'第16分钟，萨拉赫传球，皮亚尼奇射门被莱诺封出
19'射门!!!勒沃库森球员埃尔南德斯大禁区中央右脚射门,被对方守门员横身扑出.给他传球的是恰尔汉奥卢.                   16'第16分钟，萨拉赫传球，皮亚尼奇射门被莱诺封出
19'进球啦！！！勒沃库森球员埃尔南德斯大禁区中央左脚射门,球从中路飞进球门,球进了! 勒沃库森 2-0 罗马.                   16'第16分钟，萨拉赫传球，皮亚尼奇射门被莱诺封出
51'射门!!!勒沃库森球员坎普尔大禁区外右脚射门,被对方守门员横身扑出.给他传球的是托普拉克.                   51'罗马本赛季欧冠前6个失球都出现在前30分钟
51'勒沃库森球员坎普尔拼抢犯规,对手获得控球权.                   51'罗马本赛季欧冠前6个失球都出现在前30分钟
51'迪涅为罗马赢得一个任意球.                   51'罗马本赛季欧冠前6个失球都出现在前30分钟
52'勒沃库森球员恰尔汉奥卢拼抢犯规,对手获得控球权.                   51'罗马本赛季欧冠前6个失球都出现在前30分钟
52'纳因戈兰为罗马赢得一个任意球.                   51'罗马本赛季欧冠前6个失球都出现在前30分钟
53'射门!!!罗马球员热尔维尼奥大禁区中央右脚射门,被对方守门员横身扑出.给他传球的是吕迪格.                   51'罗马本赛季欧冠前6个失球都出现在前30分钟
53'勒沃库森球员克拉默拼抢犯规,对手获得控球权.                   51'罗马本赛季欧冠前6个失球都出现在前30分钟
53'纳因戈兰为罗马在对方半场,赢得一个任意球.                   51'罗马本赛季欧冠前6个失球都出现在前30分钟
54'进球啦！！！罗马球员皮亚尼奇右脚射门,球从右上角飞进球门,球进了! 勒沃库森 2-3 罗马.                   51'罗马本赛季欧冠前6个失球都出现在前30分钟
29'多纳蒂将球处理出底线,罗马获得角球.                   29'第29分钟，罗马左侧开出角球，莱诺击球不远，马诺拉斯头球摆渡，德罗西右侧距门6米处推射得手，1比2
