6'图卢兹球员François Moubandje拼抢犯规,对手获得控球权.                   6'第6分钟，阿洛埃任意球混战中12码处捅射破门
6'罗马奥为马赛在右路,赢得一个任意球.                   6'第6分钟，阿洛埃任意球混战中12码处捅射破门
6'马赛球员卢卡斯-门德斯大禁区外左脚射门,被防守球员封堵.                   6'第6分钟，阿洛埃任意球混战中12码处捅射破门
6'进球啦！！！马赛球员阿罗伊大禁区中央右脚射门,球从右下角飞进球门,球进了! 图卢兹 0-2 马赛.                   6'第6分钟，阿洛埃任意球混战中12码处捅射破门
7'图卢兹球员佩斯克手球犯规,对手获得球权.                   6'第6分钟，阿洛埃任意球混战中12码处捅射破门
9'布兰道为图卢兹赢得一个任意球.                   6'第6分钟，阿洛埃任意球混战中12码处捅射破门
9'马赛球员A-阿尤拼抢犯规,对手获得控球权.                   6'第6分钟，阿洛埃任意球混战中12码处捅射破门
44'进球啦！！！马赛球员Michy Batshuayi大禁区中央右脚射门,球从中路飞进球门,球进了!助攻的是奥坎波斯. 图卢兹 0-4 马赛.                   44'第44分钟，帕耶特反击中直传，奥坎波斯禁区右侧传中，巴舒亚伊虚晃开门将后卫之后12码处射入空门
45'+2'上半场结束,图卢兹 0-4 马赛,稍事休息,我们一会来看看下半场两队的表现.                   44'第44分钟，帕耶特反击中直传，奥坎波斯禁区右侧传中，巴舒亚伊虚晃开门将后卫之后12码处射入空门
45'图卢兹换人,William Matheus换下堤瑟兰德                   44'第44分钟，帕耶特反击中直传，奥坎波斯禁区右侧传中，巴舒亚伊虚晃开门将后卫之后12码处射入空门
47'图卢兹球员佩斯克拼抢犯规,对手获得控球权.                   44'第44分钟，帕耶特反击中直传，奥坎波斯禁区右侧传中，巴舒亚伊虚晃开门将后卫之后12码处射入空门
47'莫雷尔为马赛赢得一个任意球.                   44'第44分钟，帕耶特反击中直传，奥坎波斯禁区右侧传中，巴舒亚伊虚晃开门将后卫之后12码处射入空门
78'进球啦！！！马赛球员A-阿尤大禁区中央左脚射门,球从右下角飞进球门,球进了! 图卢兹 1-5 马赛.                   78'第78分钟，卡纳-比伊克解围失误，安德列-阿尤11码处单刀推射破门
79'François Moubandje为图卢兹赢得一个任意球.                   78'第78分钟，卡纳-比伊克解围失误，安德列-阿尤11码处单刀推射破门
79'马赛球员奥坎波斯拼抢犯规,对手获得控球权.                   78'第78分钟，卡纳-比伊克解围失误，安德列-阿尤11码处单刀推射破门
79'射门!!!图卢兹球员本耶德尔大禁区左侧左脚射门,被对方守门员横身扑出.                   78'第78分钟，卡纳-比伊克解围失误，安德列-阿尤11码处单刀推射破门
80'布兰道为图卢兹在右路,赢得一个任意球.                   78'第78分钟，卡纳-比伊克解围失误，安德列-阿尤11码处单刀推射破门
80'马赛球员Giannelli  Imbula拼抢犯规,对手获得控球权.                   78'第78分钟，卡纳-比伊克解围失误，安德列-阿尤11码处单刀推射破门
81'马赛换人,绍维恩换下A-阿尤                   78'第78分钟，卡纳-比伊克解围失误，安德列-阿尤11码处单刀推射破门
