7'曼城反击，萨巴莱塔速度慢了点，没有追上，不过，曼城获得右侧角球机会                   7'开场7分钟，米尔纳开出角球，哲科头球高出
7'米尔纳主罚右侧的角球机会，传到禁区内，哲科头球攻门偏出                   7'开场7分钟，米尔纳开出角球，哲科头球高出
8'罗德维尔与特维斯配合，失败了                   7'开场7分钟，米尔纳开出角球，哲科头球高出
10'今天曼城换了很多英格兰本土的球员                   7'开场7分钟，米尔纳开出角球，哲科头球高出
10'诺维奇右路进攻，越位了，诺维奇已经两次越位在先了                   7'开场7分钟，米尔纳开出角球，哲科头球高出
13'角球开出，造成了禁区内的混乱，不过，没有形成射门                   13'第13分钟，霍尔特左侧小角度射门偏出远门柱
13'今天曼城上了5名英格兰的球员                   13'第13分钟，霍尔特左侧小角度射门偏出远门柱
13'哇，好球啊！                   13'第13分钟，霍尔特左侧小角度射门偏出远门柱
14'诺维奇反越位成功，禁区内拿球，霍尔特转身射门，球慢慢偏出远侧立柱！                   13'第13分钟，霍尔特左侧小角度射门偏出远门柱
14'这球莱斯科特的干扰起到了作用                   13'第13分钟，霍尔特左侧小角度射门偏出远门柱
15'曼城前场反抢，米尔纳右路传中，被门将得到                   13'第13分钟，霍尔特左侧小角度射门偏出远门柱
15'曼城左路进攻，短传配合，被捅出底线                   13'第13分钟，霍尔特左侧小角度射门偏出远门柱
16'曼城左路传中，哲科禁区内头球攻门，太靠近门将了，球被没收                   13'第13分钟，霍尔特左侧小角度射门偏出远门柱
26'斯诺德格拉斯禁区内拿球，试图摸球过人，失误了                   26'曼城第26分钟首先失球，亚亚图雷出现失误，赫拉汉直传禁区，皮尔金顿射进右下角，1比0
26'进球了！！！                   26'曼城第26分钟首先失球，亚亚图雷出现失误，赫拉汉直传禁区，皮尔金顿射进右下角，1比0
26'诺维奇队客场1球领先                   26'曼城第26分钟首先失球，亚亚图雷出现失误，赫拉汉直传禁区，皮尔金顿射进右下角，1比0
26'进球的是皮尔金顿                   26'曼城第26分钟首先失球，亚亚图雷出现失误，赫拉汉直传禁区，皮尔金顿射进右下角，1比0
27'曼城队禁区内控球，霍拉罕面对五人的防守，把球牢牢控制住，传球给皮尔金顿，后者轻松推射命中                   26'曼城第26分钟首先失球，亚亚图雷出现失误，赫拉汉直传禁区，皮尔金顿射进右下角，1比0
28'特维斯前场反抢，真是个拼命三郎啊                   26'曼城第26分钟首先失球，亚亚图雷出现失误，赫拉汉直传禁区，皮尔金顿射进右下角，1比0
28'对于这个丢球，曼城队的球员有些灰心丧气                   26'曼城第26分钟首先失球，亚亚图雷出现失误，赫拉汉直传禁区，皮尔金顿射进右下角，1比0
29'皮尔金顿又来了，左路进攻，传中被后卫挡出                   26'曼城第26分钟首先失球，亚亚图雷出现失误，赫拉汉直传禁区，皮尔金顿射进右下角，1比0
29'孔帕尼、巴里、席尔瓦、阿奎罗都没有上场，使得球队实力受损不少                   26'曼城第26分钟首先失球，亚亚图雷出现失误，赫拉汉直传禁区，皮尔金顿射进右下角，1比0
29'刚才丢球的位置就是理查兹的上场                   26'曼城第26分钟首先失球，亚亚图雷出现失误，赫拉汉直传禁区，皮尔金顿射进右下角，1比0
29'进球了！！！                   26'曼城第26分钟首先失球，亚亚图雷出现失误，赫拉汉直传禁区，皮尔金顿射进右下角，1比0
32'哇！精彩！                   32'第32分钟，斯诺德格拉斯开出角球，布拉德利-约翰逊头球高出
32'皮尔金顿，直接起脚射门，乔哈特把球拖出底线！                   32'第32分钟，斯诺德格拉斯开出角球，布拉德利-约翰逊头球高出
32'斯诺德格拉斯左侧底角球开出，球被后卫顶出                   32'第32分钟，斯诺德格拉斯开出角球，布拉德利-约翰逊头球高出
33'刚才曼城被进球后，很快给予还击，还是显示出了强队的风范                   32'第32分钟，斯诺德格拉斯开出角球，布拉德利-约翰逊头球高出
34'米尔纳右路下底传中，传大了点                   32'第32分钟，斯诺德格拉斯开出角球，布拉德利-约翰逊头球高出
34'时间已经来到了33分钟，比分暂时打成1-1                   32'第32分钟，斯诺德格拉斯开出角球，布拉德利-约翰逊头球高出
34'诺维奇后场玩火啊，纳斯里把球抢到了                   32'第32分钟，斯诺德格拉斯开出角球，布拉德利-约翰逊头球高出
35'纳斯里传球给萨巴莱塔，传得太偏了，萨巴莱塔准备不足                   32'第32分钟，斯诺德格拉斯开出角球，布拉德利-约翰逊头球高出
35'诺维奇前场进攻                   32'第32分钟，斯诺德格拉斯开出角球，布拉德利-约翰逊头球高出
35'理查兹刚才和亚亚图雷的配合出现了问题                   32'第32分钟，斯诺德格拉斯开出角球，布拉德利-约翰逊头球高出
42'险些进球啊，特维斯左路进攻，霍拉汉腿短了，被莱斯科特捅出了底线                   42'第42分钟，斯诺德格拉斯禁区左侧似传似射，远门柱包抄的马丁险些铲进
42'角球机会                   42'第42分钟，斯诺德格拉斯禁区左侧似传似射，远门柱包抄的马丁险些铲进
43'诺维奇右路的角球机会，开到禁区，被莱斯科特顶出禁区                   42'第42分钟，斯诺德格拉斯禁区左侧似传似射，远门柱包抄的马丁险些铲进
44'米尔纳右路进攻，传球到中路的时候，没有越过后卫的头顶                   42'第42分钟，斯诺德格拉斯禁区左侧似传似射，远门柱包抄的马丁险些铲进
44'诺维奇反击！！                   42'第42分钟，斯诺德格拉斯禁区左侧似传似射，远门柱包抄的马丁险些铲进
45'传到边路的时候失误了，皮尔金顿再次把球断走                   42'第42分钟，斯诺德格拉斯禁区左侧似传似射，远门柱包抄的马丁险些铲进
45'加里多发出边线球，诺维奇在左侧组织进攻                   42'第42分钟，斯诺德格拉斯禁区左侧似传似射，远门柱包抄的马丁险些铲进
