4'帕尔塔鲁中场放倒了唐佳庶                   4'第4分钟，汪嵩45度传中到禁区内，上赛季挪超金靴阿甘头球攻门偏出
4'汪嵩左路45度斜传到禁区，阿甘头球攻门偏出球门                   4'第4分钟，汪嵩45度传中到禁区内，上赛季挪超金靴阿甘头球攻门偏出
5'来自科特迪瓦的阿甘上赛季是挪超的金靴                   4'第4分钟，汪嵩45度传中到禁区内，上赛季挪超金靴阿甘头球攻门偏出
5'还是比较有冲击力的                   4'第4分钟，汪嵩45度传中到禁区内，上赛季挪超金靴阿甘头球攻门偏出
5'汪嵩再次左路送出传中，杨启鹏把球拿到                   4'第4分钟，汪嵩45度传中到禁区内，上赛季挪超金靴阿甘头球攻门偏出
6'泰达反击，瓦伦西亚和利马左路配合，前者下底传中拿到角球                   4'第4分钟，汪嵩45度传中到禁区内，上赛季挪超金靴阿甘头球攻门偏出
6'李本舰处理这个角球                   4'第4分钟，汪嵩45度传中到禁区内，上赛季挪超金靴阿甘头球攻门偏出
6'前点被马佐拉解围出来                   4'第4分钟，汪嵩45度传中到禁区内，上赛季挪超金靴阿甘头球攻门偏出
6'外围还是泰达队控制住                   4'第4分钟，汪嵩45度传中到禁区内，上赛季挪超金靴阿甘头球攻门偏出
7'聊博超左路助攻上来，交给李本舰时球丢了                   4'第4分钟，汪嵩45度传中到禁区内，上赛季挪超金靴阿甘头球攻门偏出
7'李本舰争抢高球时被吹了犯规                   4'第4分钟，汪嵩45度传中到禁区内，上赛季挪超金靴阿甘头球攻门偏出
10'右路马佐拉过渡一下后交给王林，传中被聊博超挡出边线                   10'第10分钟，杭州绿城队进攻被挡，马佐拉禁区外小角度直接轰门，球又被防守队员挡出
10'马佐拉在禁区右侧拿球又是一脚直接的打门被身前队员挡出来                   10'第10分钟，杭州绿城队进攻被挡，马佐拉禁区外小角度直接轰门，球又被防守队员挡出
11'今天马佐拉的射门欲望很强啊                   10'第10分钟，杭州绿城队进攻被挡，马佐拉禁区外小角度直接轰门，球又被防守队员挡出
11'两支球队有一点还是很一致的，就是队中的外援都还没有进球                   10'第10分钟，杭州绿城队进攻被挡，马佐拉禁区外小角度直接轰门，球又被防守队员挡出
12'看看今天的马佐拉，阿甘，尤万希奇和瓦伦西亚谁能收获首个进球                   10'第10分钟，杭州绿城队进攻被挡，马佐拉禁区外小角度直接轰门，球又被防守队员挡出
12'王冠伊分到左路李本舰                   10'第10分钟，杭州绿城队进攻被挡，马佐拉禁区外小角度直接轰门，球又被防守队员挡出
13'摆脱后强行下底被石柯挡出底线，角球                   10'第10分钟，杭州绿城队进攻被挡，马佐拉禁区外小角度直接轰门，球又被防守队员挡出
13'第一点还是防守队员先顶出来                   10'第10分钟，杭州绿城队进攻被挡，马佐拉禁区外小角度直接轰门，球又被防守队员挡出
20'李本舰左路传中太靠近门将了，姜波把球没收                   20'前20分钟，主场作战的天津泰达未能获得一次射门机会
20'今天泰达队的阵容是4312，李本舰、帕尔塔鲁和王冠伊的三后腰                   20'前20分钟，主场作战的天津泰达未能获得一次射门机会
21'靠右的王冠伊更多往中路拉，把右路的空间腾出来交给边后卫白岳峰                   20'前20分钟，主场作战的天津泰达未能获得一次射门机会
22'王林右路助攻上来把球扫到门前被后卫解围出边线                   20'前20分钟，主场作战的天津泰达未能获得一次射门机会
22'金东进后场大脚传到前场后被上抢的尤万希奇踩了一下                   20'前20分钟，主场作战的天津泰达未能获得一次射门机会
23'高迪左路传中后卫解围出来                   20'前20分钟，主场作战的天津泰达未能获得一次射门机会
23'泰达反击，不过速度太慢了                   20'前20分钟，主场作战的天津泰达未能获得一次射门机会
23'倒了半天倒到左路，王新欣勉强一脚传球又落入门将怀里                   20'前20分钟，主场作战的天津泰达未能获得一次射门机会
23'高迪左路传中后卫解围出来                   23'第23分钟，天津泰达获得威胁球门机会，杭州绿城解围失误，王新欣禁区内拿球直接往球门送，姜波轻松将球没收
23'泰达反击，不过速度太慢了                   23'第23分钟，天津泰达获得威胁球门机会，杭州绿城解围失误，王新欣禁区内拿球直接往球门送，姜波轻松将球没收
23'倒了半天倒到左路，王新欣勉强一脚传球又落入门将怀里                   23'第23分钟，天津泰达获得威胁球门机会，杭州绿城解围失误，王新欣禁区内拿球直接往球门送，姜波轻松将球没收
24'泰达队中后场传球                   23'第23分钟，天津泰达获得威胁球门机会，杭州绿城解围失误，王新欣禁区内拿球直接往球门送，姜波轻松将球没收
24'在进攻中两支球队还是比较保守                   23'第23分钟，天津泰达获得威胁球门机会，杭州绿城解围失误，王新欣禁区内拿球直接往球门送，姜波轻松将球没收
25'帕尔塔鲁中路直传，尤万希奇没有抢到落点                   23'第23分钟，天津泰达获得威胁球门机会，杭州绿城解围失误，王新欣禁区内拿球直接往球门送，姜波轻松将球没收
25'外围泰达继续控制                   23'第23分钟，天津泰达获得威胁球门机会，杭州绿城解围失误，王新欣禁区内拿球直接往球门送，姜波轻松将球没收
26'左路聊博超助攻上来，马佐拉防守把球捅出底线，角球                   23'第23分钟，天津泰达获得威胁球门机会，杭州绿城解围失误，王新欣禁区内拿球直接往球门送，姜波轻松将球没收
