73'那不勒斯球员默滕斯大禁区外右脚射门,被防守球员封堵.给他传球的是哈姆西克.                   71'那不勒斯第26分钟取得领先
74'那不勒斯默滕斯受伤倒地,比赛暂停                   71'那不勒斯第26分钟取得领先
74'暂停结束,球员们重新开始比赛.                   71'那不勒斯第26分钟取得领先
74'那不勒斯换人,辛宁斯基上,默滕斯因伤下场.                   71'那不勒斯第26分钟取得领先
84'射门!!!那不勒斯球员罗格大禁区中央左脚射门,被对方守门员横身扑出.给他传球的是卡列洪.                   84'第39分钟，梅尔滕斯将法齐奥撞倒后单刀突入禁区捅射入网，但被判犯规在先，进球无效
84'斯泽斯尼将球处理出底线,那不勒斯获得角球.                   84'第39分钟，梅尔滕斯将法齐奥撞倒后单刀突入禁区捅射入网，但被判犯规在先，进球无效
85'罗马球员萨拉赫大禁区中央右脚射门,命中门柱左侧立柱.给他传球的是纳因戈兰.                   84'第39分钟，梅尔滕斯将法齐奥撞倒后单刀突入禁区捅射入网，但被判犯规在先，进球无效
86'那不勒斯球员米利克拼抢犯规,对手获得控球权.                   84'第39分钟，梅尔滕斯将法齐奥撞倒后单刀突入禁区捅射入网，但被判犯规在先，进球无效
86'胡安为罗马赢得一个任意球.                   84'第39分钟，梅尔滕斯将法齐奥撞倒后单刀突入禁区捅射入网，但被判犯规在先，进球无效
87'罗格为那不勒斯在右路,赢得一个任意球.                   84'第39分钟，梅尔滕斯将法齐奥撞倒后单刀突入禁区捅射入网，但被判犯规在先，进球无效
87'罗马球员纳因戈兰拼抢犯规,对手获得控球权.                   84'第39分钟，梅尔滕斯将法齐奥撞倒后单刀突入禁区捅射入网，但被判犯规在先，进球无效
87'卡列洪为那不勒斯在对方半场,赢得一个任意球.                   84'第39分钟，梅尔滕斯将法齐奥撞倒后单刀突入禁区捅射入网，但被判犯规在先，进球无效
87'罗马球员Leandro Paredes拼抢犯规,对手获得控球权.                   84'第39分钟，梅尔滕斯将法齐奥撞倒后单刀突入禁区捅射入网，但被判犯规在先，进球无效
