12'弗赖堡球员穆罕穆迪拼抢犯规,对手获得控球权.                   11'开场11分钟，贝纳蒂亚接应角球头槌入网，但被吹犯规
12'贝纳蒂亚为拜仁慕尼黑赢得一个任意球.                   11'开场11分钟，贝纳蒂亚接应角球头槌入网，但被吹犯规
13'进球啦！！！拜仁慕尼黑球员施魏因斯泰格大禁区中央右脚射门,球从中路飞进球门,球进了!助攻的是魏泽. 弗赖堡 0-1 拜仁慕尼黑.                   11'开场11分钟，贝纳蒂亚接应角球头槌入网，但被吹犯规
14'穆伊扎为弗赖堡在右路,赢得一个任意球.                   11'开场11分钟，贝纳蒂亚接应角球头槌入网，但被吹犯规
14'拜仁慕尼黑球员格策拼抢犯规,对手获得控球权.                   11'开场11分钟，贝纳蒂亚接应角球头槌入网，但被吹犯规
33'进球啦！！！弗赖堡球员穆罕穆迪大禁区外右脚射门,球从左下角飞进球门,球进了!助攻的是克劳斯. 弗赖堡 1-1 拜仁慕尼黑.                   33'第33分钟，克劳斯前场抢断直传，穆罕默迪转身横趟闪开防守，禁区弧顶大力低射钻进左下角，1比1，他是本赛季正式比赛禁区外攻破拜仁球门第2人，此前1位是梅西
34'弗赖堡球员赫夫勒拼抢犯规,对手获得控球权.                   33'第33分钟，克劳斯前场抢断直传，穆罕默迪转身横趟闪开防守，禁区弧顶大力低射钻进左下角，1比1，他是本赛季正式比赛禁区外攻破拜仁球门第2人，此前1位是梅西
34'施魏因斯泰格为拜仁慕尼黑在对方半场,赢得一个任意球.                   33'第33分钟，克劳斯前场抢断直传，穆罕默迪转身横趟闪开防守，禁区弧顶大力低射钻进左下角，1比1，他是本赛季正式比赛禁区外攻破拜仁球门第2人，此前1位是梅西
36'弗赖堡球员穆伊扎一脚直塞球给施密德,但是边裁举旗显示后者已经越位.                   33'第33分钟，克劳斯前场抢断直传，穆罕默迪转身横趟闪开防守，禁区弧顶大力低射钻进左下角，1比1，他是本赛季正式比赛禁区外攻破拜仁球门第2人，此前1位是梅西
59'穆伊扎将球处理出底线,拜仁慕尼黑获得角球.                   57'第57分钟，穆罕默迪突入禁区，似被身后的拉菲尼亚推倒，但主裁判没有中断比赛
60'弗赖堡球员克尔马什拼抢犯规,对手获得控球权.                   57'第57分钟，穆罕默迪突入禁区，似被身后的拉菲尼亚推倒，但主裁判没有中断比赛
60'莱万多夫斯基为拜仁慕尼黑在对方半场,赢得一个任意球.                   57'第57分钟，穆罕默迪突入禁区，似被身后的拉菲尼亚推倒，但主裁判没有中断比赛
69'弗赖堡球员克劳斯拼抢犯规,对手获得控球权.                   69'第69分钟，小猪左侧主罚小角度任意球击中横梁
69'魏泽为拜仁慕尼黑在左路,赢得一个任意球.                   69'第69分钟，小猪左侧主罚小角度任意球击中横梁
69'拜仁慕尼黑球员施魏因斯泰格直接任意球右脚射门,命中门柱横梁.                   69'第69分钟，小猪左侧主罚小角度任意球击中横梁
70'拜仁慕尼黑球员施魏因斯泰格大禁区外尝试左脚射门,可惜皮球偏出球门.                   69'第69分钟，小猪左侧主罚小角度任意球击中横梁
71'赫夫勒为弗赖堡赢得一个任意球.                   69'第69分钟，小猪左侧主罚小角度任意球击中横梁
71'拜仁慕尼黑球员魏泽拼抢犯规,对手获得控球权.                   69'第69分钟，小猪左侧主罚小角度任意球击中横梁
72'拜仁慕尼黑换人,蒂亚戈换下罗德                   69'第69分钟，小猪左侧主罚小角度任意球击中横梁
72'拜仁慕尼黑换人,拉姆换下施魏因斯泰格                   69'第69分钟，小猪左侧主罚小角度任意球击中横梁
85'弗赖堡换人,菲利普换下穆伊扎                   85'第85分钟，蒂亚戈禁区外抽射直奔右下角，但比尔基精彩飞身托出
85'射门!!!拜仁慕尼黑球员蒂亚戈大禁区外右脚射门,被对方守门员横身扑出.                   85'第85分钟，蒂亚戈禁区外抽射直奔右下角，但比尔基精彩飞身托出
85'博尔基将球处理出底线,拜仁慕尼黑获得角球.                   85'第85分钟，蒂亚戈禁区外抽射直奔右下角，但比尔基精彩飞身托出
86'拜仁慕尼黑球员穆勒大禁区外右脚射门,被防守球员封堵.                   85'第85分钟，蒂亚戈禁区外抽射直奔右下角，但比尔基精彩飞身托出
86'弗赖堡换人,彼得森换下穆罕穆迪                   85'第85分钟，蒂亚戈禁区外抽射直奔右下角，但比尔基精彩飞身托出
87'弗赖堡球员菲利普一脚直塞球给彼得森,但是边裁举旗显示后者已经越位.                   85'第85分钟，蒂亚戈禁区外抽射直奔右下角，但比尔基精彩飞身托出
