1'随着主裁一声哨响，比赛正式开始                   1'开场仅仅1分钟，贵州人和队第一次进攻便掉入了武汉卓尔队的越位陷阱
1'武汉卓尔身穿白色比赛服                   1'开场仅仅1分钟，贵州人和队第一次进攻便掉入了武汉卓尔队的越位陷阱
1'贵州人和穿的是红色比赛服                   1'开场仅仅1分钟，贵州人和队第一次进攻便掉入了武汉卓尔队的越位陷阱
1'孙继海拿球和杨昊在组织配合                   1'开场仅仅1分钟，贵州人和队第一次进攻便掉入了武汉卓尔队的越位陷阱
2'贵州一上来攻得很猛，张成林插上越位                   1'开场仅仅1分钟，贵州人和队第一次进攻便掉入了武汉卓尔队的越位陷阱
2'今天对于卓尔来讲一定要注意防住对手的高空球                   1'开场仅仅1分钟，贵州人和队第一次进攻便掉入了武汉卓尔队的越位陷阱
2'忻峰倒脚给邱添一                   1'开场仅仅1分钟，贵州人和队第一次进攻便掉入了武汉卓尔队的越位陷阱
3'赵源煕把球交给李行                   1'开场仅仅1分钟，贵州人和队第一次进攻便掉入了武汉卓尔队的越位陷阱
3'李行找本特利，本特利获得了一个角球                   1'开场仅仅1分钟，贵州人和队第一次进攻便掉入了武汉卓尔队的越位陷阱
3'斯托扬和朱挺都到了禁区内                   1'开场仅仅1分钟，贵州人和队第一次进攻便掉入了武汉卓尔队的越位陷阱
3'角球开出，被张烈双拳击出                   1'开场仅仅1分钟，贵州人和队第一次进攻便掉入了武汉卓尔队的越位陷阱
4'人和反击，柯钊把球破坏出去                   1'开场仅仅1分钟，贵州人和队第一次进攻便掉入了武汉卓尔队的越位陷阱
4'现在卓尔重新拿到球权                   1'开场仅仅1分钟，贵州人和队第一次进攻便掉入了武汉卓尔队的越位陷阱
4'卓尔中场策应打身后，本特利下地后有机会                   1'开场仅仅1分钟，贵州人和队第一次进攻便掉入了武汉卓尔队的越位陷阱
4'可惜被刘天祺大脚解围                   1'开场仅仅1分钟，贵州人和队第一次进攻便掉入了武汉卓尔队的越位陷阱
7'姚翰林在左路和李春郁拼抢                   7'第7分钟，武汉卓尔队门前险象环生，贵州人和队9号穆斯利接队友直塞后突入禁区内，门将吴出击堵住了穆斯利的路线，后者回拉将球横敲中路，21号于海倒地射门被后卫挡出，紧接着杨昊一脚劲射被吴封出
7'贵州队今天在中场的回收保护也做得比较谨慎                   7'第7分钟，武汉卓尔队门前险象环生，贵州人和队9号穆斯利接队友直塞后突入禁区内，门将吴出击堵住了穆斯利的路线，后者回拉将球横敲中路，21号于海倒地射门被后卫挡出，紧接着杨昊一脚劲射被吴封出
7'李行横敲给本特利                   7'第7分钟，武汉卓尔队门前险象环生，贵州人和队9号穆斯利接队友直塞后突入禁区内，门将吴出击堵住了穆斯利的路线，后者回拉将球横敲中路，21号于海倒地射门被后卫挡出，紧接着杨昊一脚劲射被吴封出
7'法蒂直接一脚长传球                   7'第7分钟，武汉卓尔队门前险象环生，贵州人和队9号穆斯利接队友直塞后突入禁区内，门将吴出击堵住了穆斯利的路线，后者回拉将球横敲中路，21号于海倒地射门被后卫挡出，紧接着杨昊一脚劲射被吴封出
