3'纳乔再给拉莫斯，拉莫斯分球右路给达尼洛                   3'皇马开场仅3分钟取得领先，莫拉塔斜传，卢卡斯禁区右侧传中，J罗近距离破门
3'达尼洛直塞巴斯克斯，巴斯克斯横传中路                   3'皇马开场仅3分钟取得领先，莫拉塔斜传，卢卡斯禁区右侧传中，J罗近距离破门
3'皇马进球了！！！                   3'皇马开场仅3分钟取得领先，莫拉塔斜传，卢卡斯禁区右侧传中，J罗近距离破门
3'开场2分30秒，皇马取得了领先，完美开局啊！！                   3'皇马开场仅3分钟取得领先，莫拉塔斜传，卢卡斯禁区右侧传中，J罗近距离破门
4'J罗的抢点垫射！！                   3'皇马开场仅3分钟取得领先，莫拉塔斜传，卢卡斯禁区右侧传中，J罗近距离破门
5'莫拉塔禁区弧顶拿球，斜传右侧给巴斯克斯，巴斯克斯横传球到门前，J罗中路跟进，抢点垫射，打进！！                   3'皇马开场仅3分钟取得领先，莫拉塔斜传，卢卡斯禁区右侧传中，J罗近距离破门
5'科尔辛右路拿球，卡塞米罗的逼抢，将球破坏出边线                   3'皇马开场仅3分钟取得领先，莫拉塔斜传，卢卡斯禁区右侧传中，J罗近距离破门
6'拉莫斯后场拿球，带至中线分球，分球阿森西奥                   3'皇马开场仅3分钟取得领先，莫拉塔斜传，卢卡斯禁区右侧传中，J罗近距离破门
6'阿森西奥停球回传科瓦契奇                   3'皇马开场仅3分钟取得领先，莫拉塔斜传，卢卡斯禁区右侧传中，J罗近距离破门
6'科瓦契奇再给J罗，J罗过顶斜传右路                   3'皇马开场仅3分钟取得领先，莫拉塔斜传，卢卡斯禁区右侧传中，J罗近距离破门
6'达尼洛插上接应，边裁举旗，越位在先！！                   3'皇马开场仅3分钟取得领先，莫拉塔斜传，卢卡斯禁区右侧传中，J罗近距离破门
6'拉莫斯后场拿球，带至中线分球，分球阿森西奥                   6'皇马6分钟连入2球继续扩大优势，第30分钟，卢卡斯斜传右路，达尼洛突入禁区右侧低传，无人防守的莫拉塔12码处劲射打中横梁下沿入网，3-0
6'阿森西奥停球回传科瓦契奇                   6'皇马6分钟连入2球继续扩大优势，第30分钟，卢卡斯斜传右路，达尼洛突入禁区右侧低传，无人防守的莫拉塔12码处劲射打中横梁下沿入网，3-0
6'科瓦契奇再给J罗，J罗过顶斜传右路                   6'皇马6分钟连入2球继续扩大优势，第30分钟，卢卡斯斜传右路，达尼洛突入禁区右侧低传，无人防守的莫拉塔12码处劲射打中横梁下沿入网，3-0
6'达尼洛插上接应，边裁举旗，越位在先！！                   6'皇马6分钟连入2球继续扩大优势，第30分钟，卢卡斯斜传右路，达尼洛突入禁区右侧低传，无人防守的莫拉塔12码处劲射打中横梁下沿入网，3-0
7'科瓦契奇左路拿球，内切大范围斜传右路                   6'皇马6分钟连入2球继续扩大优势，第30分钟，卢卡斯斜传右路，达尼洛突入禁区右侧低传，无人防守的莫拉塔12码处劲射打中横梁下沿入网，3-0
7'巴斯克斯拿球，面对逼抢，回传中路的J罗                   6'皇马6分钟连入2球继续扩大优势，第30分钟，卢卡斯斜传右路，达尼洛突入禁区右侧低传，无人防守的莫拉塔12码处劲射打中横梁下沿入网，3-0
8'J罗再送一脚斜塞到前场右路                   6'皇马6分钟连入2球继续扩大优势，第30分钟，卢卡斯斜传右路，达尼洛突入禁区右侧低传，无人防守的莫拉塔12码处劲射打中横梁下沿入网，3-0
8'达尼洛插上接应，可惜最后的趟球下底                   6'皇马6分钟连入2球继续扩大优势，第30分钟，卢卡斯斜传右路，达尼洛突入禁区右侧低传，无人防守的莫拉塔12码处劲射打中横梁下沿入网，3-0
