37'莫雷诺中场送球                   37'上半场比赛，上海申花反客为主，登巴巴在第37分钟外脚背弹射破门
37'申花进球了！！！                   37'上半场比赛，上海申花反客为主，登巴巴在第37分钟外脚背弹射破门
37'登巴巴！！！                   37'上半场比赛，上海申花反客为主，登巴巴在第37分钟外脚背弹射破门
37'莫雷诺中场输送准确找到插入禁区的登巴巴，面对出击的王大雷外脚背弹射破门                   37'上半场比赛，上海申花反客为主，登巴巴在第37分钟外脚背弹射破门
38'鲁能0-1落后申花                   37'上半场比赛，上海申花反客为主，登巴巴在第37分钟外脚背弹射破门
39'申花中场拦截，送右路反击                   37'上半场比赛，上海申花反客为主，登巴巴在第37分钟外脚背弹射破门
39'李运秋带到禁区右侧，传中不理想                   37'上半场比赛，上海申花反客为主，登巴巴在第37分钟外脚背弹射破门
39'申花换人，张璐换下刘若钒                   37'上半场比赛，上海申花反客为主，登巴巴在第37分钟外脚背弹射破门
40'莫雷诺中场断球，不急于向前                   37'上半场比赛，上海申花反客为主，登巴巴在第37分钟外脚背弹射破门
40'张璐右路突破被断                   37'上半场比赛，上海申花反客为主，登巴巴在第37分钟外脚背弹射破门
40'莫雷诺转移左路，曹赟定回敲                   37'上半场比赛，上海申花反客为主，登巴巴在第37分钟外脚背弹射破门
56'罗梅罗分右路，登巴巴回撤接应                   56'第56分钟，金敬道边路弧线球传中，塔尔德利鱼跃头球破门
56'蒿俊闵斜传右路，金敬道传中                   56'第56分钟，金敬道边路弧线球传中，塔尔德利鱼跃头球破门
57'鲁能进球了！！！                   56'第56分钟，金敬道边路弧线球传中，塔尔德利鱼跃头球破门
57'塔尔德利！！！                   56'第56分钟，金敬道边路弧线球传中，塔尔德利鱼跃头球破门
57'金敬道右路底线前传中，塔尔德利头球冲顶破门                   56'第56分钟，金敬道边路弧线球传中，塔尔德利鱼跃头球破门
57'鲁能2-1领先申花                   56'第56分钟，金敬道边路弧线球传中，塔尔德利鱼跃头球破门
58'鲁能换人，刘彬彬换下吴兴涵                   56'第56分钟，金敬道边路弧线球传中，塔尔德利鱼跃头球破门
58'申花换人，荣昊换下曹赟定                   56'第56分钟，金敬道边路弧线球传中，塔尔德利鱼跃头球破门
59'塔尔德利前场拿球，回敲格德斯                   56'第56分钟，金敬道边路弧线球传中，塔尔德利鱼跃头球破门
50'任意球到禁区，被莫雷诺顶出                   50'第5分钟，上海申花任意球进攻，莫雷诺头球攻门，球打在登巴巴腿上弹出底线
50'曹赟定肋部拿球，转移另一侧                   50'第5分钟，上海申花任意球进攻，莫雷诺头球攻门，球打在登巴巴腿上弹出底线
51'李运秋起过顶球，登巴巴越位                   50'第5分钟，上海申花任意球进攻，莫雷诺头球攻门，球打在登巴巴腿上弹出底线
51'塔尔德利左路横敲，格德斯没拿到                   50'第5分钟，上海申花任意球进攻，莫雷诺头球攻门，球打在登巴巴腿上弹出底线
52'罗梅罗拿球斜传曹赟定，回敲                   50'第5分钟，上海申花任意球进攻，莫雷诺头球攻门，球打在登巴巴腿上弹出底线
53'曹赟定换位到右路，还是选择先回敲                   50'第5分钟，上海申花任意球进攻，莫雷诺头球攻门，球打在登巴巴腿上弹出底线
53'登巴巴前场做球，罗梅罗强突被断                   50'第5分钟，上海申花任意球进攻，莫雷诺头球攻门，球打在登巴巴腿上弹出底线
53'塔尔德利左路肋部拿球，斜传后点                   50'第5分钟，上海申花任意球进攻，莫雷诺头球攻门，球打在登巴巴腿上弹出底线
59'塔尔德利前场拿球，回敲格德斯                   59'第14分钟，塔尔德利中场传球失误，莫雷诺送出直塞，登巴巴快速插上小角度斜射，球击中远端立柱外侧弹出底线
60'罗梅罗中场突破被绊倒，裁判没有吹                   59'第14分钟，塔尔德利中场传球失误，莫雷诺送出直塞，登巴巴快速插上小角度斜射，球击中远端立柱外侧弹出底线
60'荣昊回追拉人，裁判同样不吹                   59'第14分钟，塔尔德利中场传球失误，莫雷诺送出直塞，登巴巴快速插上小角度斜射，球击中远端立柱外侧弹出底线
60'鲁能转移左路，刘彬彬拿球                   59'第14分钟，塔尔德利中场传球失误，莫雷诺送出直塞，登巴巴快速插上小角度斜射，球击中远端立柱外侧弹出底线
60'敲禁区前，直塞被李帅没收                   59'第14分钟，塔尔德利中场传球失误，莫雷诺送出直塞，登巴巴快速插上小角度斜射，球击中远端立柱外侧弹出底线
61'塔尔德利禁区前突破，被艾迪破坏                   59'第14分钟，塔尔德利中场传球失误，莫雷诺送出直塞，登巴巴快速插上小角度斜射，球击中远端立柱外侧弹出底线
61'刘军帅往右路分球，直接给出边线                   59'第14分钟，塔尔德利中场传球失误，莫雷诺送出直塞，登巴巴快速插上小角度斜射，球击中远端立柱外侧弹出底线
62'登巴巴回撤接应，被戴琳绊倒                   59'第14分钟，塔尔德利中场传球失误，莫雷诺送出直塞，登巴巴快速插上小角度斜射，球击中远端立柱外侧弹出底线
74'格德斯前场停球大了，被孙世林破坏                   74'一直被动的山东鲁能在第29分钟制造破门良机，格德斯边路拿球回扣连续过两人后送出脚后跟妙传，塔尔德利跟进推射，球打在后卫腿上偏出球门
75'登巴巴分左路，荣昊回接                   74'一直被动的山东鲁能在第29分钟制造破门良机，格德斯边路拿球回扣连续过两人后送出脚后跟妙传，塔尔德利跟进推射，球打在后卫腿上偏出球门
75'莫雷诺直塞被拦截，蒿俊闵斜传                   74'一直被动的山东鲁能在第29分钟制造破门良机，格德斯边路拿球回扣连续过两人后送出脚后跟妙传，塔尔德利跟进推射，球打在后卫腿上偏出球门
75'左路刘彬彬插上，李运秋扛住断球                   74'一直被动的山东鲁能在第29分钟制造破门良机，格德斯边路拿球回扣连续过两人后送出脚后跟妙传，塔尔德利跟进推射，球打在后卫腿上偏出球门
75'高球进禁区找到登巴巴，卸球                   74'一直被动的山东鲁能在第29分钟制造破门良机，格德斯边路拿球回扣连续过两人后送出脚后跟妙传，塔尔德利跟进推射，球打在后卫腿上偏出球门
75'戴琳回来破坏一下                   74'一直被动的山东鲁能在第29分钟制造破门良机，格德斯边路拿球回扣连续过两人后送出脚后跟妙传，塔尔德利跟进推射，球打在后卫腿上偏出球门
75'格德斯前场接应斜传，越位                   74'一直被动的山东鲁能在第29分钟制造破门良机，格德斯边路拿球回扣连续过两人后送出脚后跟妙传，塔尔德利跟进推射，球打在后卫腿上偏出球门
76'张璐右路传中，落点不佳                   74'一直被动的山东鲁能在第29分钟制造破门良机，格德斯边路拿球回扣连续过两人后送出脚后跟妙传，塔尔德利跟进推射，球打在后卫腿上偏出球门
76'荣昊左路横敲禁区，登巴巴射门被封堵                   74'一直被动的山东鲁能在第29分钟制造破门良机，格德斯边路拿球回扣连续过两人后送出脚后跟妙传，塔尔德利跟进推射，球打在后卫腿上偏出球门
