1'主裁判哨响，比赛开始了                   1'曼城第1分钟积极施压，伯恩利摆出铁桶阵防守
1'曼城开球，回敲给到后面的奥塔门迪                   1'曼城第1分钟积极施压，伯恩利摆出铁桶阵防守
1'在给到右侧，中路分费尔南迪尼奥                   1'曼城第1分钟积极施压，伯恩利摆出铁桶阵防守
1'向前横敲左侧给到席尔瓦                   1'曼城第1分钟积极施压，伯恩利摆出铁桶阵防守
1'直塞被挡出边线，界外球给到                   1'曼城第1分钟积极施压，伯恩利摆出铁桶阵防守
2'回敲身后的费尔南迪尼奥，在交斯通斯，右侧给沃克                   1'曼城第1分钟积极施压，伯恩利摆出铁桶阵防守
2'回敲在给斯通斯，中路找费尔南迪尼奥，斜长传                   1'曼城第1分钟积极施压，伯恩利摆出铁桶阵防守
2'左侧给到萨内，再分肋部的席尔瓦                   1'曼城第1分钟积极施压，伯恩利摆出铁桶阵防守
2'斜45度搓起来，禁区内直接送到门将怀抱                   1'曼城第1分钟积极施压，伯恩利摆出铁桶阵防守
2'波佩大脚开起来                   1'曼城第1分钟积极施压，伯恩利摆出铁桶阵防守
3'前场拼抢哨响，曼城的犯规                   1'曼城第1分钟积极施压，伯恩利摆出铁桶阵防守
3'伯恩利定位球直接大力吊入禁区，飞出了底线                   1'曼城第1分钟积极施压，伯恩利摆出铁桶阵防守
3'艾德森大脚开起来                   1'曼城第1分钟积极施压，伯恩利摆出铁桶阵防守
3'中圈争顶，席尔瓦得球，停球摆脱遭遇夹抢，对了                   1'曼城第1分钟积极施压，伯恩利摆出铁桶阵防守
3'丢了                   1'曼城第1分钟积极施压，伯恩利摆出铁桶阵防守
3'费尔南迪尼奥反抢，把球拼出了边线                   1'曼城第1分钟积极施压，伯恩利摆出铁桶阵防守
3'界外球给出，转移到左侧，曼城拼抢回来                   1'曼城第1分钟积极施压，伯恩利摆出铁桶阵防守
4'斯通斯后场拿球，在给费尔南迪尼奥，直传被断                   1'曼城第1分钟积极施压，伯恩利摆出铁桶阵防守
4'布雷迪上抢，自己带球向前，贝尔纳多席尔瓦反抢                   1'曼城第1分钟积极施压，伯恩利摆出铁桶阵防守
4'向前给出过顶球，左侧阿圭罗过来                   1'曼城第1分钟积极施压，伯恩利摆出铁桶阵防守
4'拿球摆脱，在回敲左路萨内                   1'曼城第1分钟积极施压，伯恩利摆出铁桶阵防守
4'伯恩利严密防守，把球挡出边线                   1'曼城第1分钟积极施压，伯恩利摆出铁桶阵防守
23'低平球向前给，禁区外围球被解围出去                   23'曼城第23分钟险些破门，萨内突入禁区左侧下底回传，贝纳尔多10码处第一时间射门被波佩神勇救出
23'禁区外围左侧萨内得球，左脚传中球给到门前                   23'曼城第23分钟险些破门，萨内突入禁区左侧下底回传，贝纳尔多10码处第一时间射门被波佩神勇救出
23'阿圭罗跟上包抄，推射，被波佩横身挡出                   23'曼城第23分钟险些破门，萨内突入禁区左侧下底回传，贝纳尔多10码处第一时间射门被波佩神勇救出
23'禁区外围左侧萨内再拿球                   23'曼城第23分钟险些破门，萨内突入禁区左侧下底回传，贝纳尔多10码处第一时间射门被波佩神勇救出
23'萨内转移到中路，席尔瓦在给右侧                   23'曼城第23分钟险些破门，萨内突入禁区左侧下底回传，贝纳尔多10码处第一时间射门被波佩神勇救出
23'沃克前插，提前量给大了，没追上                   23'曼城第23分钟险些破门，萨内突入禁区左侧下底回传，贝纳尔多10码处第一时间射门被波佩神勇救出
23'奥塔门迪中圈附近控制，左侧给德尔夫                   23'曼城第23分钟险些破门，萨内突入禁区左侧下底回传，贝纳尔多10码处第一时间射门被波佩神勇救出
24'亨德里克紧逼上来，右侧在给贝尔纳多席尔瓦，身后给沃克                   23'曼城第23分钟险些破门，萨内突入禁区左侧下底回传，贝纳尔多10码处第一时间射门被波佩神勇救出
24'观察一下，在转移，左侧给萨内                   23'曼城第23分钟险些破门，萨内突入禁区左侧下底回传，贝纳尔多10码处第一时间射门被波佩神勇救出
24'带球突破，杀向禁区，米把球捅出界外                   23'曼城第23分钟险些破门，萨内突入禁区左侧下底回传，贝纳尔多10码处第一时间射门被波佩神勇救出
24'曼城界外球，大力给出来，伯恩利不等球落地，迅速解围                   23'曼城第23分钟险些破门，萨内突入禁区左侧下底回传，贝纳尔多10码处第一时间射门被波佩神勇救出
25'外围拼抢，亨德里克得球，过顶长传                   23'曼城第23分钟险些破门，萨内突入禁区左侧下底回传，贝纳尔多10码处第一时间射门被波佩神勇救出
25'奥塔门迪头球解围                   23'曼城第23分钟险些破门，萨内突入禁区左侧下底回传，贝纳尔多10码处第一时间射门被波佩神勇救出
25'中圈附近！！席尔瓦得球                   23'曼城第23分钟险些破门，萨内突入禁区左侧下底回传，贝纳尔多10码处第一时间射门被波佩神勇救出
25'一脚斜长传给到远端                   23'曼城第23分钟险些破门，萨内突入禁区左侧下底回传，贝纳尔多10码处第一时间射门被波佩神勇救出
25'前场右路！！贝尔纳多席尔瓦没跟上，出了边线                   23'曼城第23分钟险些破门，萨内突入禁区左侧下底回传，贝纳尔多10码处第一时间射门被波佩神勇救出
26'曼城回敲给到后场                   23'曼城第23分钟险些破门，萨内突入禁区左侧下底回传，贝纳尔多10码处第一时间射门被波佩神勇救出
