6'南安普顿的右侧角球                   6'利物浦第6分钟取得领先，萨拉赫反击中横传，菲尔米诺禁区边缘内低射右下角入网
6'角球开到禁区里前点                   6'利物浦第6分钟取得领先，萨拉赫反击中横传，菲尔米诺禁区边缘内低射右下角入网
6'被头球解围                   6'利物浦第6分钟取得领先，萨拉赫反击中横传，菲尔米诺禁区边缘内低射右下角入网
6'外围右侧勒米纳得球长传                   6'利物浦第6分钟取得领先，萨拉赫反击中横传，菲尔米诺禁区边缘内低射右下角入网
6'范迪克后场右侧头球给卡里乌斯                   6'利物浦第6分钟取得领先，萨拉赫反击中横传，菲尔米诺禁区边缘内低射右下角入网
6'卡里乌斯发球出来                   6'利物浦第6分钟取得领先，萨拉赫反击中横传，菲尔米诺禁区边缘内低射右下角入网
6'利物浦的快速进攻！                   6'利物浦第6分钟取得领先，萨拉赫反击中横传，菲尔米诺禁区边缘内低射右下角入网
6'直塞球给到前场右侧萨拉赫                   6'利物浦第6分钟取得领先，萨拉赫反击中横传，菲尔米诺禁区边缘内低射右下角入网
7'萨拉赫突破到了禁区内右侧！                   6'利物浦第6分钟取得领先，萨拉赫反击中横传，菲尔米诺禁区边缘内低射右下角入网
7'给禁区内中路的菲尔米诺！                   6'利物浦第6分钟取得领先，萨拉赫反击中横传，菲尔米诺禁区边缘内低射右下角入网
7'菲尔米诺右脚推射打门！！                   6'利物浦第6分钟取得领先，萨拉赫反击中横传，菲尔米诺禁区边缘内低射右下角入网
7'GOOOOOOOOOOOOOAL！！！                   6'利物浦第6分钟取得领先，萨拉赫反击中横传，菲尔米诺禁区边缘内低射右下角入网
8'利物浦1-0南安普顿                   6'利物浦第6分钟取得领先，萨拉赫反击中横传，菲尔米诺禁区边缘内低射右下角入网
8'巴特兰德传中前场禁区里左侧                   6'利物浦第6分钟取得领先，萨拉赫反击中横传，菲尔米诺禁区边缘内低射右下角入网
8'球被维纳尔杜姆头球解围！                   6'利物浦第6分钟取得领先，萨拉赫反击中横传，菲尔米诺禁区边缘内低射右下角入网
8'萨拉赫得球右路带过来！                   6'利物浦第6分钟取得领先，萨拉赫反击中横传，菲尔米诺禁区边缘内低射右下角入网
8'分球禁区前沿的马内！                   6'利物浦第6分钟取得领先，萨拉赫反击中横传，菲尔米诺禁区边缘内低射右下角入网
9'马内把球给到了左侧张伯伦                   6'利物浦第6分钟取得领先，萨拉赫反击中横传，菲尔米诺禁区边缘内低射右下角入网
9'张伯伦禁区前沿左侧右脚打门！                   6'利物浦第6分钟取得领先，萨拉赫反击中横传，菲尔米诺禁区边缘内低射右下角入网
9'被防守球员挡出去！                   6'利物浦第6分钟取得领先，萨拉赫反击中横传，菲尔米诺禁区边缘内低射右下角入网
9'中圈罗梅乌把球得到！                   6'利物浦第6分钟取得领先，萨拉赫反击中横传，菲尔米诺禁区边缘内低射右下角入网
42'詹挑传左路给维纳尔杜姆                   42'利物浦第42分钟扩大比分，萨拉赫传球后前插，菲尔米诺脚后跟妙传，萨拉赫12码处顺势扫射入网
42'维纳尔杜姆回传身后菲尔米诺                   42'利物浦第42分钟扩大比分，萨拉赫传球后前插，菲尔米诺脚后跟妙传，萨拉赫12码处顺势扫射入网
42'菲尔米诺一脚直塞球给到禁区里左侧                   42'利物浦第42分钟扩大比分，萨拉赫传球后前插，菲尔米诺脚后跟妙传，萨拉赫12码处顺势扫射入网
42'皮球被防守球员解围                   42'利物浦第42分钟扩大比分，萨拉赫传球后前插，菲尔米诺脚后跟妙传，萨拉赫12码处顺势扫射入网
43'马蒂普大脚把球踢出边线                   42'利物浦第42分钟扩大比分，萨拉赫传球后前插，菲尔米诺脚后跟妙传，萨拉赫12码处顺势扫射入网
43'南安普顿前场左侧的边线球                   42'利物浦第42分钟扩大比分，萨拉赫传球后前插，菲尔米诺脚后跟妙传，萨拉赫12码处顺势扫射入网
44'发球给到左路塔迪奇                   42'利物浦第42分钟扩大比分，萨拉赫传球后前插，菲尔米诺脚后跟妙传，萨拉赫12码处顺势扫射入网
44'塔迪奇的球球被阿诺德解围出底线                   42'利物浦第42分钟扩大比分，萨拉赫传球后前插，菲尔米诺脚后跟妙传，萨拉赫12码处顺势扫射入网
44'南安普顿的左侧角球                   42'利物浦第42分钟扩大比分，萨拉赫传球后前插，菲尔米诺脚后跟妙传，萨拉赫12码处顺势扫射入网
44'角球开到禁区里后点，被头球解围                   42'利物浦第42分钟扩大比分，萨拉赫传球后前插，菲尔米诺脚后跟妙传，萨拉赫12码处顺势扫射入网
44'马蒂普低平球斜传给到禁区前沿！                   42'利物浦第42分钟扩大比分，萨拉赫传球后前插，菲尔米诺脚后跟妙传，萨拉赫12码处顺势扫射入网
45'罗伯逊塞球给到禁区里中路！                   42'利物浦第42分钟扩大比分，萨拉赫传球后前插，菲尔米诺脚后跟妙传，萨拉赫12码处顺势扫射入网
45'萨拉赫插上一脚推射！！                   42'利物浦第42分钟扩大比分，萨拉赫传球后前插，菲尔米诺脚后跟妙传，萨拉赫12码处顺势扫射入网
45'GOOOOOOOOOOOOOOOOAL！！！                   42'利物浦第42分钟扩大比分，萨拉赫传球后前插，菲尔米诺脚后跟妙传，萨拉赫12码处顺势扫射入网
