5'0-1！！！                   5'曼联第5分钟取得领先，瓦伦西亚长传，林加德右路传中，伊布小禁区前头球破门
5'伊布！！！                   5'曼联第5分钟取得领先，瓦伦西亚长传，林加德右路传中，伊布小禁区前头球破门
6'曼联后场长传打到对方身后，林加德高速插上后直接边路传球给到禁区，伊布这边球到人到将球碰入对方球门！！                   5'曼联第5分钟取得领先，瓦伦西亚长传，林加德右路传中，伊布小禁区前头球破门
6'曼联右路再传禁区                   5'曼联第5分钟取得领先，瓦伦西亚长传，林加德右路传中，伊布小禁区前头球破门
6'这次轮到了鲁尼                   5'曼联第5分钟取得领先，瓦伦西亚长传，林加德右路传中，伊布小禁区前头球破门
6'但是被干扰了                   5'曼联第5分钟取得领先，瓦伦西亚长传，林加德右路传中，伊布小禁区前头球破门
6'曼联的角球机会                   5'曼联第5分钟取得领先，瓦伦西亚长传，林加德右路传中，伊布小禁区前头球破门
7'角球送前点                   5'曼联第5分钟取得领先，瓦伦西亚长传，林加德右路传中，伊布小禁区前头球破门
7'头球蹭了一下                   5'曼联第5分钟取得领先，瓦伦西亚长传，林加德右路传中，伊布小禁区前头球破门
7'后点被西布朗解围出来                   5'曼联第5分钟取得领先，瓦伦西亚长传，林加德右路传中，伊布小禁区前头球破门
8'曼联的开局非常不错                   5'曼联第5分钟取得领先，瓦伦西亚长传，林加德右路传中，伊布小禁区前头球破门
23'鲁尼禁区外围的远射击中了横梁弹出！！                   23'曼联第23分钟险些扩大比分，博格巴直传，林加德禁区左侧回传，鲁尼禁区边缘劲射被福斯特扑挡后击中横梁弹回
23'运气也是稍微差了一点点                   23'曼联第23分钟险些扩大比分，博格巴直传，林加德禁区左侧回传，鲁尼禁区边缘劲射被福斯特扑挡后击中横梁弹回
23'西布朗这边马上反击                   23'曼联第23分钟险些扩大比分，博格巴直传，林加德禁区左侧回传，鲁尼禁区边缘劲射被福斯特扑挡后击中横梁弹回
23'弗莱彻斜传球送禁区                   23'曼联第23分钟险些扩大比分，博格巴直传，林加德禁区左侧回传，鲁尼禁区边缘劲射被福斯特扑挡后击中横梁弹回
