1'主裁判哨响，上半场开始了                   1'马竞第1分钟强力施压，格列兹曼传球，托雷斯禁区右侧的低射被舒梅切尔没收
1'莱斯特开球，冈崎慎司发球给到左侧                   1'马竞第1分钟强力施压，格列兹曼传球，托雷斯禁区右侧的低射被舒梅切尔没收
1'戈丁头球顶出，奥尔布莱顿把球控制，横敲被断                   1'马竞第1分钟强力施压，格列兹曼传球，托雷斯禁区右侧的低射被舒梅切尔没收
1'卡拉斯科拿球给到右侧科克，福克斯上抢踢出边线                   1'马竞第1分钟强力施压，格列兹曼传球，托雷斯禁区右侧的低射被舒梅切尔没收
2'胡安弗兰给到卡拉斯科，挑传向前，福克斯再次破坏                   1'马竞第1分钟强力施压，格列兹曼传球，托雷斯禁区右侧的低射被舒梅切尔没收
2'冈崎慎司前场拼抢踢翻了萨乌尔犯规                   1'马竞第1分钟强力施压，格列兹曼传球，托雷斯禁区右侧的低射被舒梅切尔没收
2'马竞后场给到萨维奇，带球过来，直传中路找金童托雷斯                   1'马竞第1分钟强力施压，格列兹曼传球，托雷斯禁区右侧的低射被舒梅切尔没收
2'转身带球，禁区附近被恩迪迪拦截                   1'马竞第1分钟强力施压，格列兹曼传球，托雷斯禁区右侧的低射被舒梅切尔没收
3'右侧到了卡拉斯科脚下，横敲转移                   1'马竞第1分钟强力施压，格列兹曼传球，托雷斯禁区右侧的低射被舒梅切尔没收
3'禁区内被胡特头球解围                   1'马竞第1分钟强力施压，格列兹曼传球，托雷斯禁区右侧的低射被舒梅切尔没收
3'禁区外围连续的争顶，莱斯特反击，长甩给瓦尔迪                   1'马竞第1分钟强力施压，格列兹曼传球，托雷斯禁区右侧的低射被舒梅切尔没收
3'瓦尔迪快下，利用身体强吃到底线                   1'马竞第1分钟强力施压，格列兹曼传球，托雷斯禁区右侧的低射被舒梅切尔没收
3'禁区左侧横扫到门前，，无人包抄啊                   1'马竞第1分钟强力施压，格列兹曼传球，托雷斯禁区右侧的低射被舒梅切尔没收
4'这球是碰到马竞球员出了底线                   1'马竞第1分钟强力施压，格列兹曼传球，托雷斯禁区右侧的低射被舒梅切尔没收
4'右侧角球，，传起来，第一点被马竞控制                   1'马竞第1分钟强力施压，格列兹曼传球，托雷斯禁区右侧的低射被舒梅切尔没收
4'反击过来，速度非常快，卡拉斯科底线区域护球                   1'马竞第1分钟强力施压，格列兹曼传球，托雷斯禁区右侧的低射被舒梅切尔没收
4'贝纳卢安把球捅出界外                   1'马竞第1分钟强力施压，格列兹曼传球，托雷斯禁区右侧的低射被舒梅切尔没收
28'刚入禁区，被回防的奥尔布莱顿撞翻在地，，，点球                   28'马竞第28分钟打破僵局，格列兹曼强突禁区左侧边缘在阿尔布莱顿防守下摔倒，回放显示犯规地点具有争议，瑞典裁判埃里克森判罚极刑，格里兹曼亲自主罚点球命中
28'哇塞，，这球格子从后场起步，一路奔袭到禁区内，，绝对的狂奔啊                   28'马竞第28分钟打破僵局，格列兹曼强突禁区左侧边缘在阿尔布莱顿防守下摔倒，回放显示犯规地点具有争议，瑞典裁判埃里克森判罚极刑，格里兹曼亲自主罚点球命中
28'不过裁判也是跑的够快的，居然跟上来了                   28'马竞第28分钟打破僵局，格列兹曼强突禁区左侧边缘在阿尔布莱顿防守下摔倒，回放显示犯规地点具有争议，瑞典裁判埃里克森判罚极刑，格里兹曼亲自主罚点球命中
28'格子亲自主罚点球                   28'马竞第28分钟打破僵局，格列兹曼强突禁区左侧边缘在阿尔布莱顿防守下摔倒，回放显示犯规地点具有争议，瑞典裁判埃里克森判罚极刑，格里兹曼亲自主罚点球命中
29'助跑，，，左脚轻搓，骗开舒梅切尔，把球搓入左侧                   28'马竞第28分钟打破僵局，格列兹曼强突禁区左侧边缘在阿尔布莱顿防守下摔倒，回放显示犯规地点具有争议，瑞典裁判埃里克森判罚极刑，格里兹曼亲自主罚点球命中
29'舒梅切尔这球纵使有三头六臂也是无可奈何了                   28'马竞第28分钟打破僵局，格列兹曼强突禁区左侧边缘在阿尔布莱顿防守下摔倒，回放显示犯规地点具有争议，瑞典裁判埃里克森判罚极刑，格里兹曼亲自主罚点球命中
29'冈崎慎司发球，中路给胡特，斜长传                   28'马竞第28分钟打破僵局，格列兹曼强突禁区左侧边缘在阿尔布莱顿防守下摔倒，回放显示犯规地点具有争议，瑞典裁判埃里克森判罚极刑，格里兹曼亲自主罚点球命中
