1'上半场比赛开始！！                   1'双方赛前为刚刚去世的诺维奇传奇球星埃罗尔-克洛桑鼓掌1分钟
1'首先由主队诺维奇开球，从画面的左侧向右进攻！                   1'双方赛前为刚刚去世的诺维奇传奇球星埃罗尔-克洛桑鼓掌1分钟
1'诺维奇前场失误，曼联右路的进攻！！                   1'双方赛前为刚刚去世的诺维奇传奇球星埃罗尔-克洛桑鼓掌1分钟
1'瓦伦西亚的直塞球，被巴松破坏出边线！                   1'双方赛前为刚刚去世的诺维奇传奇球星埃罗尔-克洛桑鼓掌1分钟
2'曼联的前场配合，德佩的传球出了底线！                   1'双方赛前为刚刚去世的诺维奇传奇球星埃罗尔-克洛桑鼓掌1分钟
2'平托右路拿球，分球找杰罗姆，被断！！                   1'双方赛前为刚刚去世的诺维奇传奇球星埃罗尔-克洛桑鼓掌1分钟
3'曼联的反击，达米安左路直塞找德佩                   1'双方赛前为刚刚去世的诺维奇传奇球星埃罗尔-克洛桑鼓掌1分钟
3'德佩拿球内切，巴松补防将球解围出边线！！                   1'双方赛前为刚刚去世的诺维奇传奇球星埃罗尔-克洛桑鼓掌1分钟
3'曼联失误，诺维奇的反击！1                   1'双方赛前为刚刚去世的诺维奇传奇球星埃罗尔-克洛桑鼓掌1分钟
3'豪森拿球，一路狂奔，禁区弧顶分球右侧找豪森                   1'双方赛前为刚刚去世的诺维奇传奇球星埃罗尔-克洛桑鼓掌1分钟
4'豪森横传球到门前，卡里克回防将球解围出底线！！                   1'双方赛前为刚刚去世的诺维奇传奇球星埃罗尔-克洛桑鼓掌1分钟
4'诺维奇获得右侧角球机会！！                   1'双方赛前为刚刚去世的诺维奇传奇球星埃罗尔-克洛桑鼓掌1分钟
4'角球开出到禁区，鲁尼的头球解围！！                   1'双方赛前为刚刚去世的诺维奇传奇球星埃罗尔-克洛桑鼓掌1分钟
4'杰罗姆，头球被德赫亚倒地封堵！！                   1'双方赛前为刚刚去世的诺维奇传奇球星埃罗尔-克洛桑鼓掌1分钟
4'这球杰罗姆几乎无人防守啊！！                   1'双方赛前为刚刚去世的诺维奇传奇球星埃罗尔-克洛桑鼓掌1分钟
29'马塔任意球斜传禁区，巴松头球解围出底线！！                   29'红魔第29分钟险些破门，马塔开出角球，斯马林近距离头球攻门高出
29'曼联右侧角球机会！！                   29'红魔第29分钟险些破门，马塔开出角球，斯马林近距离头球攻门高出
29'角球开出到后点，斯莫林的头球，冲天炮，顶高啦！！                   29'红魔第29分钟险些破门，马塔开出角球，斯马林近距离头球攻门高出
30'曼联前场进攻，林加德的远射，偏了一点点啊！！                   29'红魔第29分钟险些破门，马塔开出角球，斯马林近距离头球攻门高出
31'马塔前场左路拿球，直塞找德佩                   29'红魔第29分钟险些破门，马塔开出角球，斯马林近距离头球攻门高出
41'马塔前场拿球，横传给卡里克                   41'第41分钟，杰罗姆内切禁区右侧突破罗霍后又在博斯维克-杰克逊防守下摔倒，裁判拒绝判罚点球
41'卡里克再给右侧上来的瓦伦西亚                   41'第41分钟，杰罗姆内切禁区右侧突破罗霍后又在博斯维克-杰克逊防守下摔倒，裁判拒绝判罚点球
41'瓦伦西亚回传林加德！！                   41'第41分钟，杰罗姆内切禁区右侧突破罗霍后又在博斯维克-杰克逊防守下摔倒，裁判拒绝判罚点球
41'曼联前场继续传倒，罗霍中线分球失误！！                   41'第41分钟，杰罗姆内切禁区右侧突破罗霍后又在博斯维克-杰克逊防守下摔倒，裁判拒绝判罚点球
41'诺维奇的反击，杰罗姆拿球                   41'第41分钟，杰罗姆内切禁区右侧突破罗霍后又在博斯维克-杰克逊防守下摔倒，裁判拒绝判罚点球
42'杰罗姆右路内切，一扣摆脱罗霍                   41'第41分钟，杰罗姆内切禁区右侧突破罗霍后又在博斯维克-杰克逊防守下摔倒，裁判拒绝判罚点球
42'杰罗姆再突，摔倒在禁区                   41'第41分钟，杰罗姆内切禁区右侧突破罗霍后又在博斯维克-杰克逊防守下摔倒，裁判拒绝判罚点球
42'裁判没表示，球被补防的卡梅伦拦截破坏！！                   41'第41分钟，杰罗姆内切禁区右侧突破罗霍后又在博斯维克-杰克逊防守下摔倒，裁判拒绝判罚点球
43'诺维奇的前场进攻，赢得任意球机会！                   41'第41分钟，杰罗姆内切禁区右侧突破罗霍后又在博斯维克-杰克逊防守下摔倒，裁判拒绝判罚点球
43'奥尼尔任意球斜传禁区，被曼联球员解围！！                   41'第41分钟，杰罗姆内切禁区右侧突破罗霍后又在博斯维克-杰克逊防守下摔倒，裁判拒绝判罚点球
43'瓦伦西亚的长传转移给前插的德佩                   41'第41分钟，杰罗姆内切禁区右侧突破罗霍后又在博斯维克-杰克逊防守下摔倒，裁判拒绝判罚点球
43'德佩带球往禁区走，遭遇夹击，失误啦！！                   41'第41分钟，杰罗姆内切禁区右侧突破罗霍后又在博斯维克-杰克逊防守下摔倒，裁判拒绝判罚点球
44'罗霍上来，外围的大力出球，似传似射，直接被鲁迪拿到！                   41'第41分钟，杰罗姆内切禁区右侧突破罗霍后又在博斯维克-杰克逊防守下摔倒，裁判拒绝判罚点球
44'诺维奇这边又有球员受伤，队医进场！！                   41'第41分钟，杰罗姆内切禁区右侧突破罗霍后又在博斯维克-杰克逊防守下摔倒，裁判拒绝判罚点球
