4'梅西在右路~交给苏亚雷斯！                   4'开场仅4分钟，苏亚雷斯角球混战中头球破门，但他对安杰莱里犯规在先，进球无效
4'苏牙一个漂亮的原地转身，抹过后卫                   4'开场仅4分钟，苏亚雷斯角球混战中头球破门，但他对安杰莱里犯规在先，进球无效
4'下底传中~后卫在后点头球解围出了底线                   4'开场仅4分钟，苏亚雷斯角球混战中头球破门，但他对安杰莱里犯规在先，进球无效
4'巴萨获得了开场之后的第一个角球                   4'开场仅4分钟，苏亚雷斯角球混战中头球破门，但他对安杰莱里犯规在先，进球无效
4'拉基蒂奇角球~好机会！！！                   4'开场仅4分钟，苏亚雷斯角球混战中头球破门，但他对安杰莱里犯规在先，进球无效
5'进球无效？？？                   4'开场仅4分钟，苏亚雷斯角球混战中头球破门，但他对安杰莱里犯规在先，进球无效
5'裁判吹了苏亚雷斯头球之前推人犯规                   4'开场仅4分钟，苏亚雷斯角球混战中头球破门，但他对安杰莱里犯规在先，进球无效
5'慢动作来看苏亚雷斯在头球之前确实手上有个推人动作                   4'开场仅4分钟，苏亚雷斯角球混战中头球破门，但他对安杰莱里犯规在先，进球无效
5'推了一下对方的15号安杰莱里                   4'开场仅4分钟，苏亚雷斯角球混战中头球破门，但他对安杰莱里犯规在先，进球无效
6'这种球要是在英超的话就不会吹...                   4'开场仅4分钟，苏亚雷斯角球混战中头球破门，但他对安杰莱里犯规在先，进球无效
6'当然这里是西甲联赛~所以裁判很快就吹了犯规，进球无效                   4'开场仅4分钟，苏亚雷斯角球混战中头球破门，但他对安杰莱里犯规在先，进球无效
6'巴萨继续控球进攻                   4'开场仅4分钟，苏亚雷斯角球混战中头球破门，但他对安杰莱里犯规在先，进球无效
7'全都压过了中场                   4'开场仅4分钟，苏亚雷斯角球混战中头球破门，但他对安杰莱里犯规在先，进球无效
7'整个一半场攻防演练                   4'开场仅4分钟，苏亚雷斯角球混战中头球破门，但他对安杰莱里犯规在先，进球无效
