4'泰达左侧边线球掷到禁区，中路恒丰球员头球后蹭，王栋禁区后点直接打门高出                   3'第3分钟，王帆推传向前，逄志泉左侧拿球杀入禁区后直接推射近角，被杜佳没 收
4'范云龙左路带球突破，出了边线                   3'第3分钟，王帆推传向前，逄志泉左侧拿球杀入禁区后直接推射近角，被杜佳没 收
5'贵州左路进攻再来，被破坏出边线                   3'第3分钟，王帆推传向前，逄志泉左侧拿球杀入禁区后直接推射近角，被杜佳没 收
5'王帆推传向前，逄志泉左侧拿球杀入禁区后直接推射近角，被杜佳没收                   3'第3分钟，王帆推传向前，逄志泉左侧拿球杀入禁区后直接推射近角，被杜佳没 收
6'常飞亚前场断球给到禁区，双方争顶，奥伦加停球调整后转身打门高出                   3'第3分钟，王帆推传向前，逄志泉左侧拿球杀入禁区后直接推射近角，被杜佳没 收
9'常飞亚禁区左侧突破，推传给到中路，奥伦加点球点得球打门，被后卫挡出边线                   9'第9分钟，常飞亚禁区左侧突破，推传给到中路，奥伦加点球点得球打门，被后卫挡出边线
10' 惠家康右路45°起球！！吊向禁区                   9'第9分钟，常飞亚禁区左侧突破，推传给到中路，奥伦加点球点得球打门，被后卫挡出边线
10'被蒋亮后场右路直接断下                   9'第9分钟，常飞亚禁区左侧突破，推传给到中路，奥伦加点球点得球打门，被后卫挡出边线
11'惠家康右路停住球                   9'第9分钟，常飞亚禁区左侧突破，推传给到中路，奥伦加点球点得球打门，被后卫挡出边线
11'被王帆踢出边线了                   9'第9分钟，常飞亚禁区左侧突破，推传给到中路，奥伦加点球点得球打门，被后卫挡出边线
12' 逄志泉带球向前走                   9'第9分钟，常飞亚禁区左侧突破，推传给到中路，奥伦加点球点得球打门，被后卫挡出边线
12' 被上抢的古德利放倒了                   9'第9分钟，常飞亚禁区左侧突破，推传给到中路，奥伦加点球点得球打门，被后卫挡出边线
15'王栋一个摆脱！！右路来个传中                   14'第14分钟，王栋开出右路角球，禁区内无人能够碰到皮球，皮球弹地后飞到左路，泰达边路球员再次传中，皮球被防守球员破坏
15'被韩鹏飞顶出底线                   14'第14分钟，王栋开出右路角球，禁区内无人能够碰到皮球，皮球弹地后飞到左路，泰达边路球员再次传中，皮球被防守球员破坏
16'王栋右侧角球开出，禁区中路争顶                   14'第14分钟，王栋开出右路角球，禁区内无人能够碰到皮球，皮球弹地后飞到左路，泰达边路球员再次传中，皮球被防守球员破坏
16'郭皓再拿球起脚继续吊向小禁区内                   14'第14分钟，王栋开出右路角球，禁区内无人能够碰到皮球，皮球弹地后飞到左路，泰达边路球员再次传中，皮球被防守球员破坏
16'还是被智诚球员踢出边线                   14'第14分钟，王栋开出右路角球，禁区内无人能够碰到皮球，皮球弹地后飞到左路，泰达边路球员再次传中，皮球被防守球员破坏
17'切里禁区右侧突破倒地，裁判没吹                   14'第14分钟，王栋开出右路角球，禁区内无人能够碰到皮球，皮球弹地后飞到左路，泰达边路球员再次传中，皮球被防守球员破坏
17'蒋亮得球吊向禁区，逄志泉争顶犯规了                   14'第14分钟，王栋开出右路角球，禁区内无人能够碰到皮球，皮球弹地后飞到左路，泰达边路球员再次传中，皮球被防守球员破坏
22' 杜佳再开球， 球飞向前场左侧                   22'第22分钟，贵州恒丰获得左路定位球，切里任意球半高球斜传门前，韩鹏飞中路飞身铲射没踢到，球出了底线
22' 被麦克格文头球回顶一下                   22'第22分钟，贵州恒丰获得左路定位球，切里任意球半高球斜传门前，韩鹏飞中路飞身铲射没踢到，球出了底线
24'切里任意球半高球斜传门前                   22'第22分钟，贵州恒丰获得左路定位球，切里任意球半高球斜传门前，韩鹏飞中路飞身铲射没踢到，球出了底线
24'韩鹏飞中路飞身铲射没踢到，球是出了底线                   22'第22分钟，贵州恒丰获得左路定位球，切里任意球半高球斜传门前，韩鹏飞中路飞身铲射没踢到，球出了底线
25' 范云龙起脚挑传到禁区附近                   22'第22分钟，贵州恒丰获得左路定位球，切里任意球半高球斜传门前，韩鹏飞中路飞身铲射没踢到，球出了底线
25'禁区附近逄志泉被放倒                   22'第22分钟，贵州恒丰获得左路定位球，切里任意球半高球斜传门前，韩鹏飞中路飞身铲射没踢到，球出了底线
