2'角球开到禁区内右侧！                   2'巴萨开场仅2分钟取得领先，梅西传球，库蒂尼奥12码处推射右上角入网
2'皮球被解围出边线！                   2'巴萨开场仅2分钟取得领先，梅西传球，库蒂尼奥12码处推射右上角入网
2'巴塞罗那前场右侧边线球！                   2'巴萨开场仅2分钟取得领先，梅西传球，库蒂尼奥12码处推射右上角入网
2'发球给接应的塞梅多！                   2'巴萨开场仅2分钟取得领先，梅西传球，库蒂尼奥12码处推射右上角入网
2'回给中场附近布斯克茨！                   2'巴萨开场仅2分钟取得领先，梅西传球，库蒂尼奥12码处推射右上角入网
2'再推传给中场左侧阿图尔！                   2'巴萨开场仅2分钟取得领先，梅西传球，库蒂尼奥12码处推射右上角入网
2'回传身后的皮克！                   2'巴萨开场仅2分钟取得领先，梅西传球，库蒂尼奥12码处推射右上角入网
3'皮克长传球给中路塞梅多！                   2'巴萨开场仅2分钟取得领先，梅西传球，库蒂尼奥12码处推射右上角入网
3'分球给禁区前沿梅西！                   2'巴萨开场仅2分钟取得领先，梅西传球，库蒂尼奥12码处推射右上角入网
3'梅西给禁区前沿左侧库蒂尼奥！                   2'巴萨开场仅2分钟取得领先，梅西传球，库蒂尼奥12码处推射右上角入网
3'库蒂尼奥切入禁区内左侧得球！                   2'巴萨开场仅2分钟取得领先，梅西传球，库蒂尼奥12码处推射右上角入网
3'库蒂尼奥起脚推射！                   2'巴萨开场仅2分钟取得领先，梅西传球，库蒂尼奥12码处推射右上角入网
3'GOOOOOOOOOOAL！！！1-0！                   2'巴萨开场仅2分钟取得领先，梅西传球，库蒂尼奥12码处推射右上角入网
4'梅西助攻库蒂尼奥破门！巴塞罗那1-0领先塞维利亚！                   2'巴萨开场仅2分钟取得领先，梅西传球，库蒂尼奥12码处推射右上角入网
5'继续看比赛！                   2'巴萨开场仅2分钟取得领先，梅西传球，库蒂尼奥12码处推射右上角入网
5'皮克分球给中场左侧塞梅多！                   2'巴萨开场仅2分钟取得领先，梅西传球，库蒂尼奥12码处推射右上角入网
5'再给前场左侧直传球！                   2'巴萨开场仅2分钟取得领先，梅西传球，库蒂尼奥12码处推射右上角入网
5'凯尔后场把球拦截！                   2'巴萨开场仅2分钟取得领先，梅西传球，库蒂尼奥12码处推射右上角入网
12'特尔施特根开球门球给前场中路！                   12'巴萨第12分钟扩大比分，苏亚雷斯中场断球后直接斜传，梅西突破至禁区边缘反弹球射入左下角，2-0
12'巴内加后场把球断下！                   12'巴萨第12分钟扩大比分，苏亚雷斯中场断球后直接斜传，梅西突破至禁区边缘反弹球射入左下角，2-0
13'巴内加长传球给前场中路！                   12'巴萨第12分钟扩大比分，苏亚雷斯中场断球后直接斜传，梅西突破至禁区边缘反弹球射入左下角，2-0
13'边裁举旗！这是萨拉维亚越位了！                   12'巴萨第12分钟扩大比分，苏亚雷斯中场断球后直接斜传，梅西突破至禁区边缘反弹球射入左下角，2-0
13'巴塞罗那后场开定位球！                   12'巴萨第12分钟扩大比分，苏亚雷斯中场断球后直接斜传，梅西突破至禁区边缘反弹球射入左下角，2-0
13'开球给中圈左侧拉基蒂奇！                   12'巴萨第12分钟扩大比分，苏亚雷斯中场断球后直接斜传，梅西突破至禁区边缘反弹球射入左下角，2-0
13'推传给右侧插上的梅西！                   12'巴萨第12分钟扩大比分，苏亚雷斯中场断球后直接斜传，梅西突破至禁区边缘反弹球射入左下角，2-0
13'梅西得球一路奔袭！                   12'巴萨第12分钟扩大比分，苏亚雷斯中场断球后直接斜传，梅西突破至禁区边缘反弹球射入左下角，2-0
14'杀到禁区前点中路！                   12'巴萨第12分钟扩大比分，苏亚雷斯中场断球后直接斜传，梅西突破至禁区边缘反弹球射入左下角，2-0
14'梅西左脚推射打门！！                   12'巴萨第12分钟扩大比分，苏亚雷斯中场断球后直接斜传，梅西突破至禁区边缘反弹球射入左下角，2-0
14'GOOOOOOOOOAL！！！2-0！                   12'巴萨第12分钟扩大比分，苏亚雷斯中场断球后直接斜传，梅西突破至禁区边缘反弹球射入左下角，2-0
14'梅西千里走单骑！单刀破门！巴塞罗那2-0塞维利亚！                   12'巴萨第12分钟扩大比分，苏亚雷斯中场断球后直接斜传，梅西突破至禁区边缘反弹球射入左下角，2-0
15'塞维利亚开球给后场卡里索！                   12'巴萨第12分钟扩大比分，苏亚雷斯中场断球后直接斜传，梅西突破至禁区边缘反弹球射入左下角，2-0
15'卡里索低平球给身前中路本耶德尔！                   12'巴萨第12分钟扩大比分，苏亚雷斯中场断球后直接斜传，梅西突破至禁区边缘反弹球射入左下角，2-0
15'本耶德尔的球被塞梅多解围出左侧底线！                   12'巴萨第12分钟扩大比分，苏亚雷斯中场断球后直接斜传，梅西突破至禁区边缘反弹球射入左下角，2-0
15'巴塞罗那的左侧角球！                   12'巴萨第12分钟扩大比分，苏亚雷斯中场断球后直接斜传，梅西突破至禁区边缘反弹球射入左下角，2-0
62'苏亚雷斯中路带球推进！                   61'塞维利亚第61分钟险些破门，纳瓦斯右路传中，安德列-席尔瓦10码处头球攻门被特尔施特根飞身扑出，巴斯克斯小禁区左侧再射又被德国门将挡出
62'来到禁区左路！                   61'塞维利亚第61分钟险些破门，纳瓦斯右路传中，安德列-席尔瓦10码处头球攻门被特尔施特根飞身扑出，巴斯克斯小禁区左侧再射又被德国门将挡出
63'切入禁区内！被瓦茨利克放倒了！                   61'塞维利亚第61分钟险些破门，纳瓦斯右路传中，安德列-席尔瓦10码处头球攻门被特尔施特根飞身扑出，巴斯克斯小禁区左侧再射又被德国门将挡出
63'裁判给了点球！！巴塞罗那的点球机会！                   61'塞维利亚第61分钟险些破门，纳瓦斯右路传中，安德列-席尔瓦10码处头球攻门被特尔施特根飞身扑出，巴斯克斯小禁区左侧再射又被德国门将挡出
63'门将瓦茨利克被罚一张黄牌！                   61'塞维利亚第61分钟险些破门，纳瓦斯右路传中，安德列-席尔瓦10码处头球攻门被特尔施特根飞身扑出，巴斯克斯小禁区左侧再射又被德国门将挡出
64'苏亚雷斯自己操刀点球！                   61'塞维利亚第61分钟险些破门，纳瓦斯右路传中，安德列-席尔瓦10码处头球攻门被特尔施特根飞身扑出，巴斯克斯小禁区左侧再射又被德国门将挡出
64'苏亚雷斯助跑！低射球门左下角！！                   61'塞维利亚第61分钟险些破门，纳瓦斯右路传中，安德列-席尔瓦10码处头球攻门被特尔施特根飞身扑出，巴斯克斯小禁区左侧再射又被德国门将挡出
64'GOOOOOOOOOOOOAL！球进了！3-0！！！                   61'塞维利亚第61分钟险些破门，纳瓦斯右路传中，安德列-席尔瓦10码处头球攻门被特尔施特根飞身扑出，巴斯克斯小禁区左侧再射又被德国门将挡出
64'苏亚雷斯点球破门！巴塞罗那3-0塞维利亚！                   61'塞维利亚第61分钟险些破门，纳瓦斯右路传中，安德列-席尔瓦10码处头球攻门被特尔施特根飞身扑出，巴斯克斯小禁区左侧再射又被德国门将挡出
80'萨拉维亚禁区前沿右侧远距离兜射！！                   79'塞维利亚第79分钟扳回一城，巴内加传球，萨拉维亚右路禁区前抽射打在朗格莱头上偏转入左上角，1-3
80'直挂死角！！                   79'塞维利亚第79分钟扳回一城，巴内加传球，萨拉维亚右路禁区前抽射打在朗格莱头上偏转入左上角，1-3
80'GOOOOOOOOOAL！！！3-1！！特尔施特根甚至没有反应！                   79'塞维利亚第79分钟扳回一城，巴内加传球，萨拉维亚右路禁区前抽射打在朗格莱头上偏转入左上角，1-3
81'萨拉维亚精彩的弧线球破门！塞维利亚1比3扳回一球！                   79'塞维利亚第79分钟扳回一城，巴内加传球，萨拉维亚右路禁区前抽射打在朗格莱头上偏转入左上角，1-3
81'巴塞罗那中场开球！                   79'塞维利亚第79分钟扳回一城，巴内加传球，萨拉维亚右路禁区前抽射打在朗格莱头上偏转入左上角，1-3
82'巴塞罗那先进行个换人，19-穆尼尔换下9-苏亚雷斯！                   79'塞维利亚第79分钟扳回一城，巴内加传球，萨拉维亚右路禁区前抽射打在朗格莱头上偏转入左上角，1-3
82'库蒂尼奥右路带球推进！                   79'塞维利亚第79分钟扳回一城，巴内加传球，萨拉维亚右路禁区前抽射打在朗格莱头上偏转入左上角，1-3
82'库蒂尼奥起球挑传！                   79'塞维利亚第79分钟扳回一城，巴内加传球，萨拉维亚右路禁区前抽射打在朗格莱头上偏转入左上角，1-3
82'皮球击中塞尔希-戈麦斯手臂了！                   79'塞维利亚第79分钟扳回一城，巴内加传球，萨拉维亚右路禁区前抽射打在朗格莱头上偏转入左上角，1-3
82'巴塞罗那前场右侧定位球！                   79'塞维利亚第79分钟扳回一城，巴内加传球，萨拉维亚右路禁区前抽射打在朗格莱头上偏转入左上角，1-3
86'起脚抽射打门！！                   86'第86分钟，萨拉维亚禁区边缘内劲射被特尔施特根扑出，梅萨小禁区右侧补射又被神勇扑出
86'皮球打飞出了横梁！球门球！                   86'第86分钟，萨拉维亚禁区边缘内劲射被特尔施特根扑出，梅萨小禁区右侧补射又被神勇扑出
86'特尔施特根大脚开球给到中场！                   86'第86分钟，萨拉维亚禁区边缘内劲射被特尔施特根扑出，梅萨小禁区右侧补射又被神勇扑出
86'双方争顶！！                   86'第86分钟，萨拉维亚禁区边缘内劲射被特尔施特根扑出，梅萨小禁区右侧补射又被神勇扑出
