1'上半场比赛开始！！                   1'第1分钟主队优势明显，第2分钟帕托左路任意球直接射门稍稍偏出
1'白衣白裤的权健，从右向左进攻！！                   1'第1分钟主队优势明显，第2分钟帕托左路任意球直接射门稍稍偏出
1'糜昊伦左路拿球，过顶球找队友，出界了！！                   1'第1分钟主队优势明显，第2分钟帕托左路任意球直接射门稍稍偏出
2'裴帅中场拿球，分球给你倒赵旭日                   1'第1分钟主队优势明显，第2分钟帕托左路任意球直接射门稍稍偏出
2'给到赵旭日！！                   1'第1分钟主队优势明显，第2分钟帕托左路任意球直接射门稍稍偏出
2'赵旭日再找前插的帕托                   1'第1分钟主队优势明显，第2分钟帕托左路任意球直接射门稍稍偏出
2'帕托拿球强突，孙世林回防将球破坏！！                   1'第1分钟主队优势明显，第2分钟帕托左路任意球直接射门稍稍偏出
2'裴帅前场抢断孙世林，准备反击                   1'第1分钟主队优势明显，第2分钟帕托左路任意球直接射门稍稍偏出
2'内切被回防的金基熙从身后绊倒在地                   1'第1分钟主队优势明显，第2分钟帕托左路任意球直接射门稍稍偏出
3'权健获得前场中路，大禁区左上角的任意球机会！                   1'第1分钟主队优势明显，第2分钟帕托左路任意球直接射门稍稍偏出
3'帕托准备主罚！                   1'第1分钟主队优势明显，第2分钟帕托左路任意球直接射门稍稍偏出
3'帕托弧线球直接打门，打偏了！！                   1'第1分钟主队优势明显，第2分钟帕托左路任意球直接射门稍稍偏出
4'曹赟定中场拿球，面对逼抢，回传后场                   1'第1分钟主队优势明显，第2分钟帕托左路任意球直接射门稍稍偏出
4'李运秋后场拿球，过顶给到吕品                   1'第1分钟主队优势明显，第2分钟帕托左路任意球直接射门稍稍偏出
16'特维斯中场拿球，强突被赵旭日回防破坏                   16'第16分钟曹赟定左路带开张诚防守后传中，莫雷诺头球没顶上力量，但他却和权敬源头撞头，两人同时倒地，好在缓和过来后都无甚大碍
17'李运秋右侧界外球，给到莫雷诺                   16'第16分钟曹赟定左路带开张诚防守后传中，莫雷诺头球没顶上力量，但他却和权敬源头撞头，两人同时倒地，好在缓和过来后都无甚大碍
17'莫雷诺背身拿球，转身横传给特维斯                   16'第16分钟曹赟定左路带开张诚防守后传中，莫雷诺头球没顶上力量，但他却和权敬源头撞头，两人同时倒地，好在缓和过来后都无甚大碍
17'特维斯再给左侧的曹赟定                   16'第16分钟曹赟定左路带开张诚防守后传中，莫雷诺头球没顶上力量，但他却和权敬源头撞头，两人同时倒地，好在缓和过来后都无甚大碍
17'曹赟定强突禁区，挑传到后点                   16'第16分钟曹赟定左路带开张诚防守后传中，莫雷诺头球没顶上力量，但他却和权敬源头撞头，两人同时倒地，好在缓和过来后都无甚大碍
18'莫雷诺力压糜昊伦头球轰门！！                   16'第16分钟曹赟定左路带开张诚防守后传中，莫雷诺头球没顶上力量，但他却和权敬源头撞头，两人同时倒地，好在缓和过来后都无甚大碍
18'裁判鸣哨，莫雷诺的进攻犯规！                   16'第16分钟曹赟定左路带开张诚防守后传中，莫雷诺头球没顶上力量，但他却和权敬源头撞头，两人同时倒地，好在缓和过来后都无甚大碍
18'莫雷诺争抢头球直接顶在了糜昊伦的后脑勺，疼啊！                   16'第16分钟曹赟定左路带开张诚防守后传中，莫雷诺头球没顶上力量，但他却和权敬源头撞头，两人同时倒地，好在缓和过来后都无甚大碍
19'帕托前场拿球，强突分球左侧的给孙可                   16'第16分钟曹赟定左路带开张诚防守后传中，莫雷诺头球没顶上力量，但他却和权敬源头撞头，两人同时倒地，好在缓和过来后都无甚大碍
19'孙可再给糜昊伦，糜昊伦过顶长传打身后                   16'第16分钟曹赟定左路带开张诚防守后传中，莫雷诺头球没顶上力量，但他却和权敬源头撞头，两人同时倒地，好在缓和过来后都无甚大碍
19'王永珀前插慢了点，球先出了底线！！                   16'第16分钟曹赟定左路带开张诚防守后传中，莫雷诺头球没顶上力量，但他却和权敬源头撞头，两人同时倒地，好在缓和过来后都无甚大碍
19'帕托向裁判投诉孙世林的犯规，裁判示意有利原则，不吹合力！                   16'第16分钟曹赟定左路带开张诚防守后传中，莫雷诺头球没顶上力量，但他却和权敬源头撞头，两人同时倒地，好在缓和过来后都无甚大碍
19'合理！！                   16'第16分钟曹赟定左路带开张诚防守后传中，莫雷诺头球没顶上力量，但他却和权敬源头撞头，两人同时倒地，好在缓和过来后都无甚大碍
25'这是赵旭日本赛季打进的第一球！！                   25'主队继续强攻，第25分钟裴帅禁区外左侧怒射稍稍偏出
26'申花换人：7号毛剑卿上，换下35号吕品！！！                   25'主队继续强攻，第25分钟裴帅禁区外左侧怒射稍稍偏出
26'王永珀前场拿球，直塞给前插的张诚                   25'主队继续强攻，第25分钟裴帅禁区外左侧怒射稍稍偏出
26'张诚强突下底，传中到后点！！                   25'主队继续强攻，第25分钟裴帅禁区外左侧怒射稍稍偏出
26'裴帅拿球，内切后起脚打门，打偏！！                   25'主队继续强攻，第25分钟裴帅禁区外左侧怒射稍稍偏出
27'孙世林后场的长传球到前场左路                   25'主队继续强攻，第25分钟裴帅禁区外左侧怒射稍稍偏出
27'刘奕鸣回防，头球解围出边线！！                   25'主队继续强攻，第25分钟裴帅禁区外左侧怒射稍稍偏出
28'特维斯前场中路拿球，强突后起脚远射                   25'主队继续强攻，第25分钟裴帅禁区外左侧怒射稍稍偏出
28'张鹭侧扑，将球打出底线，角球！！                   25'主队继续强攻，第25分钟裴帅禁区外左侧怒射稍稍偏出
28'申花获得右侧角球，曹赟定主罚！                   25'主队继续强攻，第25分钟裴帅禁区外左侧怒射稍稍偏出
31'曹赟定右路拿球，面对逼抢，回带到后场                   31'第31分钟天津队再次取得进球，三名国内队员打出配合，裴帅左路送球，孙可得球下底传中，无人看守的赵旭日禁区内得球抽射，此球打的角度极佳，李帅扑救不及，2比0，天津队扩大比分
31'回传李运秋，李运秋再给毛剑卿                   31'第31分钟天津队再次取得进球，三名国内队员打出配合，裴帅左路送球，孙可得球下底传中，无人看守的赵旭日禁区内得球抽射，此球打的角度极佳，李帅扑救不及，2比0，天津队扩大比分
