8'刘宇断球，直传，冯潇霆对吉利奥蒂犯规                   8'第8分钟，王栋右侧任意球大力扫传门前，吉利奥蒂禁区中路前冲垫射打偏
8'吉利奥蒂的支点作用还是很明显                   8'第8分钟，王栋右侧任意球大力扫传门前，吉利奥蒂禁区中路前冲垫射打偏
8'王栋任意球大力抽向禁区，吉利奥蒂点球点附近铲射，球稍稍偏出左立柱                   8'第8分钟，王栋右侧任意球大力扫传门前，吉利奥蒂禁区中路前冲垫射打偏
9'力帆也有一次有威胁的射门                   8'第8分钟，王栋右侧任意球大力扫传门前，吉利奥蒂禁区中路前冲垫射打偏
9'陈雷左侧掷界外球                   8'第8分钟，王栋右侧任意球大力扫传门前，吉利奥蒂禁区中路前冲垫射打偏
9'恒大淘宝的断球，郑智交给了邹正                   8'第8分钟，王栋右侧任意球大力扫传门前，吉利奥蒂禁区中路前冲垫射打偏
9'于汉超接应内切，回传给黄博文                   8'第8分钟，王栋右侧任意球大力扫传门前，吉利奥蒂禁区中路前冲垫射打偏
9'黄博文转移球被陈雷顶一下，郜林回传                   8'第8分钟，王栋右侧任意球大力扫传门前，吉利奥蒂禁区中路前冲垫射打偏
10'郑智停球大了，再上抢时对张晓彬犯规                   8'第8分钟，王栋右侧任意球大力扫传门前，吉利奥蒂禁区中路前冲垫射打偏
10'莱伊尔长传上来，王上源顶到第一点                   8'第8分钟，王栋右侧任意球大力扫传门前，吉利奥蒂禁区中路前冲垫射打偏
10'高拉特中路直传，郜林加速晃过了出击的隋维杰再往里突被阿杜阿铲出边线                   8'第8分钟，王栋右侧任意球大力扫传门前，吉利奥蒂禁区中路前冲垫射打偏
11'黄博文分边左路的于汉超                   8'第8分钟，王栋右侧任意球大力扫传门前，吉利奥蒂禁区中路前冲垫射打偏
11'于汉超横拔，郑智再分给右路的王上源                   8'第8分钟，王栋右侧任意球大力扫传门前，吉利奥蒂禁区中路前冲垫射打偏
11'王上源下底，费尔南多合理冲撞挤开了王上源将球踢出底线                   8'第8分钟，王栋右侧任意球大力扫传门前，吉利奥蒂禁区中路前冲垫射打偏
14'梅方右路长传，力量给太大了，球直接出了底线                   14'第14分钟，恒大通过快速防转攻取得入球——高拉特在中路送出巧妙塞球，于汉超斜插入禁区面对隋维杰低射攻破球门下角
14'王上源压上很大                   14'第14分钟，恒大通过快速防转攻取得入球——高拉特在中路送出巧妙塞球，于汉超斜插入禁区面对隋维杰低射攻破球门下角
14'看隋维杰开门球效果如何                   14'第14分钟，恒大通过快速防转攻取得入球——高拉特在中路送出巧妙塞球，于汉超斜插入禁区面对隋维杰低射攻破球门下角
14'这是没有开出边线了，王栋控球，过了一人传丢了                   14'第14分钟，恒大通过快速防转攻取得入球——高拉特在中路送出巧妙塞球，于汉超斜插入禁区面对隋维杰低射攻破球门下角
15'恒大淘宝反击，于汉超先开纪录！                   14'第14分钟，恒大通过快速防转攻取得入球——高拉特在中路送出巧妙塞球，于汉超斜插入禁区面对隋维杰低射攻破球门下角
15'高拉特中路带球，一扣再外脚背送出直传，于汉超斜插上来停球面对出击的门将打球门左下角球进！                   14'第14分钟，恒大通过快速防转攻取得入球——高拉特在中路送出巧妙塞球，于汉超斜插入禁区面对隋维杰低射攻破球门下角
16'陈雷左路压过半场，交给了张晓彬，张晓彬再转移，球出了边线                   14'第14分钟，恒大通过快速防转攻取得入球——高拉特在中路送出巧妙塞球，于汉超斜插入禁区面对隋维杰低射攻破球门下角
16'邹正大脚开到中场，隋东陆顶给刘宇                   14'第14分钟，恒大通过快速防转攻取得入球——高拉特在中路送出巧妙塞球，于汉超斜插入禁区面对隋维杰低射攻破球门下角
16'刘宇长传上来被梅方解围                   14'第14分钟，恒大通过快速防转攻取得入球——高拉特在中路送出巧妙塞球，于汉超斜插入禁区面对隋维杰低射攻破球门下角
17'中场的争夺，王栋控球交给莱伊尔                   14'第14分钟，恒大通过快速防转攻取得入球——高拉特在中路送出巧妙塞球，于汉超斜插入禁区面对隋维杰低射攻破球门下角
17'费尔南多来到右路拿球                   14'第14分钟，恒大通过快速防转攻取得入球——高拉特在中路送出巧妙塞球，于汉超斜插入禁区面对隋维杰低射攻破球门下角
17'力帆在后场倒着脚                   14'第14分钟，恒大通过快速防转攻取得入球——高拉特在中路送出巧妙塞球，于汉超斜插入禁区面对隋维杰低射攻破球门下角
17'莱伊尔开大脚出了边线                   14'第14分钟，恒大通过快速防转攻取得入球——高拉特在中路送出巧妙塞球，于汉超斜插入禁区面对隋维杰低射攻破球门下角
27'费尔南多来到右路拿球，先扣过高拉特，再抢先一捅过了邹正                   26'第26分钟，费尔南多右路下底时被邹正铲倒，主裁判李俊判定力帆任意球，力帆球员因李俊未向邹正出示黄牌表示了不满
27'邹正铲球没有收住绊倒了费尔南多                   26'第26分钟，费尔南多右路下底时被邹正铲倒，主裁判李俊判定力帆任意球，力帆球员因李俊未向邹正出示黄牌表示了不满
27'力帆前场右路的任意球机会，王栋准备主罚                   26'第26分钟，费尔南多右路下底时被邹正铲倒，主裁判李俊判定力帆任意球，力帆球员因李俊未向邹正出示黄牌表示了不满
27'王栋传中被郜林顶出来                   26'第26分钟，费尔南多右路下底时被邹正铲倒，主裁判李俊判定力帆任意球，力帆球员因李俊未向邹正出示黄牌表示了不满
27'冯劲再传中也是过不了冯潇霆                   26'第26分钟，费尔南多右路下底时被邹正铲倒，主裁判李俊判定力帆任意球，力帆球员因李俊未向邹正出示黄牌表示了不满
28'郑龙左路含枚疾进，边路传中，隋维杰抢在黄博文之前将球摘下                   26'第26分钟，费尔南多右路下底时被邹正铲倒，主裁判李俊判定力帆任意球，力帆球员因李俊未向邹正出示黄牌表示了不满
28'费尔南多右路又来了，交给刘宇                   26'第26分钟，费尔南多右路下底时被邹正铲倒，主裁判李俊判定力帆任意球，力帆球员因李俊未向邹正出示黄牌表示了不满
28'费尔南多再拿球晃动被高拉特伸脚拦截一下                   26'第26分钟，费尔南多右路下底时被邹正铲倒，主裁判李俊判定力帆任意球，力帆球员因李俊未向邹正出示黄牌表示了不满
29'邹正左路的长传，过不了莱伊尔                   26'第26分钟，费尔南多右路下底时被邹正铲倒，主裁判李俊判定力帆任意球，力帆球员因李俊未向邹正出示黄牌表示了不满
29'争高点，阿杜阿压人犯规                   26'第26分钟，费尔南多右路下底时被邹正铲倒，主裁判李俊判定力帆任意球，力帆球员因李俊未向邹正出示黄牌表示了不满
38'力帆反击，王栋传中力量给大了                   38'在费尔南多带动下，力帆持续在前场酝酿攻势；而恒大在第38分钟通过后场快速前传形成反击，郑龙前插已形成单刀球，但郑龙被判定越位，慢镜头显示判罚似有争议
38'张晓彬斜长传到左路，陈雷插上慢了，球出底线                   38'在费尔南多带动下，力帆持续在前场酝酿攻势；而恒大在第38分钟通过后场快速前传形成反击，郑龙前插已形成单刀球，但郑龙被判定越位，慢镜头显示判罚似有争议
40'高拉特上抢成功，交给郜林                   38'在费尔南多带动下，力帆持续在前场酝酿攻势；而恒大在第38分钟通过后场快速前传形成反击，郑龙前插已形成单刀球，但郑龙被判定越位，慢镜头显示判罚似有争议
40'郜林交给郑智，再交给郜林                   38'在费尔南多带动下，力帆持续在前场酝酿攻势；而恒大在第38分钟通过后场快速前传形成反击，郑龙前插已形成单刀球，但郑龙被判定越位，慢镜头显示判罚似有争议
40'郜林处理球慢了被阿杜阿抢断                   38'在费尔南多带动下，力帆持续在前场酝酿攻势；而恒大在第38分钟通过后场快速前传形成反击，郑龙前插已形成单刀球，但郑龙被判定越位，慢镜头显示判罚似有争议
40'王栋长传上来，有点偏理中路，吉利奥蒂争抢犯规                   38'在费尔南多带动下，力帆持续在前场酝酿攻势；而恒大在第38分钟通过后场快速前传形成反击，郑龙前插已形成单刀球，但郑龙被判定越位，慢镜头显示判罚似有争议
