2'比安凯蒂为维罗纳赢得一个任意球.                   1'第1分钟波澜不惊，两队门将第28分钟才有首次扑救，维维亚尼远射被内托化解
2'尤文图斯球员扎乍拼抢犯规,对手获得控球权.                   1'第1分钟波澜不惊，两队门将第28分钟才有首次扑救，维维亚尼远射被内托化解
3'埃马纽尔森为维罗纳赢得一个任意球.                   1'第1分钟波澜不惊，两队门将第28分钟才有首次扑救，维维亚尼远射被内托化解
3'尤文图斯球员Juan Cuadrado拼抢犯规,对手获得控球权.                   1'第1分钟波澜不惊，两队门将第28分钟才有首次扑救，维维亚尼远射被内托化解
38'维罗纳球员托尼大禁区中央左脚射门,命中门柱左侧立柱.给他传球的是希利加尔迪.                   38'托尼第38分钟险些破门，西利亚尔迪突入禁区左侧横传，托尼在门前9米处左脚推射击中近门柱弹回
40'尤文图斯球员扎乍大禁区外左脚射门,被防守球员封堵.给他传球的是阿萨莫阿.                   38'托尼第38分钟险些破门，西利亚尔迪突入禁区左侧横传，托尼在门前9米处左脚推射击中近门柱弹回
40'尤文图斯球员Juan Cuadrado大禁区右侧尝试右脚射门,可惜皮球稍稍偏出了右球门.给他传球的是阿莱士-桑多罗.                   38'托尼第38分钟险些破门，西利亚尔迪突入禁区左侧横传，托尼在门前9米处左脚推射击中近门柱弹回
41'尤文图斯球员迪巴拉大禁区中央尝试左脚射门,可惜皮球稍稍偏出了右球门.给他传球的是扎乍.                   38'托尼第38分钟险些破门，西利亚尔迪突入禁区左侧横传，托尼在门前9米处左脚推射击中近门柱弹回
41'托尼为维罗纳在对方半场,赢得一个任意球.                   38'托尼第38分钟险些破门，西利亚尔迪突入禁区左侧横传，托尼在门前9米处左脚推射击中近门柱弹回
41'尤文图斯球员莱米纳拼抢犯规,对手获得控球权.                   38'托尼第38分钟险些破门，西利亚尔迪突入禁区左侧横传，托尼在门前9米处左脚推射击中近门柱弹回
42'点球,皮萨诺在禁区内被侵犯,维罗纳获得点球.                   42'第42分钟，维罗纳任意球长传禁区左侧，阿莱士-桑德罗头球解围没能顶出禁区，再争抢落点时碰倒皮萨诺，主裁判马雷斯卡吹罚点球
42'尤文图斯球员阿莱士-桑多罗犯规,致使对方获得点球.                   42'第42分钟，维罗纳任意球长传禁区左侧，阿莱士-桑德罗头球解围没能顶出禁区，再争抢落点时碰倒皮萨诺，主裁判马雷斯卡吹罚点球
42'黄牌！尤文图斯球员阿莱士-桑多罗因为恶意犯规,被主裁判出示黄牌.                   42'第42分钟，维罗纳任意球长传禁区左侧，阿莱士-桑德罗头球解围没能顶出禁区，再争抢落点时碰倒皮萨诺，主裁判马雷斯卡吹罚点球
43'进球啦！！！维罗纳球员托尼右脚射门,球从左下角飞进球门,球进了! 维罗纳 1-0 尤文图斯.                   42'第42分钟，维罗纳任意球长传禁区左侧，阿莱士-桑德罗头球解围没能顶出禁区，再争抢落点时碰倒皮萨诺，主裁判马雷斯卡吹罚点球
45'+1'上半场结束,维罗纳 1-0 尤文图斯,稍事休息,我们一会来看看下半场两队的表现.                   42'第42分钟，维罗纳任意球长传禁区左侧，阿莱士-桑德罗头球解围没能顶出禁区，再争抢落点时碰倒皮萨诺，主裁判马雷斯卡吹罚点球
55'进球啦！！！维罗纳球员维维安尼大禁区中央右脚射门,球从左上角飞进球门,球进了!助攻的是Artur Ionita. 维罗纳 2-0 尤文图斯.                   55'下半时开始10分钟，托尼后场转身摆脱捅传策动反击，约尼察左路外脚背传中，博努奇解围铲空，维维亚尼后点距门14米处推射入左上角，尤文0比2落后
57'维罗纳球员希利加尔迪球门线跟前右脚射门,被防守球员封堵.给他传球的是沃佐雷克.                   55'下半时开始10分钟，托尼后场转身摆脱捅传策动反击，约尼察左路外脚背传中，博努奇解围铲空，维维亚尼后点距门14米处推射入左上角，尤文0比2落后
57'维罗纳球员托尼大禁区右侧右脚射门,被防守球员封堵.                   55'下半时开始10分钟，托尼后场转身摆脱捅传策动反击，约尼察左路外脚背传中，博努奇解围铲空，维维亚尼后点距门14米处推射入左上角，尤文0比2落后
57'维罗纳球员埃马纽尔森大禁区中央尝试右脚射门,可惜皮球稍稍偏出了右球门.                   55'下半时开始10分钟，托尼后场转身摆脱捅传策动反击，约尼察左路外脚背传中，博努奇解围铲空，维维亚尼后点距门14米处推射入左上角，尤文0比2落后
58'维罗纳球员希利加尔迪拼抢犯规,对手获得控球权.                   55'下半时开始10分钟，托尼后场转身摆脱捅传策动反击，约尼察左路外脚背传中，博努奇解围铲空，维维亚尼后点距门14米处推射入左上角，尤文0比2落后
58'斯图若多为尤文图斯赢得一个任意球.                   55'下半时开始10分钟，托尼后场转身摆脱捅传策动反击，约尼察左路外脚背传中，博努奇解围铲空，维维亚尼后点距门14米处推射入左上角，尤文0比2落后
70'维罗纳球员维维安尼拼抢犯规,对手获得控球权.                   70'第70分钟，迪巴拉左路斜传，扎扎头球顶进远角，但越位在先
70'阿莱士-桑多罗为尤文图斯在左路,赢得一个任意球.                   70'第70分钟，迪巴拉左路斜传，扎扎头球顶进远角，但越位在先
70'尤文图斯球员迪巴拉一脚直塞球给扎乍,但是边裁举旗显示后者已经越位.                   70'第70分钟，迪巴拉左路斜传，扎扎头球顶进远角，但越位在先
71'尤文图斯换人,帕多因换下阿萨莫阿                   70'第70分钟，迪巴拉左路斜传，扎扎头球顶进远角，但越位在先
