3'罗马球员弗洛伦齐大禁区外右脚射门,被防守球员封堵.                   1'第1分钟，桑普前锋穆列尔打中边网
3'罗马球员弗洛伦齐一脚直塞球给萨拉赫,但是边裁举旗显示后者已经越位.                   1'第1分钟，桑普前锋穆列尔打中边网
4'德罗西为罗马赢得一个任意球.                   1'第1分钟，桑普前锋穆列尔打中边网
4'桑普多利亚球员托雷亚拼抢犯规,对手获得控球权.                   1'第1分钟，桑普前锋穆列尔打中边网
18'进球啦！！！桑普多利亚球员L-穆里尔球门右侧小角度右脚射门,球从左上角飞进球门,球进了!助攻的是雷吉尼. 罗马 1-1 桑普多利亚.                   18'桑普第18分钟追平，雷吉尼中场左脚长传防线身后，穆列尔禁区右侧直接小角度凌空抽射入远角，1比1
19'罗马球员沙拉维大禁区外右脚射门,被防守球员封堵.给他传球的是斯特罗特曼.                   18'桑普第18分钟追平，雷吉尼中场左脚长传防线身后，穆列尔禁区右侧直接小角度凌空抽射入远角，1比1
20'射门!!!桑普多利亚球员L-穆里尔大禁区右侧右脚射门,被对方守门员横身扑出.给他传球的是阿尔瓦雷斯.                   18'桑普第18分钟追平，雷吉尼中场左脚长传防线身后，穆列尔禁区右侧直接小角度凌空抽射入远角，1比1
20'斯泽斯尼将球处理出底线,桑普多利亚获得角球.                   18'桑普第18分钟追平，雷吉尼中场左脚长传防线身后，穆列尔禁区右侧直接小角度凌空抽射入远角，1比1
21'佩罗蒂为罗马赢得一个任意球.                   18'桑普第18分钟追平，雷吉尼中场左脚长传防线身后，穆列尔禁区右侧直接小角度凌空抽射入远角，1比1
21'桑普多利亚球员利内蒂拼抢犯规,对手获得控球权.                   18'桑普第18分钟追平，雷吉尼中场左脚长传防线身后，穆列尔禁区右侧直接小角度凌空抽射入远角，1比1
41'进球啦！！！桑普多利亚球员夸利亚雷拉球门线跟前右脚射门,球从中路飞进球门,球进了!助攻的是阿尔瓦雷斯. 罗马 1-2 桑普多利亚.                   41'桑普第41分钟反超
43'罗马球员马诺拉斯手球犯规,对手获得球权.                   41'桑普第41分钟反超
43'射门!!!桑普多利亚球员夸利亚雷拉大禁区中央右脚射门,被对方守门员横身扑出.给他传球的是E-巴雷托.                   41'桑普第41分钟反超
43'斯泽斯尼将球处理出底线,桑普多利亚获得角球.                   41'桑普第41分钟反超
44'桑普多利亚球员夸利亚雷拉拼抢犯规,对手获得控球权.                   41'桑普第41分钟反超
44'胡安为罗马赢得一个任意球.                   41'桑普第41分钟反超
62'桑普多利亚换人,布迪米尔换下L-穆里尔                   62'双方球员没有按时回到场内，主裁判贾科梅利考察场地后，决定下半时开球时间延后，直到当地时间17时06分，下半时终于开始，此时距离上半时结束已过去71分钟
62'桑普多利亚球员萨拉拼抢犯规,对手获得控球权.                   62'双方球员没有按时回到场内，主裁判贾科梅利考察场地后，决定下半时开球时间延后，直到当地时间17时06分，下半时终于开始，此时距离上半时结束已过去71分钟
62'Bruno Peres为罗马赢得一个任意球.                   62'双方球员没有按时回到场内，主裁判贾科梅利考察场地后，决定下半时开球时间延后，直到当地时间17时06分，下半时终于开始，此时距离上半时结束已过去71分钟
62'黄牌！桑普多利亚球员萨拉因为恶意犯规,被主裁判出示黄牌.                   62'双方球员没有按时回到场内，主裁判贾科梅利考察场地后，决定下半时开球时间延后，直到当地时间17时06分，下半时终于开始，此时距离上半时结束已过去71分钟
61'进球啦！！！罗马球员哲科大禁区中央左脚射门,球从中路飞进球门,球进了!助攻的是托蒂. 罗马 2-2 桑普多利亚.                   61'罗马第61分钟追平
62'桑普多利亚换人,布迪米尔换下L-穆里尔                   61'罗马第61分钟追平
62'桑普多利亚球员萨拉拼抢犯规,对手获得控球权.                   61'罗马第61分钟追平
62'Bruno Peres为罗马赢得一个任意球.                   61'罗马第61分钟追平
62'黄牌！桑普多利亚球员萨拉因为恶意犯规,被主裁判出示黄牌.                   61'罗马第61分钟追平
47'罗马球员弗洛伦齐一脚直塞球给萨拉赫,但是边裁举旗显示后者已经越位.                   47'补时第2分钟，哲科禁区内倒地，主裁判认定什克里尼亚尔犯规，点球
48'罗马球员纳因戈兰大禁区外尝试右脚射门,可惜皮球高出球门.                   47'补时第2分钟，哲科禁区内倒地，主裁判认定什克里尼亚尔犯规，点球
49'罗马球员Bruno Peres大禁区外尝试右脚射门,可惜皮球稍稍偏出了左球门.给他传球的是纳因戈兰.                   47'补时第2分钟，哲科禁区内倒地，主裁判认定什克里尼亚尔犯规，点球
49'桑普多利亚球员托雷亚拼抢犯规,对手获得控球权.                   47'补时第2分钟，哲科禁区内倒地，主裁判认定什克里尼亚尔犯规，点球
49'德罗西为罗马在左路,赢得一个任意球.                   47'补时第2分钟，哲科禁区内倒地，主裁判认定什克里尼亚尔犯规，点球
50'桑普多利亚球员L-穆里尔拼抢犯规,对手获得控球权.                   47'补时第2分钟，哲科禁区内倒地，主裁判认定什克里尼亚尔犯规，点球
50'Bruno Peres为罗马赢得一个任意球.                   47'补时第2分钟，哲科禁区内倒地，主裁判认定什克里尼亚尔犯规，点球
