1'比赛开始!国安队率先开球！                   1'第1分钟国安给出了前压姿态，北京体育频道表示“舜天在主场也是防守反击阵型”
1'中超历史上一共交手11次，舜天仅仅取得了两场胜利。                   1'第1分钟国安给出了前压姿态，北京体育频道表示“舜天在主场也是防守反击阵型”
2'不过两队实力十分接近，本场依旧难以预计啊。                   1'第1分钟国安给出了前压姿态，北京体育频道表示“舜天在主场也是防守反击阵型”
2'舜天今天4231的阵型，还是主守。                   1'第1分钟国安给出了前压姿态，北京体育频道表示“舜天在主场也是防守反击阵型”
3'国安拿球进攻被断球了，安塔尔拿球被费祖拉乌侵犯。                   1'第1分钟国安给出了前压姿态，北京体育频道表示“舜天在主场也是防守反击阵型”
3'刘建业在中场组织，没有机会只能回传了。                   1'第1分钟国安给出了前压姿态，北京体育频道表示“舜天在主场也是防守反击阵型”
4'舜天是一只很有韧劲的球队，很有可能一个反击就获得机会。                   1'第1分钟国安给出了前压姿态，北京体育频道表示“舜天在主场也是防守反击阵型”
4'费祖拉乌拿球被埃雷尔森铲断。                   1'第1分钟国安给出了前压姿态，北京体育频道表示“舜天在主场也是防守反击阵型”
7'舜天断球后快速反击，吴曦拿球直塞艾利亚斯！可惜又是越位了！                   7'第7分钟，张呈栋右翼突破包夹后低平球传中，禁区内包抄的费祖拉乌迎球攻门被埃雷尔森稍挡偏出底线
7'今天舜天反击打的很坚决啊，国安丝毫不能大意。                   7'第7分钟，张呈栋右翼突破包夹后低平球传中，禁区内包抄的费祖拉乌迎球攻门被埃雷尔森稍挡偏出底线
8'国安的好机会！张呈栋边路突破杀到禁区，横传费祖拉乌打门，被埃雷尔森挡出。                   7'第7分钟，张呈栋右翼突破包夹后低平球传中，禁区内包抄的费祖拉乌迎球攻门被埃雷尔森稍挡偏出底线
8'角球开出没有什么危险。                   7'第7分钟，张呈栋右翼突破包夹后低平球传中，禁区内包抄的费祖拉乌迎球攻门被埃雷尔森稍挡偏出底线
10'埃雷尔森在禁区前对德扬犯规了，任意球由张稀哲处理，被后卫顶出。                   7'第7分钟，张呈栋右翼突破包夹后低平球传中，禁区内包抄的费祖拉乌迎球攻门被埃雷尔森稍挡偏出底线
22'球进了！！！                   22'第22分钟，舜天取得入球――吴曦中路扣过徐云龙后快速前插，在其突向禁区且形成单刀势头时，补防的雷腾龙故意扛倒了吴曦，导致吴曦摔入禁区；石祯禄认定犯规地点在禁区前，舜天获得任意球，并向雷腾龙出示黄牌；就在高洪波对裁判的判罚力度表示异议后，刘建业一脚任意球攻门碰人墙后稍有折线，快速撞入了网窝，舜天1-0领先
22'吴曦进球了！！一个低平球发生折射，杨智毫无反应！                   22'第22分钟，舜天取得入球――吴曦中路扣过徐云龙后快速前插，在其突向禁区且形成单刀势头时，补防的雷腾龙故意扛倒了吴曦，导致吴曦摔入禁区；石祯禄认定犯规地点在禁区前，舜天获得任意球，并向雷腾龙出示黄牌；就在高洪波对裁判的判罚力度表示异议后，刘建业一脚任意球攻门碰人墙后稍有折线，快速撞入了网窝，舜天1-0领先
23'这个进球对于江苏来说非常重要，接下来他们会更加从容！                   22'第22分钟，舜天取得入球――吴曦中路扣过徐云龙后快速前插，在其突向禁区且形成单刀势头时，补防的雷腾龙故意扛倒了吴曦，导致吴曦摔入禁区；石祯禄认定犯规地点在禁区前，舜天获得任意球，并向雷腾龙出示黄牌；就在高洪波对裁判的判罚力度表示异议后，刘建业一脚任意球攻门碰人墙后稍有折线，快速撞入了网窝，舜天1-0领先
24'刚才对吴曦的犯规也是让雷腾龙吃到了一张黄牌。                   22'第22分钟，舜天取得入球――吴曦中路扣过徐云龙后快速前插，在其突向禁区且形成单刀势头时，补防的雷腾龙故意扛倒了吴曦，导致吴曦摔入禁区；石祯禄认定犯规地点在禁区前，舜天获得任意球，并向雷腾龙出示黄牌；就在高洪波对裁判的判罚力度表示异议后，刘建业一脚任意球攻门碰人墙后稍有折线，快速撞入了网窝，舜天1-0领先
24'现在国安不能着急啊，前面说到舜天反击很犀利的。                   22'第22分钟，舜天取得入球――吴曦中路扣过徐云龙后快速前插，在其突向禁区且形成单刀势头时，补防的雷腾龙故意扛倒了吴曦，导致吴曦摔入禁区；石祯禄认定犯规地点在禁区前，舜天获得任意球，并向雷腾龙出示黄牌；就在高洪波对裁判的判罚力度表示异议后，刘建业一脚任意球攻门碰人墙后稍有折线，快速撞入了网窝，舜天1-0领先
25'不好意思刚才球是刘建业打进的！                   22'第22分钟，舜天取得入球――吴曦中路扣过徐云龙后快速前插，在其突向禁区且形成单刀势头时，补防的雷腾龙故意扛倒了吴曦，导致吴曦摔入禁区；石祯禄认定犯规地点在禁区前，舜天获得任意球，并向雷腾龙出示黄牌；就在高洪波对裁判的判罚力度表示异议后，刘建业一脚任意球攻门碰人墙后稍有折线，快速撞入了网窝，舜天1-0领先
29'舜天领先之后持续施压，吴曦又是在禁区内获得一个好机会打门被杨智拿到了。                   29'国安此后加快冲击节奏，而舜天在第29分钟又制造威胁，艾利亚斯在国安禁区线附近反抢断球并妙传禁区右侧空档，吴曦迎上大力攻门被杨智拦截
30'国安前场的进攻出现了失误。                   29'国安此后加快冲击节奏，而舜天在第29分钟又制造威胁，艾利亚斯在国安禁区线附近反抢断球并妙传禁区右侧空档，吴曦迎上大力攻门被杨智拦截
31'今天国安的进攻全是在右路张呈栋这一侧发起的。                   29'国安此后加快冲击节奏，而舜天在第29分钟又制造威胁，艾利亚斯在国安禁区线附近反抢断球并妙传禁区右侧空档，吴曦迎上大力攻门被杨智拦截
31'国安的机会！张稀哲传中找到德扬，头球打门稍稍偏出！                   29'国安此后加快冲击节奏，而舜天在第29分钟又制造威胁，艾利亚斯在国安禁区线附近反抢断球并妙传禁区右侧空档，吴曦迎上大力攻门被杨智拦截
