1'上半场比赛开始了！                   1'全场赛前为布拉德福德球场火灾惨案默哀1分钟
1'上半场比赛由曼城中圈开球                   1'全场赛前为布拉德福德球场火灾惨案默哀1分钟
1'曼城今天身穿浅蓝色比赛服，阿斯顿维拉是白衣红裤                   1'全场赛前为布拉德福德球场火灾惨案默哀1分钟
2'曼城在中场倒脚                   1'全场赛前为布拉德福德球场火灾惨案默哀1分钟
2'曼加拉交给萨巴莱塔                   1'全场赛前为布拉德福德球场火灾惨案默哀1分钟
2'纳瓦斯接应送直传，弗拉尔将球破坏出边线                   1'全场赛前为布拉德福德球场火灾惨案默哀1分钟
3'德米凯利斯长传上来，弗拉尔顶到第一点                   1'全场赛前为布拉德福德球场火灾惨案默哀1分钟
3'不过阿奎罗也已经越位了                   1'全场赛前为布拉德福德球场火灾惨案默哀1分钟
4'古赞传球失误送大礼，阿奎罗将球打进空门！                   1'全场赛前为布拉德福德球场火灾惨案默哀1分钟
4'此时此刻值得来杯嘉士伯！                   1'全场赛前为布拉德福德球场火灾惨案默哀1分钟
27'巴库纳来一脚远射，乔哈特将球抱住                   27'维拉第27分钟错失良机，弗拉尔射门被封堵后偏转，明显处于越位位置的本特克12码处单刀射门被乔-哈特神勇救出，裁判并未作出越位判罚
30'阿斯顿维拉左路连续短传配合，但最后一传太大了，德米凯利斯将球解围到中场                   27'维拉第27分钟错失良机，弗拉尔射门被封堵后偏转，明显处于越位位置的本特克12码处单刀射门被乔-哈特神勇救出，裁判并未作出越位判罚
30'阿斯顿维拉后场倒倒脚                   27'维拉第27分钟错失良机，弗拉尔射门被封堵后偏转，明显处于越位位置的本特克12码处单刀射门被乔-哈特神勇救出，裁判并未作出越位判罚
66'克拉罗夫任意球直接破门！                   66'曼城第66分钟扩大比分，米尔纳左路25码处任意球假射令维拉门墙松散，科拉罗夫直接射门划出弧线入左下角，2-0
66'此时此刻值得来杯嘉士伯！                   66'曼城第66分钟扩大比分，米尔纳左路25码处任意球假射令维拉门墙松散，科拉罗夫直接射门划出弧线入左下角，2-0
66'克拉罗夫任意球打门，球穿过人墙窜进球门左下角                   66'曼城第66分钟扩大比分，米尔纳左路25码处任意球假射令维拉门墙松散，科拉罗夫直接射门划出弧线入左下角，2-0
67'下半场也进行了21分钟，曼城取得了了一个比较保险的优势，2：0领先                   66'曼城第66分钟扩大比分，米尔纳左路25码处任意球假射令维拉门墙松散，科拉罗夫直接射门划出弧线入左下角，2-0
67'刚才那球是克拉罗夫本赛季第1个进球                   66'曼城第66分钟扩大比分，米尔纳左路25码处任意球假射令维拉门墙松散，科拉罗夫直接射门划出弧线入左下角，2-0
67'阿斯顿维拉换人，28号恩佐比亚替下15号韦斯特伍德                   66'曼城第66分钟扩大比分，米尔纳左路25码处任意球假射令维拉门墙松散，科拉罗夫直接射门划出弧线入左下角，2-0
68'克莱维利扳回一球！！                   66'曼城第66分钟扩大比分，米尔纳左路25码处任意球假射令维拉门墙松散，科拉罗夫直接射门划出弧线入左下角，2-0
68'维拉左路的任意球，费尔南迪尼奥头球解围不远，克莱维利迎球努射球进！                   66'曼城第66分钟扩大比分，米尔纳左路25码处任意球假射令维拉门墙松散，科拉罗夫直接射门划出弧线入左下角，2-0
68'此时此刻值得来杯嘉士伯！                   66'曼城第66分钟扩大比分，米尔纳左路25码处任意球假射令维拉门墙松散，科拉罗夫直接射门划出弧线入左下角，2-0
69'这样，比分又接近了，比赛将进入最后双方咬牙坚持的时间                   66'曼城第66分钟扩大比分，米尔纳左路25码处任意球假射令维拉门墙松散，科拉罗夫直接射门划出弧线入左下角，2-0
85'乔哈特大脚往前开，博尼越位了                   85'维拉第85分钟扳平，乔-哈特扑出角球，无人防守的桑切斯12码处凌空垫射入网，2-2
85'巴库纳大举压上，与恩佐比亚配合后传中打在克拉罗夫身上出底线                   85'维拉第85分钟扳平，乔-哈特扑出角球，无人防守的桑切斯12码处凌空垫射入网，2-2
85'恩佐比亚角球发到门前                   85'维拉第85分钟扳平，乔-哈特扑出角球，无人防守的桑切斯12码处凌空垫射入网，2-2
85'桑切斯打进扳平一球！！                   85'维拉第85分钟扳平，乔-哈特扑出角球，无人防守的桑切斯12码处凌空垫射入网，2-2
87'角球发到门前，弗拉尔与费尔南迪尼奥争顶，形成了回传，桑切斯点球点附近脚弓一端将球打进                   85'维拉第85分钟扳平，乔-哈特扑出角球，无人防守的桑切斯12码处凌空垫射入网，2-2
87'此时此刻值得来杯嘉士伯！                   85'维拉第85分钟扳平，乔-哈特扑出角球，无人防守的桑切斯12码处凌空垫射入网，2-2
87'阿斯顿维拉还有机会，2打2的机会                   85'维拉第85分钟扳平，乔-哈特扑出角球，无人防守的桑切斯12码处凌空垫射入网，2-2
88'恩佐比亚中路断球带到左路斜传，本特克停球后被乔哈特绊倒                   85'维拉第85分钟扳平，乔-哈特扑出角球，无人防守的桑切斯12码处凌空垫射入网，2-2
88'但裁判认为这个球本特克越位                   85'维拉第85分钟扳平，乔-哈特扑出角球，无人防守的桑切斯12码处凌空垫射入网，2-2
88'慢镜来看本特克并没有越位                   85'维拉第85分钟扳平，乔-哈特扑出角球，无人防守的桑切斯12码处凌空垫射入网，2-2
