2'阿圭罗中场带球往前走                   2'第2分钟，前阿森纳边卫詹金森失误，阿圭罗禁区前射门偏转后被阿德里安扑出
2'禁区外围的远射被阿德里安扑出底线                   2'第2分钟，前阿森纳边卫詹金森失误，阿圭罗禁区前射门偏转后被阿德里安扑出
2'曼城角球开出                   2'第2分钟，前阿森纳边卫詹金森失误，阿圭罗禁区前射门偏转后被阿德里安扑出
2'中路被雷德头球顶出                   2'第2分钟，前阿森纳边卫詹金森失误，阿圭罗禁区前射门偏转后被阿德里安扑出
3'西汉姆联前场传球被断                   2'第2分钟，前阿森纳边卫詹金森失误，阿圭罗禁区前射门偏转后被阿德里安扑出
3'曼城的反击机会                   2'第2分钟，前阿森纳边卫詹金森失误，阿圭罗禁区前射门偏转后被阿德里安扑出
3'将球分到左路，席尔瓦将球回敲                   2'第2分钟，前阿森纳边卫詹金森失误，阿圭罗禁区前射门偏转后被阿德里安扑出
3'曼城左路起球送前点                   2'第2分钟，前阿森纳边卫詹金森失误，阿圭罗禁区前射门偏转后被阿德里安扑出
3'这球被顶了出来                   2'第2分钟，前阿森纳边卫詹金森失误，阿圭罗禁区前射门偏转后被阿德里安扑出
4'席尔瓦前场断球干扰了一下对方                   2'第2分钟，前阿森纳边卫詹金森失误，阿圭罗禁区前射门偏转后被阿德里安扑出
4'唐宁中场拿球被哲科放倒                   2'第2分钟，前阿森纳边卫詹金森失误，阿圭罗禁区前射门偏转后被阿德里安扑出
5'西汉姆联任意球送禁区内                   2'第2分钟，前阿森纳边卫詹金森失误，阿圭罗禁区前射门偏转后被阿德里安扑出
5'锋线队友争抢的时候先越位了                   2'第2分钟，前阿森纳边卫詹金森失误，阿圭罗禁区前射门偏转后被阿德里安扑出
5'阿圭罗前场带球到禁区前沿，诺贝尔侧后方铲球犯规                   2'第2分钟，前阿森纳边卫詹金森失误，阿圭罗禁区前射门偏转后被阿德里安扑出
5'这球虽然先铲到球了，但裁判还是判罚的挺严的                   2'第2分钟，前阿森纳边卫詹金森失误，阿圭罗禁区前射门偏转后被阿德里安扑出
8'曼城右路任意球由纳瓦斯主罚                   8'第8分钟，阿马尔菲塔诺边路铲倒纳瓦斯被罚黄牌，纳瓦斯右路任意球传中，孔帕尼8码处头球攻门高出
8'任意球送中路，孔帕尼头球顶高了                   8'第8分钟，阿马尔菲塔诺边路铲倒纳瓦斯被罚黄牌，纳瓦斯右路任意球传中，孔帕尼8码处头球攻门高出
8'西汉姆联左路传球送禁区内                   8'第8分钟，阿马尔菲塔诺边路铲倒纳瓦斯被罚黄牌，纳瓦斯右路任意球传中，孔帕尼8码处头球攻门高出
9'曼加拉解围险些自摆乌龙                   8'第8分钟，阿马尔菲塔诺边路铲倒纳瓦斯被罚黄牌，纳瓦斯右路任意球传中，孔帕尼8码处头球攻门高出
9'这球还是被乔-哈特托出横梁                   8'第8分钟，阿马尔菲塔诺边路铲倒纳瓦斯被罚黄牌，纳瓦斯右路任意球传中，孔帕尼8码处头球攻门高出
9'西汉姆联角球送后点                   8'第8分钟，阿马尔菲塔诺边路铲倒纳瓦斯被罚黄牌，纳瓦斯右路任意球传中，孔帕尼8码处头球攻门高出
9'恩纳-瓦伦西亚争抢头球的时候先犯规了                   8'第8分钟，阿马尔菲塔诺边路铲倒纳瓦斯被罚黄牌，纳瓦斯右路任意球传中，孔帕尼8码处头球攻门高出
11'曼城左路低平球送禁区内                   8'第8分钟，阿马尔菲塔诺边路铲倒纳瓦斯被罚黄牌，纳瓦斯右路任意球传中，孔帕尼8码处头球攻门高出
11'哲科启动的时候稍稍快了点                   8'第8分钟，阿马尔菲塔诺边路铲倒纳瓦斯被罚黄牌，纳瓦斯右路任意球传中，孔帕尼8码处头球攻门高出
19'阿圭罗禁区内连续的晃动被宋回防断掉                   19'第19分钟，萨科接任意球头球摆渡，瓦伦西亚近距离单刀捅射被乔-哈特出击挡出
19'西汉姆联中场任意球送禁区内                   19'第19分钟，萨科接任意球头球摆渡，瓦伦西亚近距离单刀捅射被乔-哈特出击挡出
19'萨科头球摆渡下来                   19'第19分钟，萨科接任意球头球摆渡，瓦伦西亚近距离单刀捅射被乔-哈特出击挡出
20'恩纳-瓦伦西亚插上后抢点打门被碰了一下                   19'第19分钟，萨科接任意球头球摆渡，瓦伦西亚近距离单刀捅射被乔-哈特出击挡出
20'这下恩纳-瓦伦西亚也是没有刹住车也是重重的撞在了乔-哈特身上                   19'第19分钟，萨科接任意球头球摆渡，瓦伦西亚近距离单刀捅射被乔-哈特出击挡出
20'乔-哈特这下也是一下没有起来                   19'第19分钟，萨科接任意球头球摆渡，瓦伦西亚近距离单刀捅射被乔-哈特出击挡出
21'经过队医的检查，乔-哈特问题不大                   19'第19分钟，萨科接任意球头球摆渡，瓦伦西亚近距离单刀捅射被乔-哈特出击挡出
21'而恩纳-瓦伦西亚抢点的时候似乎是先越位了                   19'第19分钟，萨科接任意球头球摆渡，瓦伦西亚近距离单刀捅射被乔-哈特出击挡出
21'西汉姆联进球了！！                   19'第19分钟，萨科接任意球头球摆渡，瓦伦西亚近距离单刀捅射被乔-哈特出击挡出
22'阿玛尔菲塔诺！！                   19'第19分钟，萨科接任意球头球摆渡，瓦伦西亚近距离单刀捅射被乔-哈特出击挡出
26'詹金森斜向转移没有过顶                   25'第25分钟，纳瓦斯开出角球，哲科前点射门稍稍高出
27'亚亚-图雷中场拿球给到边路                   25'第25分钟，纳瓦斯开出角球，哲科前点射门稍稍高出
28'席尔瓦禁区内拿球形成机会                   25'第25分钟，纳瓦斯开出角球，哲科前点射门稍稍高出
28'可惜最后一步带球稍稍大了一点点                   25'第25分钟，纳瓦斯开出角球，哲科前点射门稍稍高出
28'席尔瓦也是错过了一次绝佳的破门机会                   25'第25分钟，纳瓦斯开出角球，哲科前点射门稍稍高出
28'西汉姆联右路起球送禁区内                   25'第25分钟，纳瓦斯开出角球，哲科前点射门稍稍高出
33'曼城前场连续一脚传递                   32'第32分钟，亚亚-图雷传球，阿圭罗禁区前射门偏出
33'阿奎罗禁区外围远射将球打偏                   32'第32分钟，亚亚-图雷传球，阿圭罗禁区前射门偏出
35'西汉姆联今天打得非常有侵略性                   32'第32分钟，亚亚-图雷传球，阿圭罗禁区前射门偏出
42'纳瓦斯头球顶了一下                   42'第42分钟，瓦伦西亚强突禁区边缘的射门偏出
42'这球没有跟阿圭罗形成默契                   42'第42分钟，瓦伦西亚强突禁区边缘的射门偏出
44'西汉姆中场控球，诺贝尔将球转移                   42'第42分钟，瓦伦西亚强突禁区边缘的射门偏出
44'前场中路在分边稍稍小了                   42'第42分钟，瓦伦西亚强突禁区边缘的射门偏出
45'恩纳-瓦伦西亚左路拿球被孔帕尼铲倒                   42'第42分钟，瓦伦西亚强突禁区边缘的射门偏出
45'孔帕尼得到一张黄牌！                   42'第42分钟，瓦伦西亚强突禁区边缘的射门偏出
47'曼城现在联赛中几连胜？[qiangda]                   47'第47分钟，亚历山大-宋手球犯规被罚黄牌
48'席尔瓦拿球送直塞到禁区内                   47'第47分钟，亚历山大-宋手球犯规被罚黄牌
48'纳瓦斯禁区内拿球被包夹                   47'第47分钟，亚历山大-宋手球犯规被罚黄牌
48'底线附近阿圭罗横敲被阿德里安用腿挡出                   47'第47分钟，亚历山大-宋手球犯规被罚黄牌
48'曼城获得角球机会                   47'第47分钟，亚历山大-宋手球犯规被罚黄牌
49'角球送后点威胁不大                   47'第47分钟，亚历山大-宋手球犯规被罚黄牌
49'曼城右路再起送禁区内                   47'第47分钟，亚历山大-宋手球犯规被罚黄牌
49'阿德里安将球摘得                   47'第47分钟，亚历山大-宋手球犯规被罚黄牌
47'西汉姆联左路起球送后点                   47'第47分钟，亚历山大-宋手球犯规被罚黄牌
47'萨巴莱塔头球解围出来                   47'第47分钟，亚历山大-宋手球犯规被罚黄牌
48'宋前场禁区前沿脚底打滑用手抱住了球                   47'第47分钟，亚历山大-宋手球犯规被罚黄牌
49'宋倒地后被对方带了一下头                   47'第47分钟，亚历山大-宋手球犯规被罚黄牌
49'裁判给了宋一张黄牌！                   47'第47分钟，亚历山大-宋手球犯规被罚黄牌
49'纳瓦斯今天在右路也是没有找到太多的机会                   47'第47分钟，亚历山大-宋手球犯规被罚黄牌
49'克里希转移的时候失误了                   47'第47分钟，亚历山大-宋手球犯规被罚黄牌
50'纳瓦斯右路拿球传中被阿玛尔菲塔诺挡出底线                   47'第47分钟，亚历山大-宋手球犯规被罚黄牌
50'曼城战术角球开出                   47'第47分钟，亚历山大-宋手球犯规被罚黄牌
50'禁区内，萨科将球断掉                   47'第47分钟，亚历山大-宋手球犯规被罚黄牌
50'萨科想找瓦伦西亚                   47'第47分钟，亚历山大-宋手球犯规被罚黄牌
50'这球是没有传好                   47'第47分钟，亚历山大-宋手球犯规被罚黄牌
58'曼城这边要准备换人调整                   58'第58分钟，诺布尔传球，萨科禁区右侧倚住克里希的凌空垫射高出
58'哲科有可能被换下                   58'第58分钟，诺布尔传球，萨科禁区右侧倚住克里希的凌空垫射高出
59'西汉姆左路起球送后点                   58'第58分钟，诺布尔传球，萨科禁区右侧倚住克里希的凌空垫射高出
