1'上半场比赛开始了！                   1'弗雷泽第1分钟右路传中，路易斯解围险些自摆乌龙，库尔图瓦及时扑出
1'丹尼尔斯右路传中，路易斯解围踢嗤了                   1'弗雷泽第1分钟右路传中，路易斯解围险些自摆乌龙，库尔图瓦及时扑出
1'踢向了本方大门，库尔图瓦将球扑出底线                   1'弗雷泽第1分钟右路传中，路易斯解围险些自摆乌龙，库尔图瓦及时扑出
1'伯恩茅斯的角球，没有太大的威胁                   1'弗雷泽第1分钟右路传中，路易斯解围险些自摆乌龙，库尔图瓦及时扑出
3'今天早场的比赛，热刺再取三分，与切尔西的差距已经缩小到4分                   1'弗雷泽第1分钟右路传中，路易斯解围险些自摆乌龙，库尔图瓦及时扑出
3'切尔西也是感受到压力                   1'弗雷泽第1分钟右路传中，路易斯解围险些自摆乌龙，库尔图瓦及时扑出
3'路易斯交给阿斯皮利奎塔，回传给马蒂奇                   1'弗雷泽第1分钟右路传中，路易斯解围险些自摆乌龙，库尔图瓦及时扑出
4'切尔西左路的小配合                   1'弗雷泽第1分钟右路传中，路易斯解围险些自摆乌龙，库尔图瓦及时扑出
17'晃开空间远射，可惜打嗤了                   17'切尔西第17分钟取得领先，摩西切入禁区右侧低传，科斯塔拉球转身后12码处左脚抽射，皮球打中亚当-史密斯偏转入左下角
17'阿斯皮利奎塔交给马蒂奇                   17'切尔西第17分钟取得领先，摩西切入禁区右侧低传，科斯塔拉球转身后12码处左脚抽射，皮球打中亚当-史密斯偏转入左下角
17'回传给坎特，转移给卡希尔                   17'切尔西第17分钟取得领先，摩西切入禁区右侧低传，科斯塔拉球转身后12码处左脚抽射，皮球打中亚当-史密斯偏转入左下角
17'回给路易斯，长传找到了摩西                   17'切尔西第17分钟取得领先，摩西切入禁区右侧低传，科斯塔拉球转身后12码处左脚抽射，皮球打中亚当-史密斯偏转入左下角
18'带球进了禁区，科斯塔，左脚打门打中了后卫r后卫折射入网！                   17'切尔西第17分钟取得领先，摩西切入禁区右侧低传，科斯塔拉球转身后12码处左脚抽射，皮球打中亚当-史密斯偏转入左下角
