2'赵宏略被对方犯规了                   2'比赛开始第2分钟，雷纳迪尼奥右路分球，唐淼得球被逼抢被解围出底线
3'雷纳迪尼奥右路分球                   2'比赛开始第2分钟，雷纳迪尼奥右路分球，唐淼得球被逼抢被解围出底线
3'唐鑫得球被逼抢，球被踢出边线                   2'比赛开始第2分钟，雷纳迪尼奥右路分球，唐淼得球被逼抢被解围出底线
3'雷纳迪尼奥角球开出，前点的争抢被顶出禁区                   2'比赛开始第2分钟，雷纳迪尼奥右路分球，唐淼得球被逼抢被解围出底线
4'外围唐鑫上前逼抢，被吹了犯规                   2'比赛开始第2分钟，雷纳迪尼奥右路分球，唐淼得球被逼抢被解围出底线
4'哦，不对，是唐淼哈                   2'比赛开始第2分钟，雷纳迪尼奥右路分球，唐淼得球被逼抢被解围出底线
4'阿奇姆彭左路低平球给到禁区                   2'比赛开始第2分钟，雷纳迪尼奥右路分球，唐淼得球被逼抢被解围出底线
5'中路的李源一停球要打，可惜停大了                   2'比赛开始第2分钟，雷纳迪尼奥右路分球，唐淼得球被逼抢被解围出底线
5'白岳峰战术犯规，吃到了一张黄牌                   2'比赛开始第2分钟，雷纳迪尼奥右路分球，唐淼得球被逼抢被解围出底线
4'外围唐鑫上前逼抢，被吹了犯规                   4'第4分钟，陈志钊中线得球起速突破时被白岳峰从身后放倒，主裁判向白岳峰出示了一张黄牌
4'哦，不对，是唐淼哈                   4'第4分钟，陈志钊中线得球起速突破时被白岳峰从身后放倒，主裁判向白岳峰出示了一张黄牌
4'阿奇姆彭左路低平球给到禁区                   4'第4分钟，陈志钊中线得球起速突破时被白岳峰从身后放倒，主裁判向白岳峰出示了一张黄牌
5'中路的李源一停球要打，可惜停大了                   4'第4分钟，陈志钊中线得球起速突破时被白岳峰从身后放倒，主裁判向白岳峰出示了一张黄牌
5'白岳峰战术犯规，吃到了一张黄牌                   4'第4分钟，陈志钊中线得球起速突破时被白岳峰从身后放倒，主裁判向白岳峰出示了一张黄牌
6'雷纳迪尼奥右路带球，想要摆脱                   4'第4分钟，陈志钊中线得球起速突破时被白岳峰从身后放倒，主裁判向白岳峰出示了一张黄牌
6'被巴斯蒂纳斯识破了，断掉                   4'第4分钟，陈志钊中线得球起速突破时被白岳峰从身后放倒，主裁判向白岳峰出示了一张黄牌
7'惠家康前场左侧拨开角度，一记穿云箭射出                   4'第4分钟，陈志钊中线得球起速突破时被白岳峰从身后放倒，主裁判向白岳峰出示了一张黄牌
7'程月磊飞身扑救，指点碰到一点，点出了底线                   4'第4分钟，陈志钊中线得球起速突破时被白岳峰从身后放倒，主裁判向白岳峰出示了一张黄牌
7'惠家康前场左侧拨开角度，一记穿云箭射出                   7'第7分钟，雷纳尔迪尼奥后场长传将球交给扎哈维，后者直接斜推泰达防线身后，陈志钊迅速插上得球单刀突入禁区，晃开出击的杜佳，推射空门得手
7'程月磊飞身扑救，指点碰到一点，点出了底线                   7'第7分钟，雷纳尔迪尼奥后场长传将球交给扎哈维，后者直接斜推泰达防线身后，陈志钊迅速插上得球单刀突入禁区，晃开出击的杜佳，推射空门得手
8'左侧角球开出来，中路的程月磊单拳打出来                   7'第7分钟，雷纳尔迪尼奥后场长传将球交给扎哈维，后者直接斜推泰达防线身后，陈志钊迅速插上得球单刀突入禁区，晃开出击的杜佳，推射空门得手
8'富力进球啦                   7'第7分钟，雷纳尔迪尼奥后场长传将球交给扎哈维，后者直接斜推泰达防线身后，陈志钊迅速插上得球单刀突入禁区，晃开出击的杜佳，推射空门得手
8'但是有疑问，边裁举旗了                   7'第7分钟，雷纳尔迪尼奥后场长传将球交给扎哈维，后者直接斜推泰达防线身后，陈志钊迅速插上得球单刀突入禁区，晃开出击的杜佳，推射空门得手
9'陈志钊单刀晃开门将，推射空门得手                   7'第7分钟，雷纳尔迪尼奥后场长传将球交给扎哈维，后者直接斜推泰达防线身后，陈志钊迅速插上得球单刀突入禁区，晃开出击的杜佳，推射空门得手
9'经过和视频助理裁判的沟通，确定进球有效                   7'第7分钟，雷纳尔迪尼奥后场长传将球交给扎哈维，后者直接斜推泰达防线身后，陈志钊迅速插上得球单刀突入禁区，晃开出击的杜佳，推射空门得手
9'扎哈维中场右侧送出斜传，陈志钊迅速插上得球单刀突入禁区，晃开出击的杜佳，推射空门得手                   7'第7分钟，雷纳尔迪尼奥后场长传将球交给扎哈维，后者直接斜推泰达防线身后，陈志钊迅速插上得球单刀突入禁区，晃开出击的杜佳，推射空门得手
