16'AC米兰球员康斯坦特一脚直塞球给马特里,但是边裁举旗显示后者已经越位.                   15'第15分钟，比尔萨在右路突然转身之后斜传，可惜后点的罗比尼奥没有抢到落点
17'AC米兰球员康斯坦特大禁区左侧尝试左脚射门,可惜皮球稍稍偏出了左球门.给他传球的是罗比尼奥.                   15'第15分钟，比尔萨在右路突然转身之后斜传，可惜后点的罗比尼奥没有抢到落点
46'进球啦！！！AC米兰球员比尔萨大禁区外左脚射门,球从右下角飞进球门,球进了!助攻的是罗比尼奥. AC米兰 1-0 桑普多利亚.                   46'比尔萨的努力终于在下半场收到了效果，第46分钟，康斯坦特和埃马纽尔森左路配合，罗比尼奥拿球之后冷静地回敲中路，比尔萨在门前18米处左脚低射钻进右下角，守门员无能为力
48'射门!!!AC米兰球员比尔萨大禁区外左脚射门,被对方守门员横身扑出.给他传球的是马特里.                   46'比尔萨的努力终于在下半场收到了效果，第46分钟，康斯坦特和埃马纽尔森左路配合，罗比尼奥拿球之后冷静地回敲中路，比尔萨在门前18米处左脚低射钻进右下角，守门员无能为力
49'AC米兰球员罗比尼奥球门线跟前尝试左脚射门,可惜皮球稍稍偏出了右球门.给他传球的是波利.                   46'比尔萨的努力终于在下半场收到了效果，第46分钟，康斯坦特和埃马纽尔森左路配合，罗比尼奥拿球之后冷静地回敲中路，比尔萨在门前18米处左脚低射钻进右下角，守门员无能为力
67'AC米兰换人,尼昂换下比尔萨                   67'尽管表现不错，但阿莱格里还在第67分钟早早地将比尔萨换下，一方面考虑到比尔萨的体能，另外一方面也要为下周中的欧冠比赛做准备，《全市场》赛后将比尔萨评为了最佳球员，并给了他7分：“绝对是他加盟AC米兰最好的一场比赛，在场上斯洛文尼亚人充分展现了自己良好的技术能力，为米兰全队创造了不少的机会，同时自己打入了绝杀的进球，这是很宝贵的3分
67'桑普多利亚换人,佩塔尼亚换下加比亚迪尼                   67'尽管表现不错，但阿莱格里还在第67分钟早早地将比尔萨换下，一方面考虑到比尔萨的体能，另外一方面也要为下周中的欧冠比赛做准备，《全市场》赛后将比尔萨评为了最佳球员，并给了他7分：“绝对是他加盟AC米兰最好的一场比赛，在场上斯洛文尼亚人充分展现了自己良好的技术能力，为米兰全队创造了不少的机会，同时自己打入了绝杀的进球，这是很宝贵的3分
68'AC米兰球员马特里大禁区中央右脚射门,被防守球员封堵.给他传球的是尼昂.                   67'尽管表现不错，但阿莱格里还在第67分钟早早地将比尔萨换下，一方面考虑到比尔萨的体能，另外一方面也要为下周中的欧冠比赛做准备，《全市场》赛后将比尔萨评为了最佳球员，并给了他7分：“绝对是他加盟AC米兰最好的一场比赛，在场上斯洛文尼亚人充分展现了自己良好的技术能力，为米兰全队创造了不少的机会，同时自己打入了绝杀的进球，这是很宝贵的3分
69'安德烈-科斯塔为桑普多利亚赢得一个任意球.                   67'尽管表现不错，但阿莱格里还在第67分钟早早地将比尔萨换下，一方面考虑到比尔萨的体能，另外一方面也要为下周中的欧冠比赛做准备，《全市场》赛后将比尔萨评为了最佳球员，并给了他7分：“绝对是他加盟AC米兰最好的一场比赛，在场上斯洛文尼亚人充分展现了自己良好的技术能力，为米兰全队创造了不少的机会，同时自己打入了绝杀的进球，这是很宝贵的3分
69'AC米兰球员尼昂拼抢犯规,对手获得控球权.                   67'尽管表现不错，但阿莱格里还在第67分钟早早地将比尔萨换下，一方面考虑到比尔萨的体能，另外一方面也要为下周中的欧冠比赛做准备，《全市场》赛后将比尔萨评为了最佳球员，并给了他7分：“绝对是他加盟AC米兰最好的一场比赛，在场上斯洛文尼亚人充分展现了自己良好的技术能力，为米兰全队创造了不少的机会，同时自己打入了绝杀的进球，这是很宝贵的3分
70'桑普多利亚球员奥比昂大禁区外尝试右脚射门,可惜皮球稍稍偏出了左球门.给他传球的是科斯蒂奇.                   67'尽管表现不错，但阿莱格里还在第67分钟早早地将比尔萨换下，一方面考虑到比尔萨的体能，另外一方面也要为下周中的欧冠比赛做准备，《全市场》赛后将比尔萨评为了最佳球员，并给了他7分：“绝对是他加盟AC米兰最好的一场比赛，在场上斯洛文尼亚人充分展现了自己良好的技术能力，为米兰全队创造了不少的机会，同时自己打入了绝杀的进球，这是很宝贵的3分
