1'主裁判吹响了上半场比赛开始的哨音~                   1'巴萨第1分钟展开积极攻势
1'上半场比赛由客场作战的马竞开球~                   1'巴萨第1分钟展开积极攻势
2'巴萨断球之后左路策动进攻                   1'巴萨第1分钟展开积极攻势
3'伊涅斯塔交给了梅西~后者挑传到禁区                   1'巴萨第1分钟展开积极攻势
3'门将奥布拉克出击将球没收                   1'巴萨第1分钟展开积极攻势
3'梅西目前职业生涯已经打入了499粒进球，今天是否会迎来另一个里程碑呢                   1'巴萨第1分钟展开积极攻势
4'马竞展开了全场的围抢                   1'巴萨第1分钟展开积极攻势
4'阿尔维斯助攻上来，回给了中路                   1'巴萨第1分钟展开积极攻势
19'加比中场断球                   19'巴萨第19分钟险些破门，阿尔维斯禁区右侧边缘凌空垫传，内马尔小禁区前抢在胡安弗兰之前头球攻门稍稍高出
19'还是要打左路~阿尔维斯对路易斯犯规了                   19'巴萨第19分钟险些破门，阿尔维斯禁区右侧边缘凌空垫传，内马尔小禁区前抢在胡安弗兰之前头球攻门稍稍高出
19'马竞获得了一个左边路的前场定位球                   19'巴萨第19分钟险些破门，阿尔维斯禁区右侧边缘凌空垫传，内马尔小禁区前抢在胡安弗兰之前头球攻门稍稍高出
20'科克的传中直接传给了施特根                   19'巴萨第19分钟险些破门，阿尔维斯禁区右侧边缘凌空垫传，内马尔小禁区前抢在胡安弗兰之前头球攻门稍稍高出
20'大脚发动反击~                   19'巴萨第19分钟险些破门，阿尔维斯禁区右侧边缘凌空垫传，内马尔小禁区前抢在胡安弗兰之前头球攻门稍稍高出
20'哇~~差点儿                   19'巴萨第19分钟险些破门，阿尔维斯禁区右侧边缘凌空垫传，内马尔小禁区前抢在胡安弗兰之前头球攻门稍稍高出
20'来自阿尔维斯的传中，内马尔跃起头球攻门                   19'巴萨第19分钟险些破门，阿尔维斯禁区右侧边缘凌空垫传，内马尔小禁区前抢在胡安弗兰之前头球攻门稍稍高出
20'可惜稍稍高出横梁                   19'巴萨第19分钟险些破门，阿尔维斯禁区右侧边缘凌空垫传，内马尔小禁区前抢在胡安弗兰之前头球攻门稍稍高出
20'这次突然从胡安弗兰身后杀出的冲顶力量极大                   19'巴萨第19分钟险些破门，阿尔维斯禁区右侧边缘凌空垫传，内马尔小禁区前抢在胡安弗兰之前头球攻门稍稍高出
21'门将几乎是没有反应时间，但是内马尔没有把握住这次近距离的头球机会                   19'巴萨第19分钟险些破门，阿尔维斯禁区右侧边缘凌空垫传，内马尔小禁区前抢在胡安弗兰之前头球攻门稍稍高出
22'梅西跟内马尔连续的短传配合，科克倒地铲球拦截下来                   19'巴萨第19分钟险些破门，阿尔维斯禁区右侧边缘凌空垫传，内马尔小禁区前抢在胡安弗兰之前头球攻门稍稍高出
25'梅西长传想找内马尔                   25'马竞第25分钟取得领先，科凯直传，阿尔维斯拖后令造越位失败，托雷斯14码处抢在阿尔维斯和马斯切拉诺封堵前劲射破门
25'门将奥布拉克出击将球没收                   25'马竞第25分钟取得领先，科凯直传，阿尔维斯拖后令造越位失败，托雷斯14码处抢在阿尔维斯和马斯切拉诺封堵前劲射破门
25'巴萨似乎又开始不知所措                   25'马竞第25分钟取得领先，科凯直传，阿尔维斯拖后令造越位失败，托雷斯14码处抢在阿尔维斯和马斯切拉诺封堵前劲射破门
26'托雷斯~~~                   25'马竞第25分钟取得领先，科凯直传，阿尔维斯拖后令造越位失败，托雷斯14码处抢在阿尔维斯和马斯切拉诺封堵前劲射破门
26'Gooooooooooooooooooooooal~~~~                   25'马竞第25分钟取得领先，科凯直传，阿尔维斯拖后令造越位失败，托雷斯14码处抢在阿尔维斯和马斯切拉诺封堵前劲射破门
27'科克中路直塞，阿尔维斯拖在了最后，托雷斯反越位面对门将~~轻松穿裆了施特根                   25'马竞第25分钟取得领先，科凯直传，阿尔维斯拖后令造越位失败，托雷斯14码处抢在阿尔维斯和马斯切拉诺封堵前劲射破门
28'而巴萨到了禁区前之后过于繁琐的传球配合方式失误太多                   25'马竞第25分钟取得领先，科凯直传，阿尔维斯拖后令造越位失败，托雷斯14码处抢在阿尔维斯和马斯切拉诺封堵前劲射破门
28'梅西遭到对方的多人围抢，找不到突破的空间                   25'马竞第25分钟取得领先，科凯直传，阿尔维斯拖后令造越位失败，托雷斯14码处抢在阿尔维斯和马斯切拉诺封堵前劲射破门
32'马竞突然加速                   32'第32分钟，托雷斯传球，格列兹曼禁区边缘抢在阿尔巴之前凌空捅射，特尔施特根飞身扑出皮球
32'格里兹曼反越位左脚射门~~                   32'第32分钟，托雷斯传球，格列兹曼禁区边缘抢在阿尔巴之前凌空捅射，特尔施特根飞身扑出皮球
32'施特根飞身将球扑出底线                   32'第32分钟，托雷斯传球，格列兹曼禁区边缘抢在阿尔巴之前凌空捅射，特尔施特根飞身扑出皮球
32'角球                   32'第32分钟，托雷斯传球，格列兹曼禁区边缘抢在阿尔巴之前凌空捅射，特尔施特根飞身扑出皮球
32'马竞在进攻上面投入的兵力并不多，但反击非常犀利                   32'第32分钟，托雷斯传球，格列兹曼禁区边缘抢在阿尔巴之前凌空捅射，特尔施特根飞身扑出皮球
33'阿尔巴倒在地上，似乎手腕受伤了                   32'第32分钟，托雷斯传球，格列兹曼禁区边缘抢在阿尔巴之前凌空捅射，特尔施特根飞身扑出皮球
33'裁判暂时中断比赛，队医进场治疗                   32'第32分钟，托雷斯传球，格列兹曼禁区边缘抢在阿尔巴之前凌空捅射，特尔施特根飞身扑出皮球
33'马竞战术角球~传中被布斯克茨解围出去                   32'第32分钟，托雷斯传球，格列兹曼禁区边缘抢在阿尔巴之前凌空捅射，特尔施特根飞身扑出皮球
33'巴萨有反击的机会                   32'第32分钟，托雷斯传球，格列兹曼禁区边缘抢在阿尔巴之前凌空捅射，特尔施特根飞身扑出皮球
34'科克在中场绊倒了梅西                   32'第32分钟，托雷斯传球，格列兹曼禁区边缘抢在阿尔巴之前凌空捅射，特尔施特根飞身扑出皮球
34'裁判掏出了黄牌                   32'第32分钟，托雷斯传球，格列兹曼禁区边缘抢在阿尔巴之前凌空捅射，特尔施特根飞身扑出皮球
34'经过治疗之后阿尔巴回到了场上                   32'第32分钟，托雷斯传球，格列兹曼禁区边缘抢在阿尔巴之前凌空捅射，特尔施特根飞身扑出皮球
35'巴萨继续围攻马竞的禁区                   32'第32分钟，托雷斯传球，格列兹曼禁区边缘抢在阿尔巴之前凌空捅射，特尔施特根飞身扑出皮球
35'伊涅斯塔给阿尔巴的传球出现了失误                   32'第32分钟，托雷斯传球，格列兹曼禁区边缘抢在阿尔巴之前凌空捅射，特尔施特根飞身扑出皮球
35'托雷斯~~糟糕了                   32'第32分钟，托雷斯传球，格列兹曼禁区边缘抢在阿尔巴之前凌空捅射，特尔施特根飞身扑出皮球
49'布斯克茨后场防守犯规，领到了一张黄牌                   49'巴萨第49分钟险些扳平，内马尔传中，梅西10码处胸部停球后倒钩射门，皮球擦右侧立柱偏出
49'马竞右路的下底传中~好险                   49'巴萨第49分钟险些扳平，内马尔传中，梅西10码处胸部停球后倒钩射门，皮球擦右侧立柱偏出
49'中路队友的包抄没有到位                   49'巴萨第49分钟险些扳平，内马尔传中，梅西10码处胸部停球后倒钩射门，皮球擦右侧立柱偏出
49'否则又是一个绝好的机会                   49'巴萨第49分钟险些扳平，内马尔传中，梅西10码处胸部停球后倒钩射门，皮球擦右侧立柱偏出
50'内马尔左路传中~梅西胸部一停！                   49'巴萨第49分钟险些扳平，内马尔传中，梅西10码处胸部停球后倒钩射门，皮球擦右侧立柱偏出
50'倒挂金钩~~稍稍偏出                   49'巴萨第49分钟险些扳平，内马尔传中，梅西10码处胸部停球后倒钩射门，皮球擦右侧立柱偏出
51'梅西目前还没有一次射门打正的                   49'巴萨第49分钟险些扳平，内马尔传中，梅西10码处胸部停球后倒钩射门，皮球擦右侧立柱偏出
