9'米兰的好机会，梅内打门时候被后卫倒地挡出。                   9'开场9分钟，本田圭佑直传禁区右侧，梅内在门前12米处射门被达尼洛飞身铲出
10'二次进攻时候梅内边路带多了，传球直接给了卡尔内齐斯。                   9'开场9分钟，本田圭佑直传禁区右侧，梅内在门前12米处射门被达尼洛飞身铲出
10'开场10分钟，米兰两个边路打的不错。                   9'开场9分钟，本田圭佑直传禁区右侧，梅内在门前12米处射门被达尼洛飞身铲出
11'梅内又是禁区内拿球有点不稳，今天他开场之后的脚风还不是很顺。                   9'开场9分钟，本田圭佑直传禁区右侧，梅内在门前12米处射门被达尼洛飞身铲出
12'博内拉没有停球，边路直接起球，但是里面的范欣克尔犯规了。                   9'开场9分钟，本田圭佑直传禁区右侧，梅内在门前12米处射门被达尼洛飞身铲出
40'梅内又获得一次好机会啊，但是本田的头球回做之后，梅内凌空打门稍稍偏出，可惜了。                   39'第39分钟，梅克斯传过顶球，本田圭佑禁区右侧头球回点，梅内在门前10米处半凌空斜射偏出远门柱
42'上半场比赛进行了40分钟了。                   39'第39分钟，梅克斯传过顶球，本田圭佑禁区右侧头球回点，梅内在门前10米处半凌空斜射偏出远门柱
42'上半场比赛进行的很连贯，除了上半场卡尔内齐斯的受伤，几乎没有停顿。                   39'第39分钟，梅克斯传过顶球，本田圭佑禁区右侧头球回点，梅内在门前10米处半凌空斜射偏出远门柱
54'埃辛外围的大力远射迫使门将做出一个精彩的扑救啊。                   54'下半时开始9分钟，埃辛外围重炮被卡尔内齐斯击出
54'下半场米兰节奏没有上半场快了，不知道是不是因扎吉的布置。                   54'下半时开始9分钟，埃辛外围重炮被卡尔内齐斯击出
55'埃辛铲倒了吉列尔梅，吃到了本场比赛的第一张黄牌                   54'下半时开始9分钟，埃辛外围重炮被卡尔内齐斯击出
56'下半场的乌迪内斯也开始有了一些不错的进攻了。                   54'下半时开始9分钟，埃辛外围重炮被卡尔内齐斯击出
65'下半场比赛进行了20分钟，比分终于有了变化。                   65'AC米兰第65分钟打破僵局，范欣克尔禁区中路争顶，本田圭佑右侧胸部停球，在多米齐拉拽下倒地，主裁判瓦莱里吹罚点球并亮出红牌
66'迪纳塔莱被换下了，换上了帕斯快莱。                   65'AC米兰第65分钟打破僵局，范欣克尔禁区中路争顶，本田圭佑右侧胸部停球，在多米齐拉拽下倒地，主裁判瓦莱里吹罚点球并亮出红牌
67'这样应该只能守了，没有什么更好的办法。                   65'AC米兰第65分钟打破僵局，范欣克尔禁区中路争顶，本田圭佑右侧胸部停球，在多米齐拉拽下倒地，主裁判瓦莱里吹罚点球并亮出红牌
68'梅内前场的抢断，但是带多了一步，在传球被后卫挡出了。                   65'AC米兰第65分钟打破僵局，范欣克尔禁区中路争顶，本田圭佑右侧胸部停球，在多米齐拉拽下倒地，主裁判瓦莱里吹罚点球并亮出红牌
69'角球开出来，沙拉维禁区外的打门稍稍偏了一点啊，打的很漂亮。                   69'第69分钟，本田圭佑开出角球，沙拉维左侧禁区前沿小角度弧线球稍偏出远门柱
70'进球之后，还多打一人，现在对于米兰来说就容易很多了，可以从容应对。                   69'第69分钟，本田圭佑开出角球，沙拉维左侧禁区前沿小角度弧线球稍偏出远门柱
71'埃辛吃到了第二张黄牌，也被红牌罚下！                   69'第69分钟，本田圭佑开出角球，沙拉维左侧禁区前沿小角度弧线球稍偏出远门柱
71'这场比赛真是一波三折啊。                   69'第69分钟，本田圭佑开出角球，沙拉维左侧禁区前沿小角度弧线球稍偏出远门柱
75'梅内后场拿球，博纳文图拉和他配合之后梅内继续向前                   75'第75分钟，梅内左路接到博纳文图拉分球，带球切入禁区横趟闪开防守，在门前10米处低射入近角，2比0，这是他本赛季意甲第7球，其中近3轮打进4球，追平个人单赛季联赛进球纪录(法甲3个赛季，7球)
75'进球了！！！梅内拿球之后晃过后卫直接打门，门将毫无办法，2比0                   75'第75分钟，梅内左路接到博纳文图拉分球，带球切入禁区横趟闪开防守，在门前10米处低射入近角，2比0，这是他本赛季意甲第7球，其中近3轮打进4球，追平个人单赛季联赛进球纪录(法甲3个赛季，7球)
75'完全是个人能力的展现，太漂亮了！！                   75'第75分钟，梅内左路接到博纳文图拉分球，带球切入禁区横趟闪开防守，在门前10米处低射入近角，2比0，这是他本赛季意甲第7球，其中近3轮打进4球，追平个人单赛季联赛进球纪录(法甲3个赛季，7球)
76'梅内的本场表现非常棒啊。                   75'第75分钟，梅内左路接到博纳文图拉分球，带球切入禁区横趟闪开防守，在门前10米处低射入近角，2比0，这是他本赛季意甲第7球，其中近3轮打进4球，追平个人单赛季联赛进球纪录(法甲3个赛季，7球)
76'科内被换下，布鲁诺上场。                   75'第75分钟，梅内左路接到博纳文图拉分球，带球切入禁区横趟闪开防守，在门前10米处低射入近角，2比0，这是他本赛季意甲第7球，其中近3轮打进4球，追平个人单赛季联赛进球纪录(法甲3个赛季，7球)
89'范欣克尔被蒙托利沃换下，也是好久不见了啊。                   89'第89分钟，拉米头球解围不远，黑霍在门前13米处低射偏出
90'黑霍的一脚抽射，很有威胁啊，差了一点啊。                   89'第89分钟，拉米头球解围不远，黑霍在门前13米处低射偏出
90'阿尔梅罗又失误了，被对手断球，幸好梅克斯上前一脚破坏啊。                   89'第89分钟，拉米头球解围不远，黑霍在门前13米处低射偏出
91'下半场比赛补时3分钟。                   89'第89分钟，拉米头球解围不远，黑霍在门前13米处低射偏出
91'黑霍的越位，竟然是本场比赛两队的第一次越位。                   89'第89分钟，拉米头球解围不远，黑霍在门前13米处低射偏出
92'米兰也不急于压上了，就在后场和对方周旋。                   89'第89分钟，拉米头球解围不远，黑霍在门前13米处低射偏出
92'巴度边路拿球，但是球先出界了。                   89'第89分钟，拉米头球解围不远，黑霍在门前13米处低射偏出
