1'上半场比赛开始！！                   1'曼城第1分钟积极展开攻势，鲁迪扑球脱手险些送给曼城机会
1'首先由诺维奇开球，从画面的左侧向右进攻！！                   1'曼城第1分钟积极展开攻势，鲁迪扑球脱手险些送给曼城机会
1'诺维奇右路斜传球到中路，奥塔门迪大脚将球解围！！                   1'曼城第1分钟积极展开攻势，鲁迪扑球脱手险些送给曼城机会
2'诺维奇左路的过顶球，萨尼亚转身倒勾解围！！                   1'曼城第1分钟积极展开攻势，鲁迪扑球脱手险些送给曼城机会
2'奥尔森左路强突失误，原地反抢，拉人犯规！！                   1'曼城第1分钟积极展开攻势，鲁迪扑球脱手险些送给曼城机会
2'马丁的后场过顶球找前场的豪森                   1'曼城第1分钟积极展开攻势，鲁迪扑球脱手险些送给曼城机会
3'豪森背身拿球，面对纳瓦斯的逼抢，转身强突，球出了边线！！                   1'曼城第1分钟积极展开攻势，鲁迪扑球脱手险些送给曼城机会
3'萨尼亚右路拿球，直塞给到纳瓦斯                   1'曼城第1分钟积极展开攻势，鲁迪扑球脱手险些送给曼城机会
3'纳瓦斯停球，面对奥尔森，选择回传！！                   1'曼城第1分钟积极展开攻势，鲁迪扑球脱手险些送给曼城机会
4'席尔瓦中路拿球，强突，出球后，被上来的马丁踢翻在地                   1'曼城第1分钟积极展开攻势，鲁迪扑球脱手险些送给曼城机会
4'马丁被主裁判口头警告一翻！！                   1'曼城第1分钟积极展开攻势，鲁迪扑球脱手险些送给曼城机会
4'曼城获得前场中路的任意球机会！！                   1'曼城第1分钟积极展开攻势，鲁迪扑球脱手险些送给曼城机会
39'角球开出到禁区，马姆福德头球摆渡                   39'第39分钟，贾维斯传球，巴姆福德远射憾中横梁
39'后点的贾维斯跟进再打，被萨尼亚一挡，并出脚解围                   39'第39分钟，贾维斯传球，巴姆福德远射憾中横梁
39'不过边裁也举旗了，贾维斯拿球时已经越位！！                   39'第39分钟，贾维斯传球，巴姆福德远射憾中横梁
40'横梁！！                   39'第39分钟，贾维斯传球，巴姆福德远射憾中横梁
40'马姆福德！！                   39'第39分钟，贾维斯传球，巴姆福德远射憾中横梁
40'诺维奇前场进攻，贾维斯停球回敲，马姆福德跟进，禁区弧顶突施冷箭，击中横梁上演弹出底线！！                   39'第39分钟，贾维斯传球，巴姆福德远射憾中横梁
41'上半场比赛40分钟，比分依旧是0-0！！                   39'第39分钟，贾维斯传球，巴姆福德远射憾中横梁
41'马姆福德距离本赛季个人英超第一个进球，就差一个横梁啊！！                   39'第39分钟，贾维斯传球，巴姆福德远射憾中横梁
41'萨尼亚的斜传转移球，直接给到了中线位置的马姆福德                   39'第39分钟，贾维斯传球，巴姆福德远射憾中横梁
41'马姆福德停球回敲奥尔森                   39'第39分钟，贾维斯传球，巴姆福德远射憾中横梁
42'奥尔森过顶球到前场，奥塔门迪抢在霍拉罕之前将球控制                   39'第39分钟，贾维斯传球，巴姆福德远射憾中横梁
42'席尔瓦左路前插接应，面对奥尼尔的逼抢                   39'第39分钟，贾维斯传球，巴姆福德远射憾中横梁
85'多朗斯的远射，差一点点啊！！                   85'诺维奇第85分钟险些绝杀，孔帕尼解围被封堵，姆博卡尼回传，多兰斯禁区边缘外抽射擦柱偏出
86'孔帕尼后场解围球，打在队友后背弹回，到了杰罗姆脚下，杰罗姆内切回传中路，多朗斯跟进，禁区线上无人防守，起脚打门，打偏！！                   85'诺维奇第85分钟险些绝杀，孔帕尼解围被封堵，姆博卡尼回传，多兰斯禁区边缘外抽射擦柱偏出
86'这球多朗斯只要打在门框范围内，估计曼城就危险啦！！                   85'诺维奇第85分钟险些绝杀，孔帕尼解围被封堵，姆博卡尼回传，多兰斯禁区边缘外抽射擦柱偏出
86'曼城第三次换人：5号萨巴莱塔上，换下3号萨尼亚！！                   85'诺维奇第85分钟险些绝杀，孔帕尼解围被封堵，姆博卡尼回传，多兰斯禁区边缘外抽射擦柱偏出
87'奥尼尔后场拿球，分球马丁                   85'诺维奇第85分钟险些绝杀，孔帕尼解围被封堵，姆博卡尼回传，多兰斯禁区边缘外抽射擦柱偏出
87'马丁过顶直传再找奥尼尔，出了边线！！                   85'诺维奇第85分钟险些绝杀，孔帕尼解围被封堵，姆博卡尼回传，多兰斯禁区边缘外抽射擦柱偏出
87'克里希左路强突，被放倒在地！！                   85'诺维奇第85分钟险些绝杀，孔帕尼解围被封堵，姆博卡尼回传，多兰斯禁区边缘外抽射擦柱偏出
87'曼城获得前场左路的任意球机会！！                   85'诺维奇第85分钟险些绝杀，孔帕尼解围被封堵，姆博卡尼回传，多兰斯禁区边缘外抽射擦柱偏出
88'席尔瓦主罚，开出到前点，伊海亚纳乔头球后蹭                   85'诺维奇第85分钟险些绝杀，孔帕尼解围被封堵，姆博卡尼回传，多兰斯禁区边缘外抽射擦柱偏出
88'第二点被诺维奇球员头球解围！！                   85'诺维奇第85分钟险些绝杀，孔帕尼解围被封堵，姆博卡尼回传，多兰斯禁区边缘外抽射擦柱偏出
88'曼城前场再攻，诺维奇禁区内混战，可惜曼城都未能形成打门啊                   85'诺维奇第85分钟险些绝杀，孔帕尼解围被封堵，姆博卡尼回传，多兰斯禁区边缘外抽射擦柱偏出
88'比赛已经进入尾声，比分依旧是0-0！！                   85'诺维奇第85分钟险些绝杀，孔帕尼解围被封堵，姆博卡尼回传，多兰斯禁区边缘外抽射擦柱偏出
