2'右侧找到姜积弘，再给陈伟铭                   2'比赛开始后第2分钟，富力右路陈伟铭突破杀到底线附近起球传中，被门将直接没收
2'身前分给雷纳尔迪尼奥，被罗歆拦截了                   2'比赛开始后第2分钟，富力右路陈伟铭突破杀到底线附近起球传中，被门将直接没收
2'中圈位置托西奇拿球，观察一下，分到左侧                   2'比赛开始后第2分钟，富力右路陈伟铭突破杀到底线附近起球传中，被门将直接没收
2'李提香拿球，在给到右侧姜积弘                   2'比赛开始后第2分钟，富力右路陈伟铭突破杀到底线附近起球传中，被门将直接没收
3'短传身前，，陈伟铭横敲马俊亮                   2'比赛开始后第2分钟，富力右路陈伟铭突破杀到底线附近起球传中，被门将直接没收
3'再给右侧陈伟铭，，突破杀到底线附近                   2'比赛开始后第2分钟，富力右路陈伟铭突破杀到底线附近起球传中，被门将直接没收
3'起球传中，，，被门将直接没收                   2'比赛开始后第2分钟，富力右路陈伟铭突破杀到底线附近起球传中，被门将直接没收
3'张烈后场大脚开起来                   2'比赛开始后第2分钟，富力右路陈伟铭突破杀到底线附近起球传中，被门将直接没收
3'中圈拼抢，，，争顶                   2'比赛开始后第2分钟，富力右路陈伟铭突破杀到底线附近起球传中，被门将直接没收
3'朱宝杰把球拿到，短传给身前，，被碰了一下                   2'比赛开始后第2分钟，富力右路陈伟铭突破杀到底线附近起球传中，被门将直接没收
4'打到了陈伟铭脚下，，横敲给陈志钊                   2'比赛开始后第2分钟，富力右路陈伟铭突破杀到底线附近起球传中，被门将直接没收
4'短传身前，，肖智拿球，遭到对手紧逼。。摔倒了                   2'比赛开始后第2分钟，富力右路陈伟铭突破杀到底线附近起球传中，被门将直接没收
4'人和的犯规，，，中圈富力定位球                   2'比赛开始后第2分钟，富力右路陈伟铭突破杀到底线附近起球传中，被门将直接没收
4'左侧前场给过来，陈杰把球拦截                   2'比赛开始后第2分钟，富力右路陈伟铭突破杀到底线附近起球传中，被门将直接没收
4'短传身前给向汉天，转移                   2'比赛开始后第2分钟，富力右路陈伟铭突破杀到底线附近起球传中，被门将直接没收
4'左侧姜积弘破坏出边线                   2'比赛开始后第2分钟，富力右路陈伟铭突破杀到底线附近起球传中，被门将直接没收
5'前场左侧界外球，给出来                   2'比赛开始后第2分钟，富力右路陈伟铭突破杀到底线附近起球传中，被门将直接没收
5'低球禁区左侧找迪奥普，，，哨响，，越位了                   2'比赛开始后第2分钟，富力右路陈伟铭突破杀到底线附近起球传中，被门将直接没收
5'富力后场大脚开出定位球                   2'比赛开始后第2分钟，富力右路陈伟铭突破杀到底线附近起球传中，被门将直接没收
5'中圈位置的拼抢，，史亮把球拿到                   2'比赛开始后第2分钟，富力右路陈伟铭突破杀到底线附近起球传中，被门将直接没收
5'斜传，，前场右侧直接出了边线                   2'比赛开始后第2分钟，富力右路陈伟铭突破杀到底线附近起球传中，被门将直接没收
5'富力后场左侧界外球                   2'比赛开始后第2分钟，富力右路陈伟铭突破杀到底线附近起球传中，被门将直接没收
5'中圈位置交给马俊亮，低球斜传                   2'比赛开始后第2分钟，富力右路陈伟铭突破杀到底线附近起球传中，被门将直接没收
46'上半场补时2分钟                   46'1分钟后，人和打反击，右侧迪奥普拿球快速突破杀到禁区右侧，外围直接打门高出横梁
46'富力不急于向前，连续的传递                   46'1分钟后，人和打反击，右侧迪奥普拿球快速突破杀到禁区右侧，外围直接打门高出横梁
46'富力挑传到前场左侧，给丢了                   46'1分钟后，人和打反击，右侧迪奥普拿球快速突破杀到禁区右侧，外围直接打门高出横梁
46'陈杰拦截，短传到了右侧                   46'1分钟后，人和打反击，右侧迪奥普拿球快速突破杀到禁区右侧，外围直接打门高出横梁
47'迪奥普拿球，转左路史亮                   46'1分钟后，人和打反击，右侧迪奥普拿球快速突破杀到禁区右侧，外围直接打门高出横梁
47'再给前插的迪奥普，突破下底                   46'1分钟后，人和打反击，右侧迪奥普拿球快速突破杀到禁区右侧，外围直接打门高出横梁
47'传中球，，，给大了，，飞出了底线                   46'1分钟后，人和打反击，右侧迪奥普拿球快速突破杀到禁区右侧，外围直接打门高出横梁
47'富力门球，，程月磊开起来                   46'1分钟后，人和打反击，右侧迪奥普拿球快速突破杀到禁区右侧，外围直接打门高出横梁
47'中圈拼抢，，，陈志钊得球                   46'1分钟后，人和打反击，右侧迪奥普拿球快速突破杀到禁区右侧，外围直接打门高出横梁
47'控制一下，还是回敲，，给右侧姜积弘                   46'1分钟后，人和打反击，右侧迪奥普拿球快速突破杀到禁区右侧，外围直接打门高出横梁
47'短传给身前的唐淼                   46'1分钟后，人和打反击，右侧迪奥普拿球快速突破杀到禁区右侧，外围直接打门高出横梁
48'再横敲一下，朱宝杰拦截把球拿到                   46'1分钟后，人和打反击，右侧迪奥普拿球快速突破杀到禁区右侧，外围直接打门高出横梁
