1'上半场比赛开始！                   1'第1分钟，罗马进攻压制了曼城，热尔维尼奥尤为活跃
1'首先开球的是罗马                   1'第1分钟，罗马进攻压制了曼城，热尔维尼奥尤为活跃
1'罗马右路拿球进攻，这球没有带好                   1'第1分钟，罗马进攻压制了曼城，热尔维尼奥尤为活跃
2'曼城中场拿球被包夹                   1'第1分钟，罗马进攻压制了曼城，热尔维尼奥尤为活跃
2'罗马断球下来在右路推进                   1'第1分钟，罗马进攻压制了曼城，热尔维尼奥尤为活跃
2'转移给到了左路                   1'第1分钟，罗马进攻压制了曼城，热尔维尼奥尤为活跃
2'热尔维尼奥左路拿球直接往中路端                   1'第1分钟，罗马进攻压制了曼城，热尔维尼奥尤为活跃
3'这球被曼城后卫解围出底线                   1'第1分钟，罗马进攻压制了曼城，热尔维尼奥尤为活跃
3'皮亚尼奇角球开出，这次的质量不是很好                   1'第1分钟，罗马进攻压制了曼城，热尔维尼奥尤为活跃
4'拉贾季奇后场拿球给到中场                   1'第1分钟，罗马进攻压制了曼城，热尔维尼奥尤为活跃
4'曼城今天拼的很凶                   1'第1分钟，罗马进攻压制了曼城，热尔维尼奥尤为活跃
21'米尔纳的射门被挡出                   21'第21分钟，米尔纳禁区左侧边缘推射被德桑克蒂斯得到，凯塔发起快攻，热尔维尼奥突入禁区右侧，在门前13米处低射滑出远门柱
21'罗马这边马上发动反击                   21'第21分钟，米尔纳禁区左侧边缘推射被德桑克蒂斯得到，凯塔发起快攻，热尔维尼奥突入禁区右侧，在门前13米处低射滑出远门柱
21'热尔维尼奥禁区内低射被后卫碰了一下险些入网                   21'第21分钟，米尔纳禁区左侧边缘推射被德桑克蒂斯得到，凯塔发起快攻，热尔维尼奥突入禁区右侧，在门前13米处低射滑出远门柱
21'罗马角球机会                   21'第21分钟，米尔纳禁区左侧边缘推射被德桑克蒂斯得到，凯塔发起快攻，热尔维尼奥突入禁区右侧，在门前13米处低射滑出远门柱
21'角球送后点，乔-哈特差点没拿住啊                   21'第21分钟，米尔纳禁区左侧边缘推射被德桑克蒂斯得到，凯塔发起快攻，热尔维尼奥突入禁区右侧，在门前13米处低射滑出远门柱
23'曼城中场拿球给到边路                   21'第21分钟，米尔纳禁区左侧边缘推射被德桑克蒂斯得到，凯塔发起快攻，热尔维尼奥突入禁区右侧，在门前13米处低射滑出远门柱
23'左路拿球被三人围抢                   21'第21分钟，米尔纳禁区左侧边缘推射被德桑克蒂斯得到，凯塔发起快攻，热尔维尼奥突入禁区右侧，在门前13米处低射滑出远门柱
23'这球罗马虽然碰了一下，但是没有断下来                   21'第21分钟，米尔纳禁区左侧边缘推射被德桑克蒂斯得到，凯塔发起快攻，热尔维尼奥突入禁区右侧，在门前13米处低射滑出远门柱
23'米尔纳左路到底线                   21'第21分钟，米尔纳禁区左侧边缘推射被德桑克蒂斯得到，凯塔发起快攻，热尔维尼奥突入禁区右侧，在门前13米处低射滑出远门柱
23'没有传中的机会                   21'第21分钟，米尔纳禁区左侧边缘推射被德桑克蒂斯得到，凯塔发起快攻，热尔维尼奥突入禁区右侧，在门前13米处低射滑出远门柱
23'曼城将球转移到右路                   21'第21分钟，米尔纳禁区左侧边缘推射被德桑克蒂斯得到，凯塔发起快攻，热尔维尼奥突入禁区右侧，在门前13米处低射滑出远门柱
23'挑传到底线，又是配合上的失误                   21'第21分钟，米尔纳禁区左侧边缘推射被德桑克蒂斯得到，凯塔发起快攻，热尔维尼奥突入禁区右侧，在门前13米处低射滑出远门柱
26'曼城这边打进一球                   26'第26分钟，纳瓦斯在门前14米处低射入右下角，但哲科被判侵犯霍莱瓦斯，进球无效
26'但哲科禁区内抢球的时候先犯规在先了                   26'第26分钟，纳瓦斯在门前14米处低射入右下角，但哲科被判侵犯霍莱瓦斯，进球无效
26'哲科认为自己并没有看到防守球员                   26'第26分钟，纳瓦斯在门前14米处低射入右下角，但哲科被判侵犯霍莱瓦斯，进球无效
26'并不是故意的去犯规                   26'第26分钟，纳瓦斯在门前14米处低射入右下角，但哲科被判侵犯霍莱瓦斯，进球无效
26'曼城中场断球了                   26'第26分钟，纳瓦斯在门前14米处低射入右下角，但哲科被判侵犯霍莱瓦斯，进球无效
26'直塞打到身后                   26'第26分钟，纳瓦斯在门前14米处低射入右下角，但哲科被判侵犯霍莱瓦斯，进球无效
