1'比赛开始了                   1'伯恩茅斯第1分钟采取稳守反击策略，弗拉米尼飞铲戈斯林被罚黄牌
1'阿森纳率先开球，从左侧向右侧进攻                   1'伯恩茅斯第1分钟采取稳守反击策略，弗拉米尼飞铲戈斯林被罚黄牌
1'伯恩茅斯从右侧向左侧来攻                   1'伯恩茅斯第1分钟采取稳守反击策略，弗拉米尼飞铲戈斯林被罚黄牌
1'小播在这里再次向大家拜年了                   1'伯恩茅斯第1分钟采取稳守反击策略，弗拉米尼飞铲戈斯林被罚黄牌
1'虽然是大年三十，但小播依然守候在直播间与各位枪迷一起关注枪手                   1'伯恩茅斯第1分钟采取稳守反击策略，弗拉米尼飞铲戈斯林被罚黄牌
2'蒙雷亚尔后场给到拉姆塞                   1'伯恩茅斯第1分钟采取稳守反击策略，弗拉米尼飞铲戈斯林被罚黄牌
2'在往前找到大腿桑切斯                   1'伯恩茅斯第1分钟采取稳守反击策略，弗拉米尼飞铲戈斯林被罚黄牌
2'桑切斯1对3，丢掉了                   1'伯恩茅斯第1分钟采取稳守反击策略，弗拉米尼飞铲戈斯林被罚黄牌
2'伯恩茅斯的防守层次很分明                   1'伯恩茅斯第1分钟采取稳守反击策略，弗拉米尼飞铲戈斯林被罚黄牌
2'他们的前锋阿弗比最近比较火，今天他也是反戈一击                   1'伯恩茅斯第1分钟采取稳守反击策略，弗拉米尼飞铲戈斯林被罚黄牌
3'伯恩茅斯右路快速进攻过来，边卫史密斯插上                   1'伯恩茅斯第1分钟采取稳守反击策略，弗拉米尼飞铲戈斯林被罚黄牌
3'史密斯顶着蒙雷亚尔一脚爆杆，踢飞                   1'伯恩茅斯第1分钟采取稳守反击策略，弗拉米尼飞铲戈斯林被罚黄牌
3'这个球没有能够射正的可能啊，角度太小                   1'伯恩茅斯第1分钟采取稳守反击策略，弗拉米尼飞铲戈斯林被罚黄牌
3'阿森纳后场传递，给的不清楚                   1'伯恩茅斯第1分钟采取稳守反击策略，弗拉米尼飞铲戈斯林被罚黄牌
4'科斯切尔尼拿的很别扭                   1'伯恩茅斯第1分钟采取稳守反击策略，弗拉米尼飞铲戈斯林被罚黄牌
4'阿尤断球向前，切赫大脚解围                   1'伯恩茅斯第1分钟采取稳守反击策略，弗拉米尼飞铲戈斯林被罚黄牌
23'..go go go                   23'阿森纳第23分钟取得领先，拉姆塞长传禁区，吉鲁头球回摆，无人防守的厄齐尔10码处右脚凌空抽射入上角
23'此时此刻值得来杯嘉士伯                   23'阿森纳第23分钟取得领先，拉姆塞长传禁区，吉鲁头球回摆，无人防守的厄齐尔10码处右脚凌空抽射入上角
25'贝莱林右路内切，中路给到拉姆塞，拉姆塞直挑禁区内，吉鲁和桑切斯争到一起，把球做回小禁区中央，厄齐尔爆射，击中横梁弹入                   23'阿森纳第23分钟取得领先，拉姆塞长传禁区，吉鲁头球回摆，无人防守的厄齐尔10码处右脚凌空抽射入上角
25'说话间，阿森纳再入一球                   23'阿森纳第23分钟取得领先，拉姆塞长传禁区，吉鲁头球回摆，无人防守的厄齐尔10码处右脚凌空抽射入上角
25'这次是张伯伦进球                   23'阿森纳第23分钟取得领先，拉姆塞长传禁区，吉鲁头球回摆，无人防守的厄齐尔10码处右脚凌空抽射入上角
25'梦幻开局                   23'阿森纳第23分钟取得领先，拉姆塞长传禁区，吉鲁头球回摆，无人防守的厄齐尔10码处右脚凌空抽射入上角
25'此时此刻值得来杯嘉士伯                   23'阿森纳第23分钟取得领先，拉姆塞长传禁区，吉鲁头球回摆，无人防守的厄齐尔10码处右脚凌空抽射入上角
26'厄齐尔组织进攻，左路分中间到拉姆塞，拉姆塞在给张伯伦，张伯伦右侧插入禁区，一记爆射，击中远门柱入网                   23'阿森纳第23分钟取得领先，拉姆塞长传禁区，吉鲁头球回摆，无人防守的厄齐尔10码处右脚凌空抽射入上角
