3'一开场曼城就有些反客为主的意思                   3'第3分钟，纳斯里传中被挡，纳瓦斯禁区右侧斜射偏出远角
3'萨巴莱塔~已经杀入了禁区！                   3'第3分钟，纳斯里传中被挡，纳瓦斯禁区右侧斜射偏出远角
3'居然选择传中                   3'第3分钟，纳斯里传中被挡，纳瓦斯禁区右侧斜射偏出远角
3'其实可以打门了~                   3'第3分钟，纳斯里传中被挡，纳瓦斯禁区右侧斜射偏出远角
4'纳瓦斯~跟上左脚推射！球打偏了                   3'第3分钟，纳斯里传中被挡，纳瓦斯禁区右侧斜射偏出远角
4'曼城的进攻真够犀利                   3'第3分钟，纳斯里传中被挡，纳瓦斯禁区右侧斜射偏出远角
4'阿森纳显然进入状态较慢                   3'第3分钟，纳斯里传中被挡，纳瓦斯禁区右侧斜射偏出远角
5'大猫Jerry01:33 月亮少两轮平车子节奏---这么不看好蓝月亮么？                   3'第3分钟，纳斯里传中被挡，纳瓦斯禁区右侧斜射偏出远角
5'阿森纳获得了一个角球                   3'第3分钟，纳斯里传中被挡，纳瓦斯禁区右侧斜射偏出远角
5'情迷诺坎普199801:33 柠檬啊，你这是通宵的节奏么---播完这场就睡觉啊                   3'第3分钟，纳斯里传中被挡，纳瓦斯禁区右侧斜射偏出远角
5'卡索拉的角球传前点~没能越过曼城后卫头顶                   3'第3分钟，纳斯里传中被挡，纳瓦斯禁区右侧斜射偏出远角
5'曼城反击来了~                   3'第3分钟，纳斯里传中被挡，纳瓦斯禁区右侧斜射偏出远角
5'哲科脚下太慢了                   3'第3分钟，纳斯里传中被挡，纳瓦斯禁区右侧斜射偏出远角
6'停球之后被阿森纳的后卫抢断~                   3'第3分钟，纳斯里传中被挡，纳瓦斯禁区右侧斜射偏出远角
6'阿森纳需要稳一稳节奏                   3'第3分钟，纳斯里传中被挡，纳瓦斯禁区右侧斜射偏出远角
6'完全被曼城牵着打的节奏                   3'第3分钟，纳斯里传中被挡，纳瓦斯禁区右侧斜射偏出远角
6'吉布森脚下一滑~传球直接给了克里希                   3'第3分钟，纳斯里传中被挡，纳瓦斯禁区右侧斜射偏出远角
18'球砸在后卫腿上弹起，斯泽斯尼将球接住了                   18'曼城第18分钟取得领先，席尔瓦传球，哲科禁区左侧10码处的射门打中左侧立柱弹回，席尔瓦近距离补射空门入网
18'图雷中场拦截~直接给了席尔瓦                   18'曼城第18分钟取得领先，席尔瓦传球，哲科禁区左侧10码处的射门打中左侧立柱弹回，席尔瓦近距离补射空门入网
18'席尔瓦~~~                   18'曼城第18分钟取得领先，席尔瓦传球，哲科禁区左侧10码处的射门打中左侧立柱弹回，席尔瓦近距离补射空门入网
18'Goooooooooooooal~~~                   18'曼城第18分钟取得领先，席尔瓦传球，哲科禁区左侧10码处的射门打中左侧立柱弹回，席尔瓦近距离补射空门入网
19'波多尔斯基被断球之后曼城打出快速反击~                   18'曼城第18分钟取得领先，席尔瓦传球，哲科禁区左侧10码处的射门打中左侧立柱弹回，席尔瓦近距离补射空门入网
19'哲科的左脚抽射~被斯泽斯尼扑出！                   18'曼城第18分钟取得领先，席尔瓦传球，哲科禁区左侧10码处的射门打中左侧立柱弹回，席尔瓦近距离补射空门入网
19'球正好弹在赶上来的席尔瓦腿上！                   18'曼城第18分钟取得领先，席尔瓦传球，哲科禁区左侧10码处的射门打中左侧立柱弹回，席尔瓦近距离补射空门入网
20'没想到阿森纳以这种方式丢球                   18'曼城第18分钟取得领先，席尔瓦传球，哲科禁区左侧10码处的射门打中左侧立柱弹回，席尔瓦近距离补射空门入网
20'这个丢球波多尔斯基要负很大的责任                   18'曼城第18分钟取得领先，席尔瓦传球，哲科禁区左侧10码处的射门打中左侧立柱弹回，席尔瓦近距离补射空门入网
20'柠檬冰我的最爱01:51 柠檬！无论你播啥比赛、我都会默默的陪拌你！希望你能记得我…---谢谢                   18'曼城第18分钟取得领先，席尔瓦传球，哲科禁区左侧10码处的射门打中左侧立柱弹回，席尔瓦近距离补射空门入网
21'游客6800: 柠檬 席尔瓦 不是伤了么 这么快就好了？---烟雾弹撒                   18'曼城第18分钟取得领先，席尔瓦传球，哲科禁区左侧10码处的射门打中左侧立柱弹回，席尔瓦近距离补射空门入网
21'曼城的前场边线球                   18'曼城第18分钟取得领先，席尔瓦传球，哲科禁区左侧10码处的射门打中左侧立柱弹回，席尔瓦近距离补射空门入网
21'将球打回了中场                   18'曼城第18分钟取得领先，席尔瓦传球，哲科禁区左侧10码处的射门打中左侧立柱弹回，席尔瓦近距离补射空门入网
21'孔帕尼传球让图雷很难受                   18'曼城第18分钟取得领先，席尔瓦传球，哲科禁区左侧10码处的射门打中左侧立柱弹回，席尔瓦近距离补射空门入网
21'卡索拉分边~                   18'曼城第18分钟取得领先，席尔瓦传球，哲科禁区左侧10码处的射门打中左侧立柱弹回，席尔瓦近距离补射空门入网
22'进球无效？                   22'第22分钟，波多尔斯基左路传中，弗拉米尼铲射吊过乔-哈特入网，但他越位在先
22'弗拉米尼越位了                   22'第22分钟，波多尔斯基左路传中，弗拉米尼铲射吊过乔-哈特入网，但他越位在先
