3'贾吉尔卡将球处理出底线,利物浦获得角球.                   2'开场仅2分钟，利物浦解围角球，恩里克后场抢断后直传斯特灵偏差太多
4'奈史密斯将球处理出底线,利物浦获得角球.                   2'开场仅2分钟，利物浦解围角球，恩里克后场抢断后直传斯特灵偏差太多
7'埃弗顿球员奈史密斯拼抢犯规,对手获得控球权.                   6'第6分钟，奈史密斯直传耶拉维奇，但琼斯及时出击抢先没收
7'沙辛为利物浦赢得一个任意球.                   6'第6分钟，奈史密斯直传耶拉维奇，但琼斯及时出击抢先没收
9'阿格尔将球处理出底线,埃弗顿获得角球.                   6'第6分钟，奈史密斯直传耶拉维奇，但琼斯及时出击抢先没收
14'利物浦球员苏亚雷斯球门右侧小角度尝试右脚射门,可惜皮球稍稍偏出了左球门.给他传球的是何塞-恩里克.                   14'利物浦第14分钟取得领先，恩里克禁区左侧传中，苏亚雷斯禁区右侧小角度射门打中前点的拜恩斯后偏转入网
14'埃弗顿球员拜恩斯自摆乌龙,埃弗顿 0-1 利物浦                   14'利物浦第14分钟取得领先，恩里克禁区左侧传中，苏亚雷斯禁区右侧小角度射门打中前点的拜恩斯后偏转入网
20'斯特林为利物浦在对方半场,赢得一个任意球.                   20'利物浦第20分钟扩大比分，奥斯曼对斯特灵犯规被罚黄牌，杰拉德任意球传中，无人防守的苏亚雷斯10码处头球冲顶将皮球蹭入大门左侧
20'埃弗顿球员奥斯曼拼抢犯规,对手获得控球权.                   20'利物浦第20分钟扩大比分，奥斯曼对斯特灵犯规被罚黄牌，杰拉德任意球传中，无人防守的苏亚雷斯10码处头球冲顶将皮球蹭入大门左侧
20'黄牌！埃弗顿球员奥斯曼因为恶意犯规,被主裁判出示黄牌.                   20'利物浦第20分钟扩大比分，奥斯曼对斯特灵犯规被罚黄牌，杰拉德任意球传中，无人防守的苏亚雷斯10码处头球冲顶将皮球蹭入大门左侧
20'进球啦！！！利物浦球员苏亚雷斯大禁区中央头球,球从左下角飞进球门,球进了!助攻的是杰拉德. 埃弗顿 0-2 利物浦.                   20'利物浦第20分钟扩大比分，奥斯曼对斯特灵犯规被罚黄牌，杰拉德任意球传中，无人防守的苏亚雷斯10码处头球冲顶将皮球蹭入大门左侧
21'埃弗顿球员费莱尼大禁区外右脚射门,被防守球员封堵.给他传球的是奈史密斯.                   20'利物浦第20分钟扩大比分，奥斯曼对斯特灵犯规被罚黄牌，杰拉德任意球传中，无人防守的苏亚雷斯10码处头球冲顶将皮球蹭入大门左侧
21'何塞-恩里克将球处理出底线,埃弗顿获得角球.                   20'利物浦第20分钟扩大比分，奥斯曼对斯特灵犯规被罚黄牌，杰拉德任意球传中，无人防守的苏亚雷斯10码处头球冲顶将皮球蹭入大门左侧
