5'阿斯顿维拉球员阿邦拉霍大禁区左侧右脚射门,被防守球员封堵.给他传球的是本特克.                   5'第5分钟，本特克传球，阿邦拉霍禁区左侧的射门被封堵
8'利物浦球员格伦-约翰逊大禁区外左脚射门,被防守球员封堵.给他传球的是阿斯帕斯.                   5'第5分钟，本特克传球，阿邦拉霍禁区左侧的射门被封堵
12'利物浦球员亨德森大禁区中央头球,被防守球员封堵.给他传球的是何塞-恩里克.                   12'第12分钟，恩里克传中，亨德森头球攻门被挡
13'阿斯顿维拉球员阿邦拉霍拼抢犯规,对手获得控球权.                   12'第12分钟，恩里克传中，亨德森头球攻门被挡
13'格伦-约翰逊为利物浦赢得一个任意球.                   12'第12分钟，恩里克传中，亨德森头球攻门被挡
21'进球啦！！！利物浦球员斯图里奇小禁区右侧左脚射门,球从右上角飞进球门,球进了!助攻的是何塞-恩里克. 阿斯顿维拉 0-1 利物浦.                   21'利物浦第21分钟取得领先，恩里克左路传中，库蒂尼奥漏过，斯图里奇拿球连续晃过卢纳和古赞后小禁区右侧射入上角
22'阿斯顿维拉球员鲁纳拼抢犯规,对手获得控球权.                   21'利物浦第21分钟取得领先，恩里克左路传中，库蒂尼奥漏过，斯图里奇拿球连续晃过卢纳和古赞后小禁区右侧射入上角
22'亨德森为利物浦在右路,赢得一个任意球.                   21'利物浦第21分钟取得领先，恩里克左路传中，库蒂尼奥漏过，斯图里奇拿球连续晃过卢纳和古赞后小禁区右侧射入上角
22'黄牌！阿斯顿维拉球员鲁纳因为恶意犯规,被主裁判出示黄牌.                   21'利物浦第21分钟取得领先，恩里克左路传中，库蒂尼奥漏过，斯图里奇拿球连续晃过卢纳和古赞后小禁区右侧射入上角
22'阿斯顿维拉球员鲁纳拼抢犯规,对手获得控球权.                   22'第22分钟，卢纳对亨德森犯规被罚黄牌
22'亨德森为利物浦在右路,赢得一个任意球.                   22'第22分钟，卢纳对亨德森犯规被罚黄牌
22'黄牌！阿斯顿维拉球员鲁纳因为恶意犯规,被主裁判出示黄牌.                   22'第22分钟，卢纳对亨德森犯规被罚黄牌
32'阿斯顿维拉球员巴库纳大禁区外尝试右脚射门,可惜皮球稍稍偏出了左球门.给他传球的是阿邦拉霍.                   32'第32分钟，阿邦拉霍传球，巴库纳禁区前射门偏出
41'科洛-图雷将球处理出底线,阿斯顿维拉获得角球.                   41'第41分钟，奥科雷头球摆渡，本特克摆脱图雷后在禁区边缘弧线球射门被米格诺莱扑出
41'射门!!!阿斯顿维拉球员本特克大禁区左侧右脚射门,被对方守门员横身扑出.给他传球的是奥克雷.                   41'第41分钟，奥科雷头球摆渡，本特克摆脱图雷后在禁区边缘弧线球射门被米格诺莱扑出
41'米尼奥莱将球处理出底线,阿斯顿维拉获得角球.                   41'第41分钟，奥科雷头球摆渡，本特克摆脱图雷后在禁区边缘弧线球射门被米格诺莱扑出
42'米尼奥莱将球处理出底线,阿斯顿维拉获得角球.                   41'第41分钟，奥科雷头球摆渡，本特克摆脱图雷后在禁区边缘弧线球射门被米格诺莱扑出
44'阿斯顿维拉球员维曼大禁区外右脚射门,被防守球员封堵.给他传球的是洛顿.                   41'第41分钟，奥科雷头球摆渡，本特克摆脱图雷后在禁区边缘弧线球射门被米格诺莱扑出
44'阿格尔将球处理出底线,阿斯顿维拉获得角球.                   41'第41分钟，奥科雷头球摆渡，本特克摆脱图雷后在禁区边缘弧线球射门被米格诺莱扑出
55'阿斯顿维拉球员巴库纳大禁区外右脚射门,被防守球员封堵.                   55'第55分钟，阿斯帕斯回防犯规，巴库纳禁区边缘外任意球射门打中人墙弹回，韦斯特伍德凌空抽射高出
56'阿斯顿维拉球员维斯特伍德大禁区外尝试右脚射门,可惜皮球高出右上角球门.                   55'第55分钟，阿斯帕斯回防犯规，巴库纳禁区边缘外任意球射门打中人墙弹回，韦斯特伍德凌空抽射高出
57'巴库纳为阿斯顿维拉赢得一个任意球.                   55'第55分钟，阿斯帕斯回防犯规，巴库纳禁区边缘外任意球射门打中人墙弹回，韦斯特伍德凌空抽射高出
57'利物浦球员阿格尔拼抢犯规,对手获得控球权.                   55'第55分钟，阿斯帕斯回防犯规，巴库纳禁区边缘外任意球射门打中人墙弹回，韦斯特伍德凌空抽射高出
69'利物浦换人,西索科换下阿斯帕斯                   69'第69分钟，从瓦伦西亚租借加盟的西索科替换阿斯帕斯出场
70'杰拉德将球处理出底线,阿斯顿维拉获得角球.                   69'第69分钟，从瓦伦西亚租借加盟的西索科替换阿斯帕斯出场
70'阿斯顿维拉球员本特克大禁区中央尝试头球,可惜皮球稍稍偏出了左球门.给他传球的是维斯特伍德.                   69'第69分钟，从瓦伦西亚租借加盟的西索科替换阿斯帕斯出场
72'阿斯顿维拉球员维曼大禁区中央尝试头球,可惜皮球稍稍偏出了左球门.给他传球的是巴库纳.                   69'第69分钟，从瓦伦西亚租借加盟的西索科替换阿斯帕斯出场
48'利物浦球员阿格尔一脚直塞球给阿斯帕斯,但是边裁举旗显示后者已经越位.                   47'2分钟后，巴库纳右路传中，维曼前点14码处头球攻门偏出
50'阿斯顿维拉球员洛顿拼抢犯规,对手获得控球权.                   47'2分钟后，巴库纳右路传中，维曼前点14码处头球攻门偏出
50'库蒂尼奥为利物浦赢得一个任意球.                   47'2分钟后，巴库纳右路传中，维曼前点14码处头球攻门偏出
75'阿斯顿维拉球员阿邦拉霍大禁区外尝试左脚射门,可惜皮球稍稍偏出了左球门.                   75'第75分钟，阿邦拉霍禁区前劲射偏出
83'阿斯顿维拉换人,赫莱纽斯换下维斯特伍德                   83'第83分钟，乔-艾伦替换库蒂尼奥出场
83'利物浦换人,乔-阿伦换下库蒂尼奥                   83'第83分钟，乔-艾伦替换库蒂尼奥出场
83'阿斯顿维拉球员本特克拼抢犯规,对手获得控球权.                   83'第83分钟，乔-艾伦替换库蒂尼奥出场
83'卢卡斯为利物浦赢得一个任意球.                   83'第83分钟，乔-艾伦替换库蒂尼奥出场
86'射门!!!阿斯顿维拉球员本特克大禁区右侧右脚射门,被对方守门员横身扑出.给他传球的是赫莱纽斯.                   83'第83分钟，乔-艾伦替换库蒂尼奥出场
86'米尼奥莱将球处理出底线,阿斯顿维拉获得角球.                   83'第83分钟，乔-艾伦替换库蒂尼奥出场
