5'有争议，似乎没有越位                   5'第5分钟江苏右路送球，吴曦快速跟进被判越位，但慢镜头显示是误判
5'吴曦出球失误，布鲁诺分边，传大了，莫雷罗没能拿到                   5'第5分钟江苏右路送球，吴曦快速跟进被判越位，但慢镜头显示是误判
6'特谢拉回中场组织，还是把控住节奏，回传后场                   5'第5分钟江苏右路送球，吴曦快速跟进被判越位，但慢镜头显示是误判
6'吴曦突然插上，长传，又越位了，好像也有争议                   5'第5分钟江苏右路送球，吴曦快速跟进被判越位，但慢镜头显示是误判
6'今天裁判的判断可能有点存在争议                   5'第5分钟江苏右路送球，吴曦快速跟进被判越位，但慢镜头显示是误判
7'马丁内斯回撤分边，再挑传禁区，伊斯梅洛夫的解围                   5'第5分钟江苏右路送球，吴曦快速跟进被判越位，但慢镜头显示是误判
7'中场阎峰的犯规，踢倒了马丁内斯                   5'第5分钟江苏右路送球，吴曦快速跟进被判越位，但慢镜头显示是误判
8'右路的挑传，吉翔回给赵晓彬，在分到左路                   5'第5分钟江苏右路送球，吴曦快速跟进被判越位，但慢镜头显示是误判
8'张笑天长传，失误了，范晓冬的带球突破，被张晓彬破坏了                   5'第5分钟江苏右路送球，吴曦快速跟进被判越位，但慢镜头显示是误判
18'界外球掷出，吴曦卡位，球出了底线                   18'第18分钟长春在江苏禁区前制造危机，布鲁诺右路横传，莫雷罗禁区中路射门被挡出，李光直接跟进扫射稍稍偏出
19'顾超大脚开出，中场布鲁诺拿球                   18'第18分钟长春在江苏禁区前制造危机，布鲁诺右路横传，莫雷罗禁区中路射门被挡出，李光直接跟进扫射稍稍偏出
19'从中场带到右路                   18'第18分钟长春在江苏禁区前制造危机，布鲁诺右路横传，莫雷罗禁区中路射门被挡出，李光直接跟进扫射稍稍偏出
19'再挑传布鲁诺，传中！                   18'第18分钟长春在江苏禁区前制造危机，布鲁诺右路横传，莫雷罗禁区中路射门被挡出，李光直接跟进扫射稍稍偏出
19'莫雷罗的打门！一片混乱，被后卫挡出，李光二点远射！                   18'第18分钟长春在江苏禁区前制造危机，布鲁诺右路横传，莫雷罗禁区中路射门被挡出，李光直接跟进扫射稍稍偏出
19'稍稍偏出                   18'第18分钟长春在江苏禁区前制造危机，布鲁诺右路横传，莫雷罗禁区中路射门被挡出，李光直接跟进扫射稍稍偏出
20'大脚开出，布鲁诺得到，回传蒋哲，长传，传大了                   18'第18分钟长春在江苏禁区前制造危机，布鲁诺右路横传，莫雷罗禁区中路射门被挡出，李光直接跟进扫射稍稍偏出
21'伊斯梅洛夫分到右路，周云扣球，直塞                   18'第18分钟长春在江苏禁区前制造危机，布鲁诺右路横传，莫雷罗禁区中路射门被挡出，李光直接跟进扫射稍稍偏出
21'分到左路，特谢拉回到中路                   18'第18分钟长春在江苏禁区前制造危机，布鲁诺右路横传，莫雷罗禁区中路射门被挡出，李光直接跟进扫射稍稍偏出
21'大范围转移到右路，吉翔停球，伊斯梅洛夫的成功防守                   18'第18分钟长春在江苏禁区前制造危机，布鲁诺右路横传，莫雷罗禁区中路射门被挡出，李光直接跟进扫射稍稍偏出
