1'上半场比赛开始了！                   1'阿森纳第1分钟控制比赛，但赫尔城收缩防守应对
1'上半场由赫尔城率先中圈开球                   1'阿森纳第1分钟控制比赛，但赫尔城收缩防守应对
2'科斯切尔尼直传，卡索拉接应传球被拦截                   1'阿森纳第1分钟控制比赛，但赫尔城收缩防守应对
2'赫尔城反击，克卢卡斯交给了后卫的利弗莫尔                   1'阿森纳第1分钟控制比赛，但赫尔城收缩防守应对
2'转移到左路，罗伯逊得球回一下                   1'阿森纳第1分钟控制比赛，但赫尔城收缩防守应对
3'再转移到右路，不过蒙雷亚尔将球抢断                   1'阿森纳第1分钟控制比赛，但赫尔城收缩防守应对
3'伊沃比推进，厄齐尔过渡到右路的贝莱林                   1'阿森纳第1分钟控制比赛，但赫尔城收缩防守应对
4'回传给穆斯塔菲，桑切斯突破没有成功                   1'阿森纳第1分钟控制比赛，但赫尔城收缩防守应对
4'厄齐尔拿到第二点，转移到右路的贝莱林                   1'阿森纳第1分钟控制比赛，但赫尔城收缩防守应对
4'科奎林接应，桑切斯再分给贝莱林                   1'阿森纳第1分钟控制比赛，但赫尔城收缩防守应对
4'对方双人包夹将球断下，迪奥曼德的断球                   1'阿森纳第1分钟控制比赛，但赫尔城收缩防守应对
4'转移到右路的穆罕马迪                   1'阿森纳第1分钟控制比赛，但赫尔城收缩防守应对
17'科斯切尔尼长传，厄齐尔停得很好交给贝莱林                   17'阿森纳第17分钟取得领先，科奎林远射被封堵后传球，卡索拉分球，沃尔科特禁区右侧传射被雅库波维奇扑出，伊沃比禁区左肋12码处射门打在桑切斯腿上偏转入网
17'传中，桑切斯没有顶到                   17'阿森纳第17分钟取得领先，科奎林远射被封堵后传球，卡索拉分球，沃尔科特禁区右侧传射被雅库波维奇扑出，伊沃比禁区左肋12码处射门打在桑切斯腿上偏转入网
17'伊沃比再传门前，戴维斯头球解围                   17'阿森纳第17分钟取得领先，科奎林远射被封堵后传球，卡索拉分球，沃尔科特禁区右侧传射被雅库波维奇扑出，伊沃比禁区左肋12码处射门打在桑切斯腿上偏转入网
17'阿森纳继续围攻                   17'阿森纳第17分钟取得领先，科奎林远射被封堵后传球，卡索拉分球，沃尔科特禁区右侧传射被雅库波维奇扑出，伊沃比禁区左肋12码处射门打在桑切斯腿上偏转入网
18'伊沃比进球了！                   17'阿森纳第17分钟取得领先，科奎林远射被封堵后传球，卡索拉分球，沃尔科特禁区右侧传射被雅库波维奇扑出，伊沃比禁区左肋12码处射门打在桑切斯腿上偏转入网
19'科奎林外围远射打在后卫身上，卡索拉得球斜塞给禁区右侧的沃尔科特，沃尔科特传中被对方门前雅库波维奇横身扑出，伊沃比禁区内补射入网！                   17'阿森纳第17分钟取得领先，科奎林远射被封堵后传球，卡索拉分球，沃尔科特禁区右侧传射被雅库波维奇扑出，伊沃比禁区左肋12码处射门打在桑切斯腿上偏转入网
19'罗伯逊回传小了，桑切斯断球禁区内打门前被罗伯逊飞铲出底线                   17'阿森纳第17分钟取得领先，科奎林远射被封堵后传球，卡索拉分球，沃尔科特禁区右侧传射被雅库波维奇扑出，伊沃比禁区左肋12码处射门打在桑切斯腿上偏转入网
19'卡索拉的角球发的太低了                   17'阿森纳第17分钟取得领先，科奎林远射被封堵后传球，卡索拉分球，沃尔科特禁区右侧传射被雅库波维奇扑出，伊沃比禁区左肋12码处射门打在桑切斯腿上偏转入网
20'厄齐尔抢第二点，想溜一个底线，不过球先出底线了                   17'阿森纳第17分钟取得领先，科奎林远射被封堵后传球，卡索拉分球，沃尔科特禁区右侧传射被雅库波维奇扑出，伊沃比禁区左肋12码处射门打在桑切斯腿上偏转入网
20'回复：刘小义tc 22:20 举报回复 我一点就进球了？（看准机会再点一下）                   17'阿森纳第17分钟取得领先，科奎林远射被封堵后传球，卡索拉分球，沃尔科特禁区右侧传射被雅库波维奇扑出，伊沃比禁区左肋12码处射门打在桑切斯腿上偏转入网
27'沃尔科特传到中间，桑切斯陷入了包围圈                   27'阿森纳第27分钟错过机会，贝莱林传中，无人防守的伊沃比禁区边缘劲射被扑出，但厄齐尔近距离补射高出
27'迪奥曼德带球推进，回给克卢卡斯                   27'阿森纳第27分钟错过机会，贝莱林传中，无人防守的伊沃比禁区边缘劲射被扑出，但厄齐尔近距离补射高出
27'转移到右路的穆罕马迪                   27'阿森纳第27分钟错过机会，贝莱林传中，无人防守的伊沃比禁区边缘劲射被扑出，但厄齐尔近距离补射高出
27'传中球大了                   27'阿森纳第27分钟错过机会，贝莱林传中，无人防守的伊沃比禁区边缘劲射被扑出，但厄齐尔近距离补射高出
28'桑切斯带球推进，交给贝莱林                   27'阿森纳第27分钟错过机会，贝莱林传中，无人防守的伊沃比禁区边缘劲射被扑出，但厄齐尔近距离补射高出
28'贝莱林倒三角传中，伊沃比左脚推射被雅库波维奇倒地扑出                   27'阿森纳第27分钟错过机会，贝莱林传中，无人防守的伊沃比禁区边缘劲射被扑出，但厄齐尔近距离补射高出
