1'国际米兰球员利瓦亚拼抢犯规,对手获得控球权.                   1'第1分钟，背水一战的游击主动出击
1'卡马拉为游击队赢得一个任意球.                   1'第1分钟，背水一战的游击主动出击
4'游击队球员什切波维奇大禁区外尝试右脚射门,可惜皮球稍稍偏出了左球门.给他传球的是伊利奇.                   1'第1分钟，背水一战的游击主动出击
7'射门!!!游击队球员托米奇大禁区外右脚射门,被对方守门员横身扑出.                   7'第7分钟，队长托米奇在门前28米处任意球越过人墙落入汉达诺维奇怀中
8'利瓦亚为国际米兰在左路,赢得一个任意球.                   7'第7分钟，队长托米奇在门前28米处任意球越过人墙落入汉达诺维奇怀中
8'游击队球员奥斯托季奇拼抢犯规,对手获得控球权.                   7'第7分钟，队长托米奇在门前28米处任意球越过人墙落入汉达诺维奇怀中
10'国际米兰球员瓜林一脚直塞球给利瓦亚,但是边裁举旗显示后者已经越位.                   7'第7分钟，队长托米奇在门前28米处任意球越过人墙落入汉达诺维奇怀中
19'国际米兰球员瓜林大禁区外尝试右脚射门,可惜皮球稍稍偏出了右球门.给他传球的是加尔加诺.                   19'国米第19分钟得到首次机会，瓜林左侧任意球横敲，加尔加诺停给瓜林，瓜林在门前25米处大力抽射偏出右门柱
22'射门!!!国际米兰球员利瓦亚大禁区外右脚射门,被对方守门员横身扑出.                   19'国米第19分钟得到首次机会，瓜林左侧任意球横敲，加尔加诺停给瓜林，瓜林在门前25米处大力抽射偏出右门柱
25'射门!!!国际米兰球员佩雷拉大禁区左侧左脚射门,被对方守门员横身扑出.给他传球的是坎比亚索.                   25'第25分钟，坎比亚索假射真传分到左侧，佩雷拉在门前13米处小角度低射被彼得罗维奇得到
25'国际米兰球员西尔维斯特雷拼抢犯规,对手获得控球权.                   25'第25分钟，坎比亚索假射真传分到左侧，佩雷拉在门前13米处小角度低射被彼得罗维奇得到
25'什切波维奇为游击队赢得一个任意球.                   25'第25分钟，坎比亚索假射真传分到左侧，佩雷拉在门前13米处小角度低射被彼得罗维奇得到
27'国际米兰球员瓜林一脚直塞球给利瓦亚,但是边裁举旗显示后者已经越位.                   25'第25分钟，坎比亚索假射真传分到左侧，佩雷拉在门前13米处小角度低射被彼得罗维奇得到
32'射门!!!游击队球员I-伊万诺夫大禁区中央头球,被对方守门员横身扑出.给他传球的是托米奇.                   32'汉达诺维奇第32分钟力保球门不失，托米奇左侧任意球斜传禁区，伊万诺夫在门前8米处顶出向下的头球被汉达诺维奇快速倒地指尖托出右门柱，托米奇右侧开出角球，又是伊万诺夫争到落点，距门9米处头球攻门被汉达诺维奇飞身托出左门柱
32'汉达诺维奇将球处理出底线,游击队获得角球.                   32'汉达诺维奇第32分钟力保球门不失，托米奇左侧任意球斜传禁区，伊万诺夫在门前8米处顶出向下的头球被汉达诺维奇快速倒地指尖托出右门柱，托米奇右侧开出角球，又是伊万诺夫争到落点，距门9米处头球攻门被汉达诺维奇飞身托出左门柱
32'射门!!!游击队球员I-伊万诺夫大禁区中央头球,被对方守门员横身扑出.给他传球的是托米奇.                   32'汉达诺维奇第32分钟力保球门不失，托米奇左侧任意球斜传禁区，伊万诺夫在门前8米处顶出向下的头球被汉达诺维奇快速倒地指尖托出右门柱，托米奇右侧开出角球，又是伊万诺夫争到落点，距门9米处头球攻门被汉达诺维奇飞身托出左门柱
32'汉达诺维奇将球处理出底线,游击队获得角球.                   32'汉达诺维奇第32分钟力保球门不失，托米奇左侧任意球斜传禁区，伊万诺夫在门前8米处顶出向下的头球被汉达诺维奇快速倒地指尖托出右门柱，托米奇右侧开出角球，又是伊万诺夫争到落点，距门9米处头球攻门被汉达诺维奇飞身托出左门柱
49'游击队球员约基奇大禁区中央尝试右脚射门,可惜皮球稍稍偏出了右球门.给他传球的是拉泽维斯基.                   48'第48分钟，L-马尔科维奇直传，约伊奇反越位突入禁区右侧单挑门将汉达诺维奇，但他选择横传中路，小胡安回追解围却踢向自家球门，幸亏汉达诺维奇再次作出关键扑救，拉泽夫斯基左路传中，约伊奇在门前8米处半凌空推射偏出右门柱
51'进球啦！！！国际米兰球员帕拉西奥球门线跟前,球从中路飞进球门,球进了!助攻的是瓜林. 游击队 0-1 国际米兰.                   48'第48分钟，L-马尔科维奇直传，约伊奇反越位突入禁区右侧单挑门将汉达诺维奇，但他选择横传中路，小胡安回追解围却踢向自家球门，幸亏汉达诺维奇再次作出关键扑救，拉泽夫斯基左路传中，约伊奇在门前8米处半凌空推射偏出右门柱
54'米利科维奇为游击队在右路,赢得一个任意球.                   54'第54分钟，小胡安放倒米利科维奇，被黄牌警告，但主裁判没看到米利科维奇倒地后的报复踢人动作
54'国际米兰球员胡安拼抢犯规,对手获得控球权.                   54'第54分钟，小胡安放倒米利科维奇，被黄牌警告，但主裁判没看到米利科维奇倒地后的报复踢人动作
54'黄牌！国际米兰球员胡安因为恶意犯规,被主裁判出示黄牌.                   54'第54分钟，小胡安放倒米利科维奇，被黄牌警告，但主裁判没看到米利科维奇倒地后的报复踢人动作
55'游击队换人,什切波维奇换下卡马拉                   54'第54分钟，小胡安放倒米利科维奇，被黄牌警告，但主裁判没看到米利科维奇倒地后的报复踢人动作
55'射门!!!游击队球员什切波维奇大禁区右侧右脚射门,被对方守门员横身扑出.给他传球的是奥斯托季奇.                   54'第54分钟，小胡安放倒米利科维奇，被黄牌警告，但主裁判没看到米利科维奇倒地后的报复踢人动作
55'汉达诺维奇将球处理出底线,游击队获得角球.                   54'第54分钟，小胡安放倒米利科维奇，被黄牌警告，但主裁判没看到米利科维奇倒地后的报复踢人动作
55'游击队换人,什切波维奇换下卡马拉                   55'第55分钟，奥斯托伊奇右路传出过顶球，S-什切波维奇禁区右侧距门13米处凌空抽射被汉达诺维奇封出近角
55'射门!!!游击队球员什切波维奇大禁区右侧右脚射门,被对方守门员横身扑出.给他传球的是奥斯托季奇.                   55'第55分钟，奥斯托伊奇右路传出过顶球，S-什切波维奇禁区右侧距门13米处凌空抽射被汉达诺维奇封出近角
55'汉达诺维奇将球处理出底线,游击队获得角球.                   55'第55分钟，奥斯托伊奇右路传出过顶球，S-什切波维奇禁区右侧距门13米处凌空抽射被汉达诺维奇封出近角
58'奥斯托季奇为游击队在右路,赢得一个任意球.                   55'第55分钟，奥斯托伊奇右路传出过顶球，S-什切波维奇禁区右侧距门13米处凌空抽射被汉达诺维奇封出近角
58'国际米兰球员利瓦亚拼抢犯规,对手获得控球权.                   55'第55分钟，奥斯托伊奇右路传出过顶球，S-什切波维奇禁区右侧距门13米处凌空抽射被汉达诺维奇封出近角
73'国际米兰球员西尔维斯特雷被主裁判出示了一张黄牌.                   73'第73分钟，西尔维斯特雷搭人墙时抬肘碰到米利科维奇下巴，米利科维奇夸张掩面倒地，西尔维斯特雷吃到黄牌
75'进球啦！！！国际米兰球员帕拉西奥大禁区中央右脚射门,球从左下角飞进球门,球进了!助攻的是瓜林. 游击队 0-2 国际米兰.                   73'第73分钟，西尔维斯特雷搭人墙时抬肘碰到米利科维奇下巴，米利科维奇夸张掩面倒地，西尔维斯特雷吃到黄牌
78'瓜林为国际米兰在对方半场,赢得一个任意球.                   78'第78分钟，约伊奇背后放倒瓜林，被黄牌警告
78'游击队球员约基奇拼抢犯规,对手获得控球权.                   78'第78分钟，约伊奇背后放倒瓜林，被黄牌警告
78'黄牌！游击队球员约基奇因为恶意犯规,被主裁判出示黄牌.                   78'第78分钟，约伊奇背后放倒瓜林，被黄牌警告
87'进球啦！！！国际米兰球员瓜林大禁区中央右脚射门,球从右下角飞进球门,球进了!助攻的是卡萨诺. 游击队 0-3 国际米兰.                   87'第87分钟，卡萨诺中路直传，瓜林点球点推射入右下角，3比0
90'游击队球员斯米贾尼奇大禁区外尝试右脚射门,可惜皮球稍稍偏出了右球门.给他传球的是托米奇.                   87'第87分钟，卡萨诺中路直传，瓜林点球点推射入右下角，3比0
90'国际米兰球员胡安一脚直塞球给帕拉西奥,但是边裁举旗显示后者已经越位.                   87'第87分钟，卡萨诺中路直传，瓜林点球点推射入右下角，3比0
90'+1'进球啦！！！游击队球员托米奇大禁区中央左脚射门,球从左下角飞进球门,球进了!助攻的是米利科维奇. 游击队 1-3 国际米兰.                   87'第87分钟，卡萨诺中路直传，瓜林点球点推射入右下角，3比0
90'+2'国际米兰球员西尔维斯特雷拼抢犯规,对手获得控球权.                   87'第87分钟，卡萨诺中路直传，瓜林点球点推射入右下角，3比0
90'+2'米特洛维奇为游击队在对方半场,赢得一个任意球.                   87'第87分钟，卡萨诺中路直传，瓜林点球点推射入右下角，3比0
90'+3'游击队球员奥斯托季奇大禁区外尝试右脚射门,可惜皮球高出球门.                   87'第87分钟，卡萨诺中路直传，瓜林点球点推射入右下角，3比0
90'+3'下半场结束,游击队 1-3 国际米兰                   87'第87分钟，卡萨诺中路直传，瓜林点球点推射入右下角，3比0
