54'皮球被解围了出去啊！                   51'第51分钟，姆巴佩传中，克雷尔跃起头球攻门被泽尔斯用腿挡出
54'卡西后场拿球！长传送了出去！                   51'第51分钟，姆巴佩传中，克雷尔跃起头球攻门被泽尔斯用腿挡出
54'皮球直接出边线了！                   51'第51分钟，姆巴佩传中，克雷尔跃起头球攻门被泽尔斯用腿挡出
54'巴黎后场界外球扔出来了！                   51'第51分钟，姆巴佩传中，克雷尔跃起头球攻门被泽尔斯用腿挡出
51'姆巴佩前场左路拿球！                   51'第51分钟，姆巴佩传中，克雷尔跃起头球攻门被泽尔斯用腿挡出
51'姆巴佩带球突破！下底传中！                   51'第51分钟，姆巴佩传中，克雷尔跃起头球攻门被泽尔斯用腿挡出
51'拉比奥特拿球！回传送出去！                   51'第51分钟，姆巴佩传中，克雷尔跃起头球攻门被泽尔斯用腿挡出
51'皮球被解围了出去啊！                   51'第51分钟，姆巴佩传中，克雷尔跃起头球攻门被泽尔斯用腿挡出
52'姆巴佩禁区外围拿球！拉弓射箭！起脚远射！                   51'第51分钟，姆巴佩传中，克雷尔跃起头球攻门被泽尔斯用腿挡出
52'打偏了啊！！                   51'第51分钟，姆巴佩传中，克雷尔跃起头球攻门被泽尔斯用腿挡出
54'拉比奥特中圈拿球！给身前！                   51'第51分钟，姆巴佩传中，克雷尔跃起头球攻门被泽尔斯用腿挡出
54'维拉蒂拿球！长传送了出去！                   51'第51分钟，姆巴佩传中，克雷尔跃起头球攻门被泽尔斯用腿挡出
65'斯特拉斯堡前场进攻！左路传中！                   63'第63分钟，卡瓦尼中路任意球直接射门，球绕过人墙后高出了横梁
65'皮球被解围出底线了！                   63'第63分钟，卡瓦尼中路任意球直接射门，球绕过人墙后高出了横梁
65'斯特拉斯堡右路角球开出来！给禁区！                   63'第63分钟，卡瓦尼中路任意球直接射门，球绕过人墙后高出了横梁
65'维拉蒂将球拦截了下来！                   63'第63分钟，卡瓦尼中路任意球直接射门，球绕过人墙后高出了横梁
65'维拉蒂长传送了出去！                   63'第63分钟，卡瓦尼中路任意球直接射门，球绕过人墙后高出了横梁
66'皮球被拦截了下来！                   63'第63分钟，卡瓦尼中路任意球直接射门，球绕过人墙后高出了横梁
66'马丁拿球！长传送到前场！                   63'第63分钟，卡瓦尼中路任意球直接射门，球绕过人墙后高出了横梁
64'姆巴佩前场右路拿球！和队友玩撞墙！                   63'第63分钟，卡瓦尼中路任意球直接射门，球绕过人墙后高出了横梁
64'皮球被解围出底线了！                   63'第63分钟，卡瓦尼中路任意球直接射门，球绕过人墙后高出了横梁
64'巴黎左路角球开出来！给禁区！                   63'第63分钟，卡瓦尼中路任意球直接射门，球绕过人墙后高出了横梁
64'皮球被解围了出去啊！                   63'第63分钟，卡瓦尼中路任意球直接射门，球绕过人墙后高出了横梁
71'德拉克斯勒前场拼抢！被吹犯规了！                   71'第71分钟巴黎扳平比分，姆巴佩在禁区左侧被拉拉铲倒，吹罚吹罚点球，卡瓦尼主罚打球门左侧，巴黎1-1追平斯特拉斯堡
71'斯特拉斯堡后场任意球开出来！                   71'第71分钟巴黎扳平比分，姆巴佩在禁区左侧被拉拉铲倒，吹罚吹罚点球，卡瓦尼主罚打球门左侧，巴黎1-1追平斯特拉斯堡
72'皮球直接出了边线了啊！                   71'第71分钟巴黎扳平比分，姆巴佩在禁区左侧被拉拉铲倒，吹罚吹罚点球，卡瓦尼主罚打球门左侧，巴黎1-1追平斯特拉斯堡
74'卡罗尔前场左路拿球！给身前！                   71'第71分钟巴黎扳平比分，姆巴佩在禁区左侧被拉拉铲倒，吹罚吹罚点球，卡瓦尼主罚打球门左侧，巴黎1-1追平斯特拉斯堡
71'卡瓦尼操刀点球！                   71'第71分钟巴黎扳平比分，姆巴佩在禁区左侧被拉拉铲倒，吹罚吹罚点球，卡瓦尼主罚打球门左侧，巴黎1-1追平斯特拉斯堡
71'卡瓦尼助跑！起脚打门！                   71'第71分钟巴黎扳平比分，姆巴佩在禁区左侧被拉拉铲倒，吹罚吹罚点球，卡瓦尼主罚打球门左侧，巴黎1-1追平斯特拉斯堡
71'Goal!!!!!                   71'第71分钟巴黎扳平比分，姆巴佩在禁区左侧被拉拉铲倒，吹罚吹罚点球，卡瓦尼主罚打球门左侧，巴黎1-1追平斯特拉斯堡
71'巴黎扳平了比分！！！                   71'第71分钟巴黎扳平比分，姆巴佩在禁区左侧被拉拉铲倒，吹罚吹罚点球，卡瓦尼主罚打球门左侧，巴黎1-1追平斯特拉斯堡
72'继续来看比赛！                   71'第71分钟巴黎扳平比分，姆巴佩在禁区左侧被拉拉铲倒，吹罚吹罚点球，卡瓦尼主罚打球门左侧，巴黎1-1追平斯特拉斯堡
73'阿尔维斯前场右路拿球！横敲！                   71'第71分钟巴黎扳平比分，姆巴佩在禁区左侧被拉拉铲倒，吹罚吹罚点球，卡瓦尼主罚打球门左侧，巴黎1-1追平斯特拉斯堡
73'维拉蒂拿球！挑传送禁区！                   71'第71分钟巴黎扳平比分，姆巴佩在禁区左侧被拉拉铲倒，吹罚吹罚点球，卡瓦尼主罚打球门左侧，巴黎1-1追平斯特拉斯堡
73'门将出击将球解围了出去！                   71'第71分钟巴黎扳平比分，姆巴佩在禁区左侧被拉拉铲倒，吹罚吹罚点球，卡瓦尼主罚打球门左侧，巴黎1-1追平斯特拉斯堡
74'科雷尔前场右路拿球！横敲！                   71'第71分钟巴黎扳平比分，姆巴佩在禁区左侧被拉拉铲倒，吹罚吹罚点球，卡瓦尼主罚打球门左侧，巴黎1-1追平斯特拉斯堡
82'卡罗尔起脚传中送禁区！                   80'第80分钟，巴黎开出角球，克雷尔头球攻门被泽尔斯扑出
82'皮球被挡出了底线了！                   80'第80分钟，巴黎开出角球，克雷尔头球攻门被泽尔斯扑出
82'斯特拉斯堡角球机会！                   80'第80分钟，巴黎开出角球，克雷尔头球攻门被泽尔斯扑出
82'科雷尔貌似手球了！                   80'第80分钟，巴黎开出角球，克雷尔头球攻门被泽尔斯扑出
82'裁判正在和视频裁判沟通！                   80'第80分钟，巴黎开出角球，克雷尔头球攻门被泽尔斯扑出
81'巴黎继续换人！                   80'第80分钟，巴黎开出角球，克雷尔头球攻门被泽尔斯扑出
82'恩昆库换下穆尼耶！                   80'第80分钟，巴黎开出角球，克雷尔头球攻门被泽尔斯扑出
83'巴黎拼到了角球机会！                   80'第80分钟，巴黎开出角球，克雷尔头球攻门被泽尔斯扑出
49'比赛继续！                   49'补时第4分钟，巴黎险些被绝杀，托马森在禁区内接到队友挑传后冲顶破门，裁判吹罚托马森越位在先进球无效
49'拉比奥特前场左路拿球！给身前！                   49'补时第4分钟，巴黎险些被绝杀，托马森在禁区内接到队友挑传后冲顶破门，裁判吹罚托马森越位在先进球无效
49'皮球直接出了底线了！                   49'补时第4分钟，巴黎险些被绝杀，托马森在禁区内接到队友挑传后冲顶破门，裁判吹罚托马森越位在先进球无效
49'斯特拉斯堡换人！                   49'补时第4分钟，巴黎险些被绝杀，托马森在禁区内接到队友挑传后冲顶破门，裁判吹罚托马森越位在先进球无效
49'托马森换下卡罗尔！                   49'补时第4分钟，巴黎险些被绝杀，托马森在禁区内接到队友挑传后冲顶破门，裁判吹罚托马森越位在先进球无效
51'姆巴佩前场左路拿球！                   49'补时第4分钟，巴黎险些被绝杀，托马森在禁区内接到队友挑传后冲顶破门，裁判吹罚托马森越位在先进球无效
51'姆巴佩带球突破！下底传中！                   49'补时第4分钟，巴黎险些被绝杀，托马森在禁区内接到队友挑传后冲顶破门，裁判吹罚托马森越位在先进球无效
51'拉比奥特拿球！回传送出去！                   49'补时第4分钟，巴黎险些被绝杀，托马森在禁区内接到队友挑传后冲顶破门，裁判吹罚托马森越位在先进球无效
51'皮球被解围了出去啊！                   49'补时第4分钟，巴黎险些被绝杀，托马森在禁区内接到队友挑传后冲顶破门，裁判吹罚托马森越位在先进球无效
52'姆巴佩禁区外围拿球！拉弓射箭！起脚远射！                   49'补时第4分钟，巴黎险些被绝杀，托马森在禁区内接到队友挑传后冲顶破门，裁判吹罚托马森越位在先进球无效
52'打偏了啊！！                   49'补时第4分钟，巴黎险些被绝杀，托马森在禁区内接到队友挑传后冲顶破门，裁判吹罚托马森越位在先进球无效
